#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887652,29063810,2,BIZ67_gp002,SEA_REMUS_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20200719,-
1887652,29063811,3,BIZ67_gp003,SEA_REMUS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063812,4,BIZ67_gp004,SEA_REMUS_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200719,-
1887652,29063813,5,BIZ67_gp005,SEA_REMUS_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200719,-
1887652,29063814,6,BIZ67_gp006,SEA_REMUS_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063815,7,BIZ67_gp007,SEA_REMUS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063816,8,BIZ67_gp008,SEA_REMUS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063817,9,BIZ67_gt001,SEA_REMUS_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887652,29063818,11,BIZ67_gt003,SEA_REMUS_11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887652,29063819,12,BIZ67_gp098,SEA_REMUS_12,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200719,-
1887652,29063820,13,BIZ67_gp097,SEA_REMUS_13,-,-,-,holin,protein-coding,-,-,-,holin,20200719,-
1887652,29063821,14,BIZ67_gp096,SEA_REMUS_14,-,-,-,terminase,protein-coding,-,-,-,terminase,20200719,-
1887652,29063822,15,BIZ67_gp095,SEA_REMUS_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1887652,29063823,16,BIZ67_gp094,SEA_REMUS_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200719,-
1887652,29063824,17,BIZ67_gp093,SEA_REMUS_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200719,-
1887652,29063825,18,BIZ67_gp092,SEA_REMUS_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1887652,29063826,19,BIZ67_gp091,SEA_REMUS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063827,20,BIZ67_gp090,SEA_REMUS_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200719,-
1887652,29063828,21,BIZ67_gp089,SEA_REMUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063829,22,BIZ67_gp088,SEA_REMUS_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200719,-
