#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5855,5471212,PVX_087090,PVX_087090,-,-,7,-,"aspartyl aminopeptidase, putative",protein-coding,-,-,-,"aspartyl aminopeptidase, putative",20200923,-
5855,5471213,PVX_086930,PVX_086930,-,-,7,-,"cytoadherence linked asexual protein (CLAG), putative",protein-coding,-,-,-,"cytoadherence linked asexual protein (CLAG), putative",20200918,-
5855,5471214,PVX_087150,PVX_087150,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471215,PVX_086965,PVX_086965,-,-,7,-,"U2 small nuclear ribonucleoprotein B'', putative",protein-coding,-,-,-,"U2 small nuclear ribonucleoprotein B'', putative",20200923,-
5855,5471216,PVX_087155,PVX_087155,-,-,7,-,"elongation factor, putative",protein-coding,-,-,-,"elongation factor, putative",20200923,-
5855,5471217,PVX_005055,PVX_005055,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471218,PVX_087165,PVX_087165,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471219,PVX_087105,PVX_087105,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471220,PVX_087005,PVX_087005,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471221,PVX_087010,PVX_087010,-,-,7,-,"DNA excision-repair helicase, putative",protein-coding,-,-,-,"DNA excision-repair helicase, putative",20200918,-
5855,5471222,PVX_086975,PVX_086975,-,-,7,-,"cAMP-dependent protein kinase catalytic subunit, putative",protein-coding,-,-,-,"cAMP-dependent protein kinase catalytic subunit, putative",20200926,-
5855,5471223,PVX_086865,PVX_086865,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471224,PVX_087050,PVX_087050,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471225,PVX_086895,PVX_086895,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471226,PVX_086855,PVX_086855,-,-,7,-,variable surface protein Vir24-like,protein-coding,-,-,-,variable surface protein Vir24-like,20200918,-
5855,5471227,PVX_087035,PVX_087035,-,-,7,-,"organelle processing peptidase, putative",protein-coding,-,-,-,"organelle processing peptidase, putative",20200926,-
5855,5471228,PVX_087065,PVX_087065,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471229,PVX_087125,PVX_087125,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471230,PVX_087045,PVX_087045,-,-,7,-,SGS domain containing protein,protein-coding,-,-,-,SGS domain containing protein,20200918,-
5855,5471231,PVX_086955,PVX_086955,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471232,PVX_086880,PVX_086880,-,-,7,-,variable surface protein Vir23-like,protein-coding,-,-,-,variable surface protein Vir23-like,20200918,-
5855,5471233,PVX_086940,PVX_086940,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471234,PVX_086905,PVX_086905,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471235,PVX_087085,PVX_087085,-,-,7,-,"peptide release factor, putative",protein-coding,-,-,-,"peptide release factor, putative",20200926,-
5855,5471236,PVX_086995,PVX_086995,-,-,7,-,"uncharacterised trophozoite protein, putative",protein-coding,-,-,-,"uncharacterised trophozoite protein, putative",20200926,-
5855,5471237,PVX_087030,PVX_087030,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471238,PVX_086870,PVX_086870,-,-,7,-,pseudo,pseudo,-,-,-,-,20200918,-
5855,5471239,PVX_087145,PVX_087145,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471240,PVX_005060,PVX_005060,-,-,7,-,variable surface protein Vir12-like,protein-coding,-,-,-,variable surface protein Vir12-like,20200918,-
5855,5471241,PVX_087025,PVX_087025,-,-,7,-,"delta tubulin, putative",protein-coding,-,-,-,"delta tubulin, putative",20200918,-
5855,5471242,PVX_087075,PVX_087075,-,-,7,-,"30S ribosomal protein S6, puatative",protein-coding,-,-,-,"30S ribosomal protein S6, puatative",20200923,-
5855,5471243,PVX_086920,PVX_086920,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471244,PVX_086910,PVX_086910,-,-,7,-,Phist protein (Pf-fam-b),protein-coding,-,-,-,Phist protein (Pf-fam-b),20200918,-
5855,5471245,PVX_005050,PVX_005050,-,-,7,-,pseudo,pseudo,-,-,-,-,20200918,-
5855,5471246,PVX_087070,PVX_087070,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471247,PVX_087000,PVX_087000,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471248,PVX_086960,PVX_086960,-,-,7,-,"cacuolar protein sorting 33A, putative",protein-coding,-,-,-,"cacuolar protein sorting 33A, putative",20200918,-
5855,5471249,PVX_086900,PVX_086900,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471250,PVX_005047,PVX_005047,-,-,7,-,variable surface protein Vir22/23-related,protein-coding,-,-,-,variable surface protein Vir22/23-related,20200918,-
5855,5471251,PVX_086950,PVX_086950,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471252,PVX_086985,PVX_086985,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471253,PVX_086850,PVX_086850,-,-,7,-,"variable surface protein Vir35, putative",protein-coding,-,-,-,"variable surface protein Vir35, putative",20200918,-
5855,5471254,PVX_087095,PVX_087095,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471255,PVX_087110,PVX_087110,-,-,7,-,"adenylate kinase, putative",protein-coding,-,-,-,"adenylate kinase, putative",20200918,-
5855,5471256,PVX_087080,PVX_087080,-,-,7,-,"DHHC-type zinc finger protein, putative",protein-coding,-,-,-,"DHHC-type zinc finger protein, putative",20200918,-
5855,5471257,PVX_086980,PVX_086980,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471258,PVX_086970,PVX_086970,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471259,PVX_086945,PVX_086945,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471260,PVX_005045,PVX_005045,-,-,7,-,variable surface protein Vir12-related,protein-coding,-,-,-,variable surface protein Vir12-related,20200918,-
5855,5471261,PVX_086860,PVX_086860,-,-,7,-,variable surface protein Vir24-related,protein-coding,-,-,-,variable surface protein Vir24-related,20200918,-
5855,5471262,PVX_087015,PVX_087015,-,-,7,-,"histidyl-tRNA synthetase, putative",protein-coding,-,-,-,"histidyl-tRNA synthetase, putative",20200918,-
5855,5471263,PVX_005065,PVX_005065,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
