#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1223261,14515487,H387_gp02,H387_gp02,JBD5_002,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1223261,14515488,H387_gp03,H387_gp03,JBD5_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515489,H387_gp04,H387_gp04,JBD5_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515490,H387_gp05,H387_gp05,JBD5_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515491,H387_gp06,H387_gp06,JBD5_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515492,H387_gp07,H387_gp07,JBD5_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515493,H387_gp08,H387_gp08,JBD5_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515494,H387_gp09,H387_gp09,JBD5_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515495,H387_gp10,H387_gp10,JBD5_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515496,H387_gp11,H387_gp11,JBD5_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515497,H387_gp12,H387_gp12,JBD5_012,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210116,-
1223261,14515498,H387_gp13,H387_gp13,JBD5_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515499,H387_gp14,H387_gp14,JBD5_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515500,H387_gp15,H387_gp15,JBD5_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515501,H387_gp16,H387_gp16,JBD5_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515502,H387_gp17,H387_gp17,JBD5_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515503,H387_gp18,H387_gp18,JBD5_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515504,H387_gp19,H387_gp19,JBD5_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223261,14515505,H387_gp20,H387_gp20,JBD5_020,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210116,-
