#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1127514,14013132,F394_gp39,F394_gp39,AsaM-56_0039,-,-,-,putative methylase,protein-coding,-,-,-,putative methylase,20201221,-
1127514,14013133,F394_gp40,F394_gp40,AsaM-56_0040,-,-,-,putative NinG recombination protein,protein-coding,-,-,-,putative NinG recombination protein,20201221,-
1127514,14013134,F394_gp41,F394_gp41,AsaM-56_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013135,F394_gp42,F394_gp42,AsaM-56_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013136,F394_gp43,F394_gp43,AsaM-56_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013137,F394_gp44,F394_gp44,AsaM-56_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013138,F394_gp45,F394_gp45,AsaM-56_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013139,F394_gp46,F394_gp46,AsaM-56_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013140,F394_gp47,F394_gp47,AsaM-56_0047,-,-,-,putative TerS small-subunit terminase,protein-coding,-,-,-,putative TerS small-subunit terminase,20201221,-
1127514,14013141,F394_gp48,F394_gp48,AsaM-56_0048,-,-,-,putative TerL large-subunit terminase,protein-coding,-,-,-,putative TerL large-subunit terminase,20201221,-
1127514,14013142,F394_gp49,F394_gp49,AsaM-56_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013143,F394_gp50,F394_gp50,AsaM-56_0050,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1127514,14013144,F394_gp51,F394_gp51,AsaM-56_0051,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201221,-
1127514,14013145,F394_gp52,F394_gp52,AsaM-56_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013146,F394_gp53,F394_gp53,AsaM-56_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013147,F394_gp54,F394_gp54,AsaM-56_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013148,F394_gp55,F394_gp55,AsaM-56_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013149,F394_gp56,F394_gp56,AsaM-56_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013150,F394_gp57,F394_gp57,AsaM-56_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013151,F394_gp58,F394_gp58,AsaM-56_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013152,F394_gp59,F394_gp59,AsaM-56_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013153,F394_gp60,F394_gp60,AsaM-56_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013154,F394_gp61,F394_gp61,AsaM-56_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013155,F394_gp62,F394_gp62,AsaM-56_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013156,F394_gp63,F394_gp63,AsaM-56_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013157,F394_gp64,F394_gp64,AsaM-56_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013158,F394_gp65,F394_gp65,AsaM-56_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013159,F394_gp66,F394_gp66,AsaM-56_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013160,F394_gp67,F394_gp67,AsaM-56_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013161,F394_gp68,F394_gp68,AsaM-56_0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013162,F394_gp69,F394_gp69,AsaM-56_0069,-,-,-,putative tail-fiber/lysozyme protein,protein-coding,-,-,-,putative tail-fiber/lysozyme protein,20201221,-
1127514,14013163,F394_gp70,F394_gp70,AsaM-56_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013164,F394_gp71,F394_gp71,AsaM-56_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013165,F394_gp72,F394_gp72,AsaM-56_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013166,F394_gp73,F394_gp73,AsaM-56_0073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013167,F394_gp74,F394_gp74,AsaM-56_0074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013168,F394_gp75,F394_gp75,AsaM-56_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013169,F394_gp76,F394_gp76,AsaM-56_0076,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201221,-
1127514,14013170,F394_gp77,F394_gp77,AsaM-56_0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013171,F394_gp78,F394_gp78,AsaM-56_0078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013172,F394_gp79,F394_gp79,AsaM-56_0079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013173,F394_gp80,F394_gp80,AsaM-56_0080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013174,F394_gp81,F394_gp81,AsaM-56_0081,-,-,-,putative tail-fiber protein,protein-coding,-,-,-,putative tail-fiber protein,20201221,-
1127514,14013175,F394_gp82,F394_gp82,AsaM-56_0082,-,-,-,putative tail-fiber protein,protein-coding,-,-,-,putative tail-fiber protein,20201221,-
1127514,14013176,F394_gp83,F394_gp83,AsaM-56_0083,-,-,-,putative tail-fiber protein,protein-coding,-,-,-,putative tail-fiber protein,20201221,-
1127514,14013177,F394_gp01,F394_gp01,AsaM-56_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013178,F394_gp02,F394_gp02,AsaM-56_0002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013179,F394_gp03,F394_gp03,AsaM-56_0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013180,F394_gp04,F394_gp04,AsaM-56_0004,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201221,-
1127514,14013181,F394_gp05,F394_gp05,AsaM-56_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013182,F394_gp06,F394_gp06,AsaM-56_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013183,F394_gp07,F394_gp07,AsaM-56_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013184,F394_gp08,F394_gp08,AsaM-56_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013185,F394_gp09,F394_gp09,AsaM-56_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013186,F394_gp10,F394_gp10,AsaM-56_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013187,F394_gp11,F394_gp11,AsaM-56_0011,-,-,-,putative Dam methylase,protein-coding,-,-,-,putative Dam methylase,20201221,-
1127514,14013188,F394_gp12,F394_gp12,AsaM-56_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013189,F394_gp13,F394_gp13,AsaM-56_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013190,F394_gp14,F394_gp14,AsaM-56_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013191,F394_gp15,F394_gp15,AsaM-56_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013192,F394_gp16,F394_gp16,AsaM-56_0016,-,-,-,putative single-strand DNA binding protein,protein-coding,-,-,-,putative single-strand DNA binding protein,20201221,-
1127514,14013193,F394_gp17,F394_gp17,AsaM-56_0017,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1127514,14013194,F394_gp18,F394_gp18,AsaM-56_0018,-,-,-,putative RecT recombination protein,protein-coding,-,-,-,putative RecT recombination protein,20201221,-
1127514,14013195,F394_gp19,F394_gp19,AsaM-56_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013196,F394_gp20,F394_gp20,AsaM-56_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013197,F394_gp21,F394_gp21,AsaM-56_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013198,F394_gp22,F394_gp22,AsaM-56_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013199,F394_gp23,F394_gp23,AsaM-56_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013200,F394_gp24,F394_gp24,AsaM-56_0024,-,-,-,putative DnaA recombination protein,protein-coding,-,-,-,putative DnaA recombination protein,20201221,-
1127514,14013201,F394_gp25,F394_gp25,AsaM-56_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013202,F394_gp26,F394_gp26,AsaM-56_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013203,F394_gp27,F394_gp27,AsaM-56_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013204,F394_gp28,F394_gp28,AsaM-56_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013205,F394_gp29,F394_gp29,AsaM-56_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013206,F394_gp30,F394_gp30,AsaM-56_0030,-,-,-,putative NinB recombination protein,protein-coding,-,-,-,putative NinB recombination protein,20201221,-
1127514,14013207,F394_gp31,F394_gp31,AsaM-56_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013208,F394_gp32,F394_gp32,AsaM-56_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013209,F394_gp33,F394_gp33,AsaM-56_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013210,F394_gp34,F394_gp34,AsaM-56_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013211,F394_gp35,F394_gp35,AsaM-56_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013212,F394_gp36,F394_gp36,AsaM-56_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013213,F394_gp37,F394_gp37,AsaM-56_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127514,14013214,F394_gp38,F394_gp38,AsaM-56_0038,-,-,-,putative anti-repressor Ant,protein-coding,-,-,-,putative anti-repressor Ant,20201221,-
1127514,14023558,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
