#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2488953,63910520,2,KDI95_gp02,SEA_BIGMACK_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210420,-
2488953,63910521,3,KDI95_gp03,SEA_BIGMACK_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210420,-
2488953,63910522,4,KDI95_gp04,SEA_BIGMACK_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210420,-
2488953,63910523,5,KDI95_gp05,SEA_BIGMACK_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210420,-
2488953,63910524,6,KDI95_gp06,SEA_BIGMACK_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910525,7,KDI95_gp07,SEA_BIGMACK_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210420,-
2488953,63910526,8,KDI95_gp08,SEA_BIGMACK_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210420,-
2488953,63910527,9,KDI95_gp09,SEA_BIGMACK_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910528,10,KDI95_gp10,SEA_BIGMACK_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210420,-
2488953,63910529,11,KDI95_gp11,SEA_BIGMACK_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210420,-
2488953,63910530,12,KDI95_gp12,SEA_BIGMACK_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2488953,63910531,13,KDI95_gp13,SEA_BIGMACK_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2488953,63910532,15,KDI95_gp15,SEA_BIGMACK_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2488953,63910533,16,KDI95_gp16,SEA_BIGMACK_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2488953,63910534,17,KDI95_gp17,SEA_BIGMACK_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2488953,63910535,18,KDI95_gp18,SEA_BIGMACK_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2488953,63910536,19,KDI95_gp19,SEA_BIGMACK_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910537,20,KDI95_gp20,SEA_BIGMACK_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910538,21,KDI95_gp21,SEA_BIGMACK_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210420,-
2488953,63910539,22,KDI95_gp22,SEA_BIGMACK_22,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2488953,63910540,23,KDI95_gp23,SEA_BIGMACK_23,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210420,-
2488953,63910541,24,KDI95_gp24,SEA_BIGMACK_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910542,25,KDI95_gp25,SEA_BIGMACK_25,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210420,-
