#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
756278,54972864,HOQ82_gp001,HOQ82_gp001,RW220300_001,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210116,-
756278,54972865,HOQ82_gp002,HOQ82_gp002,RW220300_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972866,HOQ82_gp003,HOQ82_gp003,RW220300_003,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210116,-
756278,54972867,HOQ82_gp004,HOQ82_gp004,RW220300_004,-,-,-,putative cAMP phosphodiesterases class-II precursor,protein-coding,-,-,-,putative cAMP phosphodiesterases class-II precursor,20201220,-
756278,54972868,HOQ82_gp005,HOQ82_gp005,RW220300_005,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
756278,54972869,HOQ82_gp006,HOQ82_gp006,RW220300_006,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201220,-
756278,54972870,HOQ82_gp007,HOQ82_gp007,RW220300_007,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210116,-
756278,54972871,HOQ82_gp008,HOQ82_gp008,RW220300_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972872,HOQ82_gp009,HOQ82_gp009,RW220300_009,-,-,-,baseplate hub assembly chaperone,protein-coding,-,-,-,baseplate hub assembly chaperone,20210116,-
756278,54972873,HOQ82_gp010,HOQ82_gp010,RW220300_010,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210116,-
756278,54972874,HOQ82_gp011,HOQ82_gp011,RW220300_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972875,HOQ82_gp012,HOQ82_gp012,RW220300_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972876,HOQ82_gp013,HOQ82_gp013,RW220300_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972877,HOQ82_gp014,HOQ82_gp014,RW220300_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972878,HOQ82_gp015,HOQ82_gp015,RW220300_015,-,-,-,CpeT,protein-coding,-,-,-,CpeT,20210116,-
756278,54972879,HOQ82_gt001,HOQ82_gt001,RW220300_016,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54972880,HOQ82_gt002,HOQ82_gt002,RW220300_017,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54972881,HOQ82_gp224,HOQ82_gp224,RW220300_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972882,HOQ82_gp223,HOQ82_gp223,RW220300_019,-,-,-,baseplate hub subunit tail lysozyme,protein-coding,-,-,-,baseplate hub subunit tail lysozyme,20210116,-
756278,54972883,HOQ82_gp222,HOQ82_gp222,RW220300_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972884,HOQ82_gp221,HOQ82_gp221,RW220300_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972885,HOQ82_gp220,HOQ82_gp220,RW220300_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972886,HOQ82_gp219,HOQ82_gp219,RW220300_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972887,HOQ82_gt003,HOQ82_gt003,RW220300_024,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54972888,HOQ82_gp218,HOQ82_gp218,RW220300_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972889,HOQ82_gt004,HOQ82_gt004,RW220300_026,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54972890,HOQ82_gt005,HOQ82_gt005,RW220300_027,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54972891,HOQ82_gt006,HOQ82_gt006,RW220300_028,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
756278,54972892,HOQ82_gp217,HOQ82_gp217,RW220300_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972893,HOQ82_gp216,HOQ82_gp216,RW220300_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972894,HOQ82_gp215,HOQ82_gp215,RW220300_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972895,HOQ82_gp214,HOQ82_gp214,RW220300_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972896,HOQ82_gp213,HOQ82_gp213,RW220300_033,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
756278,54972897,HOQ82_gp212,HOQ82_gp212,RW220300_034,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
756278,54972898,HOQ82_gp211,HOQ82_gp211,RW220300_035,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201220,-
756278,54972899,HOQ82_gp210,HOQ82_gp210,RW220300_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972900,HOQ82_gp209,HOQ82_gp209,RW220300_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972901,HOQ82_gp208,HOQ82_gp208,RW220300_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
