#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2218499,65060161,KMC15_gp001,KMC15_gp001,KIT03_01,-,-,-,Protector from prophage-induced early lysis,protein-coding,-,-,-,Protector from prophage-induced early lysis,20210607,-
2218499,65060162,KMC15_gp002,KMC15_gp002,KIT03_02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2218499,65060163,KMC15_gp003,KMC15_gp003,KIT03_03,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210609,-
2218499,65060164,KMC15_gp004,KMC15_gp004,KIT03_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060165,KMC15_gp005,KMC15_gp005,KIT03_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060166,KMC15_gp006,KMC15_gp006,KIT03_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060167,KMC15_gp007,KMC15_gp007,KIT03_07,-,-,-,RNA metabolism modulator,protein-coding,-,-,-,RNA metabolism modulator,20210607,-
2218499,65060168,KMC15_gp008,KMC15_gp008,KIT03_08,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20210607,-
2218499,65060169,KMC15_gp009,KMC15_gp009,KIT03_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060170,KMC15_gp010,KMC15_gp010,KIT03_10,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20210607,-
2218499,65060171,KMC15_gp011,KMC15_gp011,KIT03_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060172,KMC15_gp101,KMC15_gp101,KIT03_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060173,KMC15_gp102,KMC15_gp102,KIT03_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060174,KMC15_gp103,KMC15_gp103,KIT03_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060175,KMC15_gp104,KMC15_gp104,KIT03_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060176,KMC15_gp105,KMC15_gp105,KIT03_105,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210607,-
2218499,65060177,KMC15_gp106,KMC15_gp106,KIT03_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060178,KMC15_gp107,KMC15_gp107,KIT03_107,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2218499,65060179,KMC15_gp108,KMC15_gp108,KIT03_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
