#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250396,65114453,2,KNT97_gp02,SEA_ROFO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2250396,65114454,3,KNT97_gp03,SEA_ROFO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114455,4,KNT97_gp04,SEA_ROFO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114456,5,KNT97_gp05,SEA_ROFO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114457,6,KNT97_gp06,SEA_ROFO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114458,7,KNT97_gp07,SEA_ROFO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114459,8,KNT97_gp08,SEA_ROFO_8,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250396,65114460,9,KNT97_gp09,SEA_ROFO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114461,10,KNT97_gp10,SEA_ROFO_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2250396,65114462,11,KNT97_gp11,SEA_ROFO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114463,12,KNT97_gp12,SEA_ROFO_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2250396,65114464,13,KNT97_gp13,SEA_ROFO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114465,14,KNT97_gp14,SEA_ROFO_14,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2250396,65114466,15,KNT97_gp15,SEA_ROFO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114467,16,KNT97_gp16,SEA_ROFO_16,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2250396,65114468,17,KNT97_gp17,SEA_ROFO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114469,18,KNT97_gp18,SEA_ROFO_18,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2250396,65114470,19,KNT97_gp19,SEA_ROFO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114471,20,KNT97_gp20,SEA_ROFO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114472,21,KNT97_gp21,SEA_ROFO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114473,22,KNT97_gp22,SEA_ROFO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114474,23,KNT97_gp23,SEA_ROFO_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2250396,65114475,24,KNT97_gp24,SEA_ROFO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114476,25,KNT97_gp25,SEA_ROFO_25,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210607,-
2250396,65114477,26,KNT97_gp26,SEA_ROFO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114478,27,KNT97_gp27,SEA_ROFO_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2250396,65114479,28,KNT97_gp28,SEA_ROFO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114480,29,KNT97_gp29,SEA_ROFO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114481,30,KNT97_gp30,SEA_ROFO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2250396,65114482,31,KNT97_gp31,SEA_ROFO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114483,32,KNT97_gp32,SEA_ROFO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114484,33,KNT97_gp33,SEA_ROFO_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2250396,65114485,34,KNT97_gp34,SEA_ROFO_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250396,65114486,35,KNT97_gp35,SEA_ROFO_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250396,65114487,36,KNT97_gp36,SEA_ROFO_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2250396,65114488,37,KNT97_gp37,SEA_ROFO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114489,38,KNT97_gp38,SEA_ROFO_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250396,65114490,39,KNT97_gp39,SEA_ROFO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114491,40,KNT97_gp40,SEA_ROFO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114492,41,KNT97_gp41,SEA_ROFO_41,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2250396,65114493,42,KNT97_gp42,SEA_ROFO_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2250396,65114494,43,KNT97_gp43,SEA_ROFO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114495,44,KNT97_gp44,SEA_ROFO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114496,45,KNT97_gp45,SEA_ROFO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114497,46,KNT97_gp46,SEA_ROFO_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2250396,65114498,47,KNT97_gp47,SEA_ROFO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114499,48,KNT97_gp48,SEA_ROFO_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2250396,65114500,49,KNT97_gp49,SEA_ROFO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114501,50,KNT97_gp50,SEA_ROFO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114502,51,KNT97_gp51,SEA_ROFO_51,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2250396,65114503,52,KNT97_gp52,SEA_ROFO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114504,53,KNT97_gp53,SEA_ROFO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114505,54,KNT97_gp54,SEA_ROFO_54,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250396,65114506,55,KNT97_gp55,SEA_ROFO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114507,56,KNT97_gp56,SEA_ROFO_56,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250396,65114508,57,KNT97_gp57,SEA_ROFO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114509,58,KNT97_gp58,SEA_ROFO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114510,59,KNT97_gp59,SEA_ROFO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2250396,65114511,60,KNT97_gp60,SEA_ROFO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114512,61,KNT97_gp61,SEA_ROFO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114513,62,KNT97_gp62,SEA_ROFO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114514,63,KNT97_gp63,SEA_ROFO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114515,64,KNT97_gp64,SEA_ROFO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114516,65,KNT97_gp65,SEA_ROFO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114517,66,KNT97_gp66,SEA_ROFO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114518,67,KNT97_gp67,SEA_ROFO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114519,68,KNT97_gp68,SEA_ROFO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114520,69,KNT97_gp69,SEA_ROFO_69,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2250396,65114521,70,KNT97_gp70,SEA_ROFO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114522,71,KNT97_gp71,SEA_ROFO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114523,72,KNT97_gp72,SEA_ROFO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114524,73,KNT97_gp73,SEA_ROFO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114525,74,KNT97_gp74,SEA_ROFO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114526,75,KNT97_gp75,SEA_ROFO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114527,76,KNT97_gp76,SEA_ROFO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114528,77,KNT97_gp77,SEA_ROFO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114529,78,KNT97_gp78,SEA_ROFO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114530,79,KNT97_gp79,SEA_ROFO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114531,80,KNT97_gp80,SEA_ROFO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114532,81,KNT97_gp81,SEA_ROFO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114533,82,KNT97_gp82,SEA_ROFO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114534,83,KNT97_gp83,SEA_ROFO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250396,65114535,84,KNT97_gp84,SEA_ROFO_84,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210607,-
2250396,65114536,85,KNT97_gp85,SEA_ROFO_85,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2250396,65114537,1,KNT97_gp01,SEA_ROFO_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250396,65242852,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
