#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1194641,13164824,BTCS33_gp12,BTCS33_gp12,BtCS33_12,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20200629,-
1194641,13164825,BTCS33_gp13,BTCS33_gp13,BtCS33_13,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20201221,-
1194641,13164826,BTCS33_gp14,BTCS33_gp14,BtCS33_14,-,-,-,tail fiber domain-containing protein,protein-coding,-,-,-,tail fiber domain-containing protein,20201221,-
1194641,13164827,BTCS33_gp15,BTCS33_gp15,BtCS33_15,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1194641,13164828,BTCS33_gp16,BTCS33_gp16,BtCS33_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164829,BTCS33_gp17,BTCS33_gp17,BtCS33_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164830,BTCS33_gp18,BTCS33_gp18,BtCS33_18,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
1194641,13164831,BTCS33_gp19,BTCS33_gp19,BtCS33_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164832,BTCS33_gp20,BTCS33_gp20,BtCS33_20,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1194641,13164833,BTCS33_gp21,BTCS33_gp21,BtCS33_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164834,BTCS33_gp22,BTCS33_gp22,BtCS33_22,-,-,-,DNA translocase FtsK,protein-coding,-,-,-,DNA translocase FtsK,20201221,-
1194641,13164835,BTCS33_gp23,BTCS33_gp23,BtCS33_23,-,-,-,replication-relaxation family protein,protein-coding,-,-,-,replication-relaxation family protein,20210417,-
1194641,13164836,BTCS33_gp24,BTCS33_gp24,BtCS33_24,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
1194641,13164837,BTCS33_gp25,BTCS33_gp25,BtCS33_25,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210417,-
1194641,13164838,BTCS33_gp26,BTCS33_gp26,BtCS33_26,-,-,-,HTH transcriptional regulator,protein-coding,-,-,-,HTH transcriptional regulator,20200629,-
1194641,13164839,BTCS33_gp27,BTCS33_gp27,BtCS33_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164840,BTCS33_gp28,BTCS33_gp28,BtCS33_28,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1194641,13164841,BTCS33_gp29,BTCS33_gp29,BtCS33_29,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1194641,13164842,BTCS33_gp30,BTCS33_gp30,BtCS33_30,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1194641,13164843,BTCS33_gp31,BTCS33_gp31,BtCS33_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164844,BTCS33_gp32,BTCS33_gp32,BtCS33_32,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210417,-
1194641,13164845,BTCS33_gp33,BTCS33_gp33,BtCS33_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164846,BTCS33_gp34,BTCS33_gp34,BtCS33_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164847,BTCS33_gp35,BTCS33_gp35,BtCS33_35,-,-,-,sigma-70 family RNA polymerase sigma factor,protein-coding,-,-,-,sigma-70 family RNA polymerase sigma factor,20201221,-
1194641,13164848,BTCS33_gp36,BTCS33_gp36,BtCS33_36,-,-,-,replication protein O,protein-coding,-,-,-,replication protein O,20200629,-
1194641,13164849,BTCS33_gp37,BTCS33_gp37,BtCS33_37,-,-,-,DNA replication protein-like protein,protein-coding,-,-,-,DNA replication protein-like protein,20200629,-
1194641,13164850,BTCS33_gp38,BTCS33_gp38,BtCS33_38,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1194641,13164851,BTCS33_gp39,BTCS33_gp39,BtCS33_39,-,-,-,DUF3954 domain-containing protein,protein-coding,-,-,-,DUF3954 domain-containing protein,20201221,-
1194641,13164852,BTCS33_gp40,BTCS33_gp40,BtCS33_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
