#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1503929,24625404,ACQ23_gp02,ACQ23_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1503929,24625405,ACQ23_gp03,ACQ23_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1503929,24625406,ACQ23_gp04,ACQ23_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625407,ACQ23_gp05,ACQ23_gp05,-,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20201221,-
1503929,24625408,ACQ23_gp06,ACQ23_gp06,-,-,-,-,head decoration protein D,protein-coding,-,-,-,head decoration protein D,20201221,-
1503929,24625409,ACQ23_gp07,ACQ23_gp07,-,-,-,-,major capsid,protein-coding,-,-,-,major capsid,20201221,-
1503929,24625410,ACQ23_gp08,ACQ23_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625411,ACQ23_gp09,ACQ23_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625412,ACQ23_gp10,ACQ23_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625413,ACQ23_gp11,ACQ23_gp11,-,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20201221,-
1503929,24625414,ACQ23_gp12,ACQ23_gp12,-,-,-,-,PAAR repeat-containing protein,protein-coding,-,-,-,PAAR repeat-containing protein,20201221,-
1503929,24625415,ACQ23_gp13,ACQ23_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625416,ACQ23_gp14,ACQ23_gp14,-,-,-,-,baseplate component,protein-coding,-,-,-,baseplate component,20201221,-
1503929,24625417,ACQ23_gp15,ACQ23_gp15,-,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20201221,-
1503929,24625418,ACQ23_gp16,ACQ23_gp16,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1503929,24625419,ACQ23_gp17,ACQ23_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625420,ACQ23_gp18,ACQ23_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625421,ACQ23_gp19,ACQ23_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625422,ACQ23_gp20,ACQ23_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625423,ACQ23_gp21,ACQ23_gp21,-,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20201221,-
1503929,24625424,ACQ23_gp22,ACQ23_gp22,-,-,-,-,tail tube,protein-coding,-,-,-,tail tube,20201221,-
1503929,24625425,ACQ23_gp23,ACQ23_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625426,ACQ23_gp24,ACQ23_gp24,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1503929,24625427,ACQ23_gp25,ACQ23_gp25,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1503929,24625428,ACQ23_gp26,ACQ23_gp26,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1503929,24625429,ACQ23_gp27,ACQ23_gp27,-,-,-,-,late control protein,protein-coding,-,-,-,late control protein,20201221,-
1503929,24625430,ACQ23_gp28,ACQ23_gp28,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1503929,24625431,ACQ23_gp29,ACQ23_gp29,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1503929,24625432,ACQ23_gp30,ACQ23_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625433,ACQ23_gp31,ACQ23_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
