#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713282,55628514,HWD20_gp02,HWD20_gp02,birk_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2713282,55628515,HWD20_gp03,HWD20_gp03,birk_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628516,HWD20_gp04,HWD20_gp04,birk_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628517,HWD20_gp05,HWD20_gp05,birk_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628518,HWD20_gp06,HWD20_gp06,birk_6,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210129,-
2713282,55628519,HWD20_gp07,HWD20_gp07,birk_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628520,HWD20_gp08,HWD20_gp08,birk_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628521,HWD20_gp09,HWD20_gp09,birk_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628522,HWD20_gp10,HWD20_gp10,birk_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628523,HWD20_gp11,HWD20_gp11,birk_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628524,HWD20_gp12,HWD20_gp12,birk_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628525,HWD20_gp13,HWD20_gp13,birk_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628526,HWD20_gp14,HWD20_gp14,birk_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628527,HWD20_gp15,HWD20_gp15,birk_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628528,HWD20_gp16,HWD20_gp16,birk_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628529,HWD20_gp17,HWD20_gp17,birk_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628530,HWD20_gp18,HWD20_gp18,birk_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628531,HWD20_gp19,HWD20_gp19,birk_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628532,HWD20_gp20,HWD20_gp20,birk_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628533,HWD20_gp21,HWD20_gp21,birk_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628534,HWD20_gp22,HWD20_gp22,birk_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628535,HWD20_gp23,HWD20_gp23,birk_23,-,-,-,primase,protein-coding,-,-,-,primase,20210129,-
2713282,55628536,HWD20_gp24,HWD20_gp24,birk_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628537,HWD20_gp25,HWD20_gp25,birk_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628538,HWD20_gp26,HWD20_gp26,birk_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628539,HWD20_gp27,HWD20_gp27,birk_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628540,HWD20_gp28,HWD20_gp28,birk_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628541,HWD20_gp29,HWD20_gp29,birk_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628542,HWD20_gp30,HWD20_gp30,birk_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628543,HWD20_gp31,HWD20_gp31,birk_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628544,HWD20_gp32,HWD20_gp32,birk_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628545,HWD20_gp33,HWD20_gp33,birk_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628546,HWD20_gp34,HWD20_gp34,birk_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628547,HWD20_gp35,HWD20_gp35,birk_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628548,HWD20_gp36,HWD20_gp36,birk_36,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210129,-
2713282,55628549,HWD20_gp37,HWD20_gp37,birk_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628550,HWD20_gp38,HWD20_gp38,birk_38,-,-,-,DEAD box helicase,protein-coding,-,-,-,DEAD box helicase,20210129,-
2713282,55628551,HWD20_gp39,HWD20_gp39,birk_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628552,HWD20_gp40,HWD20_gp40,birk_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628553,HWD20_gp41,HWD20_gp41,birk_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628554,HWD20_gp42,HWD20_gp42,birk_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628555,HWD20_gp43,HWD20_gp43,birk_43,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210129,-
2713282,55628556,HWD20_gp44,HWD20_gp44,birk_44,-,-,-,DNA polymerase beta subunit,protein-coding,-,-,-,DNA polymerase beta subunit,20200620,-
2713282,55628557,HWD20_gp45,HWD20_gp45,birk_45,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210129,-
2713282,55628558,HWD20_gp46,HWD20_gp46,birk_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628559,HWD20_gp47,HWD20_gp47,birk_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628560,HWD20_gp48,HWD20_gp48,birk_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628561,HWD20_gp49,HWD20_gp49,birk_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628562,HWD20_gp50,HWD20_gp50,birk_50,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210129,-
2713282,55628563,HWD20_gp51,HWD20_gp51,birk_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628564,HWD20_gp52,HWD20_gp52,birk_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628565,HWD20_gp53,HWD20_gp53,birk_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628566,HWD20_gp54,HWD20_gp54,birk_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628567,HWD20_gp55,HWD20_gp55,birk_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628568,HWD20_gp56,HWD20_gp56,birk_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628569,HWD20_gp57,HWD20_gp57,birk_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628570,HWD20_gp58,HWD20_gp58,birk_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628571,HWD20_gp59,HWD20_gp59,birk_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628572,HWD20_gp60,HWD20_gp60,birk_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628573,HWD20_gp61,HWD20_gp61,birk_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628574,HWD20_gp62,HWD20_gp62,birk_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628575,HWD20_gp63,HWD20_gp63,birk_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628576,HWD20_gp64,HWD20_gp64,birk_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628577,HWD20_gp65,HWD20_gp65,birk_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628578,HWD20_gp66,HWD20_gp66,birk_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628579,HWD20_gp67,HWD20_gp67,birk_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713282,55628580,HWD20_gp68,HWD20_gp68,birk_68,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200620,-
2713282,55628581,HWD20_gp69,HWD20_gp69,birk_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628582,HWD20_gp70,HWD20_gp70,birk_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628583,HWD20_gp71,HWD20_gp71,birk_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628584,HWD20_gp72,HWD20_gp72,birk_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713282,55628585,HWD20_gp73,HWD20_gp73,birk_73,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2713282,55628586,HWD20_gp74,HWD20_gp74,birk_74,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200620,-
