#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024309,40095696,FDJ03_gp001,FDJ03_gp001,Sf24_gp1,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200629,-
2024309,40095697,FDJ03_gp002,FDJ03_gp002,Sf24_gp2,-,-,-,head completion,protein-coding,-,-,-,head completion,20201221,-
2024309,40095698,FDJ03_gp003,FDJ03_gp003,Sf24_gp3,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024309,40095699,FDJ03_gp004,FDJ03_gp004,Sf24_gp4,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200629,-
2024309,40095700,FDJ03_gp005,FDJ03_gp005,Sf24_gp5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095701,FDJ03_gp006,FDJ03_gp006,Sf24_gp6,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201221,-
2024309,40095702,FDJ03_gp007,FDJ03_gp007,Sf24_gp7,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024309,40095703,FDJ03_gp008,FDJ03_gp008,Sf24_gp8,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024309,40095704,FDJ03_gp009,FDJ03_gp009,Sf24_gp9,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024309,40095705,FDJ03_gp010,FDJ03_gp010,Sf24_gp10,-,-,-,baseplate wedge subunit and tail fiber connector,protein-coding,-,-,-,baseplate wedge subunit and tail fiber connector,20200629,-
2024309,40095706,FDJ03_gp011,FDJ03_gp011,Sf24_gp11,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200629,-
2024309,40095707,FDJ03_gp012,FDJ03_gp012,Sf24_gp12,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210327,-
2024309,40095708,FDJ03_gp013,FDJ03_gp013,Sf24_gp13,-,-,-,short tail fiber,protein-coding,-,-,-,short tail fiber,20210327,-
2024309,40095709,FDJ03_gp014,FDJ03_gp014,Sf24_gp14,-,-,-,whisker neck fibers protein,protein-coding,-,-,-,whisker neck fibers protein,20200629,-
2024309,40095710,FDJ03_gp015,FDJ03_gp015,Sf24_gp15,-,-,-,neck or collar protein,protein-coding,-,-,-,neck or collar protein,20200629,-
2024309,40095711,FDJ03_gp016,FDJ03_gp016,Sf24_gp16,-,-,-,neck or collar protein,protein-coding,-,-,-,neck or collar protein,20200629,-
2024309,40095712,FDJ03_gp017,FDJ03_gp017,Sf24_gp17,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200629,-
2024309,40095713,FDJ03_gp018,FDJ03_gp018,Sf24_gp18,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
2024309,40095714,FDJ03_gp019,FDJ03_gp019,Sf24_gp19,-,-,-,putative terminase subunit nuclease and ATPase,protein-coding,-,-,-,putative terminase subunit nuclease and ATPase,20201221,-
2024309,40095715,FDJ03_gp020,FDJ03_gp020,Sf24_gp20,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
2024309,40095716,FDJ03_gp021,FDJ03_gp021,Sf24_gp21,-,-,-,inner tail tube protein,protein-coding,-,-,-,inner tail tube protein,20200629,-
2024309,40095717,FDJ03_gp022,FDJ03_gp022,Sf24_gp22,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20200629,-
2024309,40095718,FDJ03_gp023,FDJ03_gp023,Sf24_gp23,-,-,-,prohead core scaffolding protein,protein-coding,-,-,-,prohead core scaffolding protein,20200629,-
2024309,40095719,FDJ03_gp024,FDJ03_gp024,Sf24_gp24,-,-,-,prohead core scaffolding protein,protein-coding,-,-,-,prohead core scaffolding protein,20200629,-
2024309,40095720,FDJ03_gp025,FDJ03_gp025,Sf24_gp25,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20210212,-
2024309,40095721,FDJ03_gp026,FDJ03_gp026,Sf24_gp26,-,-,-,prohead core scaffolding protein,protein-coding,-,-,-,prohead core scaffolding protein,20200629,-
2024309,40095722,FDJ03_gp027,FDJ03_gp027,Sf24_gp27,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
2024309,40095723,FDJ03_gp028,FDJ03_gp028,Sf24_gp28,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein|gp28,20200629,-
2024309,40095724,FDJ03_gp029,FDJ03_gp029,Sf24_gp29,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210424,-
2024309,40095725,FDJ03_gp030,FDJ03_gp030,Sf24_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095726,FDJ03_gp031,FDJ03_gp031,Sf24_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024309,40095727,FDJ03_gp032,FDJ03_gp032,Sf24_gp32,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200629,-
2024309,40095728,FDJ03_gp033,FDJ03_gp033,Sf24_gp33,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210123,-
2024309,40095729,FDJ03_gp034,FDJ03_gp034,Sf24_gp34,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
2024309,40095730,FDJ03_gp035,FDJ03_gp035,Sf24_gp35,-,-,-,DUF2685 domain-containing protein,protein-coding,-,-,-,DUF2685 domain-containing protein,20201221,-
