#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1427476,18263313,AZ41_gp1,AZ41_gp1,-,-,-,-,RNA-dependent RNA polymerase,protein-coding,-,-,-,RNA-dependent RNA polymerase,20180816,-
1427476,18266833,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
1427476,22012468,AZ41s5_gp1,AZ41s5_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22012470,AZ41s6_gp1,AZ41s6_gp1,-,-,-,-,NTP-binding domain protein,protein-coding,-,-,-,NTP-binding domain protein,20180816,-
1427476,22129391,AZ41s3_gp1,AZ41s3_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129393,AZ41s4_gp1,AZ41s4_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129395,AZ41s2_gp1,AZ41s2_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129397,AZ41s8_gp1,AZ41s8_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129399,AZ41s10_gp1,AZ41s10_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129401,AZ41s7_gp1,AZ41s7_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129403,AZ41s9_gp1,AZ41s9_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129405,AZ41s11_gp1,AZ41s11_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1427476,22129407,AZ41s12_gp1,AZ41s12_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
