#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1880822,40103140,FDG72_gp001,FDG72_gp001,-,-,-,-,Phage lysis inhibitor T4-like rIIA-rIIB membrane associated T4 GC1698,protein-coding,-,-,-,Phage lysis inhibitor T4-like rIIA-rIIB membrane associated T4 GC1698,20200910,-
1880822,40103141,FDG72_gp276,FDG72_gp276,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103142,FDG72_gp002,FDG72_gp002,-,-,-,-,Phage rIIA lysis inhibitor,protein-coding,-,-,-,Phage rIIA lysis inhibitor,20200910,-
1880822,40103143,FDG72_gp003,FDG72_gp003,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103144,FDG72_gp004,FDG72_gp004,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210116,-
1880822,40103145,FDG72_gp005,FDG72_gp005,-,-,-,-,"DNA topoisomerase, phage-associated",protein-coding,-,-,-,"DNA topoisomerase, phage-associated",20200910,-
1880822,40103146,FDG72_gp006,FDG72_gp006,-,-,-,-,Phage DNA topoisomerase large subunit,protein-coding,-,-,-,Phage DNA topoisomerase large subunit,20201221,-
1880822,40103147,FDG72_gp007,FDG72_gp007,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103148,FDG72_gp008,FDG72_gp008,-,-,-,-,Transcriptional regulator,protein-coding,-,-,-,Transcriptional regulator,20200910,-
1880822,40103149,FDG72_gp009,FDG72_gp009,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103150,FDG72_gp010,FDG72_gp010,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103151,FDG72_gp011,FDG72_gp011,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210417,-
1880822,40103152,FDG72_gp012,FDG72_gp012,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103153,FDG72_gp013,FDG72_gp013,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103154,FDG72_gp014,FDG72_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103155,FDG72_gp015,FDG72_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103156,FDG72_gp016,FDG72_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103157,FDG72_gp017,FDG72_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103158,FDG72_gp018,FDG72_gp018,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103159,FDG72_gp019,FDG72_gp019,-,-,-,-,T4-like phage DexA exonuclease A #T4 GC1472,protein-coding,-,-,-,T4-like phage DexA exonuclease A #T4 GC1472,20200910,-
1880822,40103160,FDG72_gp020,FDG72_gp020,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103161,FDG72_gp021,FDG72_gp021,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103162,FDG72_gp022,FDG72_gp022,-,-,-,-,"DNA helicase, phage-associated",protein-coding,-,-,-,"DNA helicase, phage-associated",20200910,-
1880822,40103163,FDG72_gp023,FDG72_gp023,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103164,FDG72_gp024,FDG72_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103165,FDG72_gp025,FDG72_gp025,-,-,-,-,"dCTP pyrophosphatase, phage-associated",protein-coding,-,-,-,"dCTP pyrophosphatase, phage-associated",20200910,-
