#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
146777,58116778,orf927,H4Q15_mgp03,-,-,MT,-,reverse transcriptase,protein-coding,-,-,-,reverse transcriptase,20210522,-
146777,58116779,orf394,H4Q15_mgp04,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116780,orf344,H4Q15_mgp05,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116781,orf311,H4Q15_mgp06,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116782,orf179,H4Q15_mgp07,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116783,orf267,H4Q15_mgp08,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116784,orf276,H4Q15_mgp09,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116785,nad4,H4Q15_mgp10,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210522,-
146777,58116786,orf374,H4Q15_mgp02,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116787,orf120,H4Q15_mgp12,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116788,cox3,H4Q15_mgp13,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210522,-
146777,58116789,orf115,H4Q15_mgp11,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20200804,-
146777,58116790,atp8,H4Q15_mgp15,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210522,-
146777,58116791,orf284,H4Q15_mgp14,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116792,trnW(cca),H4Q15_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116793,trnD(gtc),H4Q15_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116794,nad4L,H4Q15_mgp51,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210522,-
146777,58116795,nad5,H4Q15_mgp50,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210522,-
146777,58116796,orf431,H4Q15_mgp48,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20200804,-
146777,58116797,trnN(gtt),H4Q15_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116798,orf400,H4Q15_mgp49,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116799,trnC(gca),H4Q15_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116800,trnR(tct),H4Q15_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116801,rnl,H4Q15_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
146777,58116802,orf338,H4Q15_mgp46,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116803,orf424,H4Q15_mgp45,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116804,orf317,H4Q15_mgp44,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116805,orf237,H4Q15_mgp43,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116806,orf152,H4Q15_mgp42,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116807,orf230,H4Q15_mgp41,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116808,cox2,H4Q15_mgp40,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210522,-
146777,58116809,orf127,H4Q15_mgp47,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116810,orf763,H4Q15_mgp38,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116811,orf82,H4Q15_mgp37,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20200804,-
146777,58116812,orf356,H4Q15_mgp36,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116813,trnA(tgc),H4Q15_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116814,orf266,H4Q15_mgp39,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116815,trnF(gaa),H4Q15_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116816,trnY(gta),H4Q15_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116817,trnM(cat),H4Q15_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116818,trnL(taa),H4Q15_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116819,trnG(tcc),H4Q15_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116820,trnM(cat),H4Q15_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116821,trnE(ttc),H4Q15_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116822,trnT(tgt),H4Q15_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116823,trnI(gat),H4Q15_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116824,trnK(ttt),H4Q15_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116825,nad2,H4Q15_mgp35,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210522,-
146777,58116826,nad3,H4Q15_mgp34,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210522,-
146777,58116827,trnS(gct),H4Q15_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116828,trnQ(ttg),H4Q15_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116829,trnH(gtg),H4Q15_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116830,nad1,H4Q15_mgp33,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210522,-
