#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1225793,40102824,FDJ60_gp02,FDJ60_gp02,HMPREFV_HMPID9886gp0002,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210417,-
1225793,40102825,FDJ60_gp03,FDJ60_gp03,HMPREFV_HMPID9886gp0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102826,FDJ60_gp04,FDJ60_gp04,HMPREFV_HMPID9886gp0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102827,FDJ60_gp05,FDJ60_gp05,HMPREFV_HMPID9886gp0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102828,FDJ60_gp06,FDJ60_gp06,HMPREFV_HMPID9886gp0006,-,-,-,DUF3164 family protein,protein-coding,-,-,-,DUF3164 family protein,20201219,-
1225793,40102829,FDJ60_gp07,FDJ60_gp07,HMPREFV_HMPID9886gp0007,-,-,-,bacterioprotein,protein-coding,-,-,-,bacterioprotein,20210417,-
1225793,40102830,FDJ60_gp08,FDJ60_gp08,HMPREFV_HMPID9886gp0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102831,FDJ60_gp09,FDJ60_gp09,HMPREFV_HMPID9886gp0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102832,FDJ60_gp10,FDJ60_gp10,HMPREFV_HMPID9886gp0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102833,FDJ60_gp11,FDJ60_gp11,HMPREFV_HMPID9886gp0012,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201219,-
1225793,40102834,FDJ60_gp12,FDJ60_gp12,HMPREFV_HMPID9886gp0013,-,-,-,DDE-type integrase/transposase/recombinase,protein-coding,-,-,-,DDE-type integrase/transposase/recombinase,20201219,-
1225793,40102835,FDJ60_gp13,FDJ60_gp13,HMPREFV_HMPID9886gp0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102836,FDJ60_gp14,FDJ60_gp14,HMPREFV_HMPID9886gp0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102837,FDJ60_gp15,FDJ60_gp15,HMPREFV_HMPID9886gp0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102838,FDJ60_gp16,FDJ60_gp16,HMPREFV_HMPID9886gp0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102839,FDJ60_gp17,FDJ60_gp17,HMPREFV_HMPID9886gp0020,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201219,-
1225793,40102840,FDJ60_gp18,FDJ60_gp18,HMPREFV_HMPID9886gp0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102841,FDJ60_gp19,FDJ60_gp19,HMPREFV_HMPID9886gp0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102842,FDJ60_gp20,FDJ60_gp20,HMPREFV_HMPID9886gp0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102843,FDJ60_gp21,FDJ60_gp21,HMPREFV_HMPID9886gp0025,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20210123,-
1225793,40102844,FDJ60_gp22,FDJ60_gp22,HMPREFV_HMPID9886gp0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102845,FDJ60_gp23,FDJ60_gp23,HMPREFV_HMPID9886gp0027,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20201219,-
1225793,40102846,FDJ60_gp24,FDJ60_gp24,HMPREFV_HMPID9886gp0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102847,FDJ60_gp25,FDJ60_gp25,HMPREFV_HMPID9886gp0029,-,-,-,DUF3486 family protein,protein-coding,-,-,-,DUF3486 family protein,20210129,-
1225793,40102848,FDJ60_gp26,FDJ60_gp26,HMPREFV_HMPID9886gp0030,-,-,-,protein gp28,protein-coding,-,-,-,protein gp28,20201219,-
1225793,40102849,FDJ60_gp27,FDJ60_gp27,HMPREFV_HMPID9886gp0031,-,-,-,DUF935 family protein,protein-coding,-,-,-,DUF935 family protein,20210123,-
1225793,40102850,FDJ60_gp28,FDJ60_gp28,HMPREFV_HMPID9886gp0032,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210417,-
1225793,40102851,FDJ60_gp29,FDJ60_gp29,HMPREFV_HMPID9886gp0033,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201219,-
1225793,40102852,FDJ60_gp30,FDJ60_gp30,HMPREFV_HMPID9886gp0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102853,FDJ60_gp31,FDJ60_gp31,HMPREFV_HMPID9886gp0035,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20201219,-
1225793,40102854,FDJ60_gp32,FDJ60_gp32,HMPREFV_HMPID9886gp0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102855,FDJ60_gp33,FDJ60_gp33,HMPREFV_HMPID9886gp0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102856,FDJ60_gp34,FDJ60_gp34,HMPREFV_HMPID9886gp0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102857,FDJ60_gp35,FDJ60_gp35,HMPREFV_HMPID9886gp0039,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210417,-
1225793,40102858,FDJ60_gp36,FDJ60_gp36,HMPREFV_HMPID9886gp0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102859,FDJ60_gp37,FDJ60_gp37,HMPREFV_HMPID9886gp0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102860,FDJ60_gp38,FDJ60_gp38,HMPREFV_HMPID9886gp0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102861,FDJ60_gp39,FDJ60_gp39,HMPREFV_HMPID9886gp0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102862,FDJ60_gp40,FDJ60_gp40,HMPREFV_HMPID9886gp0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102863,FDJ60_gp41,FDJ60_gp41,HMPREFV_HMPID9886gp0045,-,-,-,putative prophage tail length tape measure protein,protein-coding,-,-,-,putative prophage tail length tape measure protein,20201219,-
1225793,40102864,FDJ60_gp42,FDJ60_gp42,HMPREFV_HMPID9886gp0046,-,-,-,pseudo,pseudo,-,-,-,-,20201219,-
1225793,40102865,FDJ60_gp43,FDJ60_gp43,HMPREFV_HMPID9886gp0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102866,FDJ60_gp44,FDJ60_gp44,HMPREFV_HMPID9886gp0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102867,FDJ60_gp45,FDJ60_gp45,HMPREFV_HMPID9886gp0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102868,FDJ60_gp46,FDJ60_gp46,HMPREFV_HMPID9886gp0050,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201219,-
1225793,40102869,FDJ60_gp47,FDJ60_gp47,HMPREFV_HMPID9886gp0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102870,FDJ60_gp48,FDJ60_gp48,HMPREFV_HMPID9886gp0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102871,FDJ60_gp49,FDJ60_gp49,HMPREFV_HMPID9886gp0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102872,FDJ60_gp50,FDJ60_gp50,HMPREFV_HMPID9886gp0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102873,FDJ60_gp51,FDJ60_gp51,HMPREFV_HMPID9886gp0055,-,-,-,PF10983 family protein,protein-coding,-,-,-,PF10983 family protein,20201219,-
1225793,40102874,FDJ60_gp52,FDJ60_gp52,HMPREFV_HMPID9886gp0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102875,FDJ60_gp53,FDJ60_gp53,HMPREFV_HMPID9886gp0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1225793,40102876,FDJ60_gp01,FDJ60_gp01,HMPREFV_HMPID9886gp0001,-,-,-,mor transcription activator family protein,protein-coding,-,-,-,mor transcription activator family protein,20210129,-
1225793,40120132,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
