#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1904413,64638734,DEU56DRAFT_10000,DEU56DRAFT_10000,-,-,Unknown,-,BET3 family protein,protein-coding,-,-,-,BET3 family protein,20210605,-
1904413,64638735,DEU56DRAFT_100243,DEU56DRAFT_100243,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638736,DEU56DRAFT_100676,DEU56DRAFT_100676,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638737,DEU56DRAFT_100709,DEU56DRAFT_100709,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638738,DEU56DRAFT_100897,DEU56DRAFT_100897,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638739,DEU56DRAFT_10125,DEU56DRAFT_10125,-,-,Unknown,-,BCS1 N terminal-domain-containing protein,protein-coding,-,-,-,BCS1 N terminal-domain-containing protein,20210605,-
1904413,64638740,DEU56DRAFT_102670,DEU56DRAFT_102670,-,-,Unknown,-,mitochondrial carrier domain-containing protein,protein-coding,-,-,-,mitochondrial carrier domain-containing protein,20210605,-
1904413,64638741,DEU56DRAFT_102683,DEU56DRAFT_102683,-,-,Unknown,-,UAA transporter,protein-coding,-,-,-,UAA transporter,20210605,-
1904413,64638742,DEU56DRAFT_102748,DEU56DRAFT_102748,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638743,DEU56DRAFT_102821,DEU56DRAFT_102821,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638744,DEU56DRAFT_102829,DEU56DRAFT_102829,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638745,DEU56DRAFT_103300,DEU56DRAFT_103300,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638746,DEU56DRAFT_103499,DEU56DRAFT_103499,-,-,Unknown,-,tRNA modification GTPase TrmE,protein-coding,-,-,-,tRNA modification GTPase TrmE,20210605,-
1904413,64638747,DEU56DRAFT_103656,DEU56DRAFT_103656,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638748,DEU56DRAFT_103753,DEU56DRAFT_103753,-,-,Unknown,-,60S ribosomal protein L18,protein-coding,-,-,-,60S ribosomal protein L18,20210605,-
1904413,64638749,DEU56DRAFT_103804,DEU56DRAFT_103804,-,-,Unknown,-,"MBOAT, membrane-bound O-acyltransferase family-domain-containing protein",protein-coding,-,-,-,"MBOAT, membrane-bound O-acyltransferase family-domain-containing protein",20210605,-
1904413,64638750,DEU56DRAFT_103833,DEU56DRAFT_103833,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638751,DEU56DRAFT_103922,DEU56DRAFT_103922,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
