#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599884,65122084,2,KNU73_gp02,PBI_XULA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2599884,65122085,3,KNU73_gp03,PBI_XULA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122086,4,KNU73_gp04,PBI_XULA_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2599884,65122087,5,KNU73_gp05,PBI_XULA_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210608,-
2599884,65122088,6,KNU73_gp06,PBI_XULA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2599884,65122089,7,KNU73_gp07,PBI_XULA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122090,8,KNU73_gp08,PBI_XULA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2599884,65122091,9,KNU73_gp09,PBI_XULA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210608,-
2599884,65122092,10,KNU73_gp10,PBI_XULA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122093,11,KNU73_gp11,PBI_XULA_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210608,-
2599884,65122094,12,KNU73_gp12,PBI_XULA_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2599884,65122095,14,KNU73_gp13,PBI_XULA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2599884,65122096,15,KNU73_gp15,PBI_XULA_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2599884,65122097,13,KNU73_gp14,PBI_XULA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2599884,65122098,16,KNU73_gp16,PBI_XULA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2599884,65122099,17,KNU73_gp17,PBI_XULA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122100,18,KNU73_gp18,PBI_XULA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2599884,65122101,19,KNU73_gp19,PBI_XULA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122102,20,KNU73_gp20,PBI_XULA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2599884,65122103,21,KNU73_gp21,PBI_XULA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2599884,65122104,22,KNU73_gp22,PBI_XULA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122105,23,KNU73_gp23,PBI_XULA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122106,24,KNU73_gp24,PBI_XULA_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2599884,65122107,25,KNU73_gp25,PBI_XULA_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2599884,65122108,26,KNU73_gp26,PBI_XULA_26,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2599884,65122109,27,KNU73_gp27,PBI_XULA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122110,28,KNU73_gp28,PBI_XULA_28,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210608,-
2599884,65122111,29,KNU73_gp29,PBI_XULA_29,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210608,-
2599884,65122112,30,KNU73_gp30,PBI_XULA_30,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2599884,65122113,31,KNU73_gp31,PBI_XULA_31,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210608,-
2599884,65122114,32,KNU73_gp32,PBI_XULA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122115,33,KNU73_gp33,PBI_XULA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122116,34,KNU73_gp34,PBI_XULA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
