#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
61420,43648700,BDV27DRAFT_10002,BDV27DRAFT_10002,-,-,Unknown,-,methyltransferase-domain-containing protein,protein-coding,-,-,-,methyltransferase-domain-containing protein,20210306,-
61420,43648701,BDV27DRAFT_100101,BDV27DRAFT_100101,-,-,Unknown,-,increased loss of mitochondrial DNA protein 1,protein-coding,-,-,-,increased loss of mitochondrial DNA protein 1,20210306,-
61420,43648702,BDV27DRAFT_100136,BDV27DRAFT_100136,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210306,-
61420,43648703,BDV27DRAFT_100142,BDV27DRAFT_100142,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648704,BDV27DRAFT_100230,BDV27DRAFT_100230,-,-,Unknown,-,eukaryotic translation initiation factor 3 subunit J,protein-coding,-,-,-,eukaryotic translation initiation factor 3 subunit J,20210306,-
61420,43648705,BDV27DRAFT_100279,BDV27DRAFT_100279,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20210306,-
61420,43648706,BDV27DRAFT_100280,BDV27DRAFT_100280,-,-,Unknown,-,putative carboxypeptidase,protein-coding,-,-,-,putative carboxypeptidase,20201217,-
61420,43648707,BDV27DRAFT_100364,BDV27DRAFT_100364,-,-,Unknown,-,ankyrin repeat-containing domain protein,protein-coding,-,-,-,ankyrin repeat-containing domain protein,20210306,-
61420,43648708,BDV27DRAFT_100382,BDV27DRAFT_100382,-,-,Unknown,-,CVNH domain-containing protein,protein-coding,-,-,-,CVNH domain-containing protein,20210306,-
61420,43648709,BDV27DRAFT_100408,BDV27DRAFT_100408,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20201217,-
61420,43648710,BDV27DRAFT_100424,BDV27DRAFT_100424,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648711,BDV27DRAFT_100467,BDV27DRAFT_100467,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648712,BDV27DRAFT_100469,BDV27DRAFT_100469,-,-,Unknown,-,glycoside hydrolase superfamily,protein-coding,-,-,-,glycoside hydrolase superfamily,20210306,-
61420,43648713,BDV27DRAFT_100595,BDV27DRAFT_100595,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648714,BDV27DRAFT_100607,BDV27DRAFT_100607,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648715,BDV27DRAFT_100609,BDV27DRAFT_100609,-,-,Unknown,-,beta-lactamase/transpeptidase-like protein,protein-coding,-,-,-,beta-lactamase/transpeptidase-like protein,20210306,-
61420,43648716,BDV27DRAFT_100644,BDV27DRAFT_100644,-,-,Unknown,-,beta-lactamase/transpeptidase-like protein,protein-coding,-,-,-,beta-lactamase/transpeptidase-like protein,20210306,-
61420,43648717,BDV27DRAFT_100686,BDV27DRAFT_100686,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648718,BDV27DRAFT_100834,BDV27DRAFT_100834,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
61420,43648719,BDV27DRAFT_100840,BDV27DRAFT_100840,-,-,Unknown,-,ras family-domain-containing protein,protein-coding,-,-,-,ras family-domain-containing protein,20201201,-
61420,43648720,BDV27DRAFT_100888,BDV27DRAFT_100888,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
61420,43648721,BDV27DRAFT_101009,BDV27DRAFT_101009,-,-,Unknown,-,regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,protein-coding,-,-,-,regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,20201217,-
61420,43648722,BDV27DRAFT_101026,BDV27DRAFT_101026,-,-,Unknown,-,Nup93/Nic96-domain-containing protein,protein-coding,-,-,-,Nup93/Nic96-domain-containing protein,20210306,-
61420,43648723,BDV27DRAFT_101047,BDV27DRAFT_101047,-,-,Unknown,-,protein-tyrosine phosphatase-like protein,protein-coding,-,-,-,protein-tyrosine phosphatase-like protein,20201217,-
61420,43648724,BDV27DRAFT_101268,BDV27DRAFT_101268,-,-,Unknown,-,armadillo-type protein,protein-coding,-,-,-,armadillo-type protein,20201217,-
61420,43648725,BDV27DRAFT_101279,BDV27DRAFT_101279,-,-,Unknown,-,phosphoribosyltransferase-like protein,protein-coding,-,-,-,phosphoribosyltransferase-like protein,20201217,-
61420,43648726,BDV27DRAFT_101394,BDV27DRAFT_101394,-,-,Unknown,-,HSF-type DNA-binding-domain-containing protein,protein-coding,-,-,-,HSF-type DNA-binding-domain-containing protein,20210306,-
61420,43648727,BDV27DRAFT_101447,BDV27DRAFT_101447,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20201217,-
61420,43648728,BDV27DRAFT_101477,BDV27DRAFT_101477,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
61420,43648729,BDV27DRAFT_101508,BDV27DRAFT_101508,-,-,Unknown,-,3-hydroxyacyl-CoA dehydrogenase,protein-coding,-,-,-,3-hydroxyacyl-CoA dehydrogenase,20201217,-
61420,43648730,BDV27DRAFT_101523,BDV27DRAFT_101523,-,-,Unknown,-,HotDog domain-containing protein,protein-coding,-,-,-,HotDog domain-containing protein,20201217,-
61420,43648731,BDV27DRAFT_101537,BDV27DRAFT_101537,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210306,-
61420,43648732,BDV27DRAFT_101654,BDV27DRAFT_101654,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648733,BDV27DRAFT_101733,BDV27DRAFT_101733,-,-,Unknown,-,NADPH--cytochrome P450 reductase,protein-coding,-,-,-,NADPH--cytochrome P450 reductase,20210306,-
61420,43648734,BDV27DRAFT_101740,BDV27DRAFT_101740,-,-,Unknown,-,mono-functional DNA-alkylating methyl methanesulfonate N-term-domain-containing protein,protein-coding,-,-,-,mono-functional DNA-alkylating methyl methanesulfonate N-term-domain-containing protein,20210306,-
61420,43648735,BDV27DRAFT_101882,BDV27DRAFT_101882,-,-,Unknown,-,FAD binding domain-containing protein,protein-coding,-,-,-,FAD binding domain-containing protein,20210306,-
61420,43648736,BDV27DRAFT_101925,BDV27DRAFT_101925,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648737,BDV27DRAFT_10197,BDV27DRAFT_10197,-,-,Unknown,-,galactose-1-phosphate uridyl transferase,protein-coding,-,-,-,galactose-1-phosphate uridyl transferase,20201217,-
61420,43648738,BDV27DRAFT_101988,BDV27DRAFT_101988,-,-,Unknown,-,ADC synthase,protein-coding,-,-,-,ADC synthase,20201217,-
61420,43648739,BDV27DRAFT_102026,BDV27DRAFT_102026,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648740,BDV27DRAFT_102041,BDV27DRAFT_102041,-,-,Unknown,-,mitochondrial carrier domain-containing protein,protein-coding,-,-,-,mitochondrial carrier domain-containing protein,20210306,-
