#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1511,9867457,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Clostridium sticklandii.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210314,-
1511,35557146,CLOST_RS05315,CLOST_RS05315,CLOST_1020,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557150,CLOST_RS02045,CLOST_RS02045,CLOST_0382,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557171,CLOST_RS01715,CLOST_RS01715,CLOST_0313,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557175,CLOST_RS02665,CLOST_RS02665,CLOST_tRNA25,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557178,CLOST_RS06555,CLOST_RS06555,CLOST_1277,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557181,CLOST_RS08475,CLOST_RS08475,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557183,CLOST_RS07895,CLOST_RS07895,CLOST_1553,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557184,CLOST_RS07200,CLOST_RS07200,CLOST_tRNA31,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557185,CLOST_RS05535,CLOST_RS05535,CLOST_1066,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557186,CLOST_RS02080,CLOST_RS02080,CLOST_0389,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557193,CLOST_RS06535,CLOST_RS06535,CLOST_1273,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557199,CLOST_RS04260,CLOST_RS04260,CLOST_0800,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557201,CLOST_RS02670,CLOST_RS02670,CLOST_tRNA26,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557206,CLOST_RS11360,CLOST_RS11360,CLOST_2260,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557211,CLOST_RS00805,CLOST_RS00805,CLOST_0127,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557213,CLOST_RS07210,CLOST_RS07210,CLOST_1409,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557217,CLOST_RS03080,CLOST_RS03080,CLOST_0563,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557222,CLOST_RS02810,CLOST_RS02810,CLOST_0509,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
