#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1728958,26647623,SLUR09_00002,SLUR09_00002,-,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20210327,-
1728958,26647624,SLUR09_00003,SLUR09_00003,-,-,-,-,Bacteriophage T holin,protein-coding,-,-,-,Bacteriophage T holin,20200910,-
1728958,26647625,SLUR09_00004,SLUR09_00004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647626,SLUR09_00005,SLUR09_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647627,SLUR09_00006,SLUR09_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647628,SLUR09_00007,SLUR09_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1728958,26647629,SLUR09_00008,SLUR09_00008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647630,pphB,SLUR09_00009,-,-,-,-,Serine/threonine-protein phosphatase 2,protein-coding,-,-,-,Serine/threonine-protein phosphatase 2,20200910,-
1728958,26647631,SLUR09_00011,SLUR09_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1728958,26647632,SLUR09_00012,SLUR09_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647633,SLUR09_00013,SLUR09_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647634,SLUR09_00014,SLUR09_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647635,SLUR09_00015,SLUR09_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647636,SLUR09_00016,SLUR09_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647637,SLUR09_00017,SLUR09_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647638,SLUR09_00018,SLUR09_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647639,SLUR09_00019,SLUR09_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647640,SLUR09_00020,SLUR09_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647641,SLUR09_00021,SLUR09_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647642,SLUR09_00022,SLUR09_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647643,SLUR09_00023,SLUR09_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647644,SLUR09_00024,SLUR09_00024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647645,SLUR09_00025,SLUR09_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647646,SLUR09_00026,SLUR09_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647647,SLUR09_00027,SLUR09_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647648,SLUR09_00028,SLUR09_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647649,SLUR09_00029,SLUR09_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647650,SLUR09_00030,SLUR09_00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
