#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1785753,5845560,OtV5_116c,OtV5_116c,OsV5_128r|OsV5_129r|OsV5_130r,-,-,-,putative NTPase/helicase,protein-coding,-,-,-,putative NTPase/helicase,20201221,-
1785753,5845564,OtV5_071,OtV5_071,OsV5_080f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845565,OtV5_072,OtV5_072,OsV5_81f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845566,OtV5_073,OtV5_073,OsV5_082f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845567,OtV5_122c,OtV5_122c,OsV5_137r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845568,OtV5_123c,OtV5_123c,OsV5_138r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845569,OtV5_124c,OtV5_124c,OsV5_139f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845570,OtV5_032c,OtV5_032c,OsV5_032r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845571,OtV5_033c,OtV5_033c,OsV5_033r,-,-,-,putative alpha-1;2-galactosyltransferase,protein-coding,-,-,-,putative alpha-1;2-galactosyltransferase,20201221,-
1785753,5845572,OtV5_034c,OtV5_034c,OsV5_34r,-,-,-,putative TPR domain-containing protein,protein-coding,-,-,-,putative TPR domain-containing protein,20201221,-
1785753,5845573,OtV5_080,OtV5_080,OsV5_089f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845574,OtV5_081c,OtV5_081c,OsV5_090r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845575,OtV5_082c,OtV5_082c,OsV5_091r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845576,OtV5_233,OtV5_233,OsV5_255f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845577,OtV5_234,OtV5_234,OsV5_256f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845578,OtV5_235,OtV5_235,OsV5_257f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845579,OtV5_225,OtV5_225,OsV5_246f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845580,OtV5_226,OtV5_226,OsV5_247f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845581,OtV5_227,OtV5_227,OsV5_248f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845582,OtV5_139,OtV5_139,OsV5_155f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845583,OtV5_140,OtV5_140,OsV5_156f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845584,OtV5_141,OtV5_141,OsV5_157f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845585,OtV5_219,OtV5_219,OsV5_240f,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1785753,5845586,OtV5_220,OtV5_220,OsV5_241f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845587,OtV5_221,OtV5_221,OsV5_242f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845588,OtV5_133,OtV5_133,OsV5_149f,-,-,-,putative transcription activator,protein-coding,-,-,-,putative transcription activator,20201221,-
1785753,5845589,OtV5_134,OtV5_134,OsV5_150r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845590,OtV5_135,OtV5_135,OsV5_151f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845591,OtV5_130,OtV5_130,OsV5_146f,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1785753,5845592,OtV5_131c,OtV5_131c,OsV5_147r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845593,OtV5_132,OtV5_132,OsV5_148f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845594,OtV5_145,OtV5_145,OsV_5162f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845595,OtV5_146,OtV5_146,OsV5_163f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845596,OtV5_147,OtV5_147,OsV5_164f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845597,OtV5_151c,OtV5_151c,OsV5_168r,-,-,-,putative serine/threonine protein kinase,protein-coding,-,-,-,putative serine/threonine protein kinase,20201221,-
1785753,5845598,OtV5_152c,OtV5_152c,OsV5_169r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845599,OtV5_153c,OtV5_153c,OsV5_179r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845600,OtV5_089c,OtV5_089c,OsV5_098r,-,-,-,putative ATPase,protein-coding,-,-,-,putative ATPase,20201221,-
1785753,5845601,OtV5_090,OtV5_090,OsV5_099f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845602,OtV5_091,OtV5_091,OsV5_100f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845603,OtV5_026,OtV5_026,OsV5_026f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845604,OtV5_027c,OtV5_027c,OsV5_027r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845605,OtV5_028c,OtV5_028c,OsV5_028r,-,-,-,putative asparagine synthetase B,protein-coding,-,-,-,putative asparagine synthetase B,20201221,-
1785753,5845606,OtV5_056,OtV5_056,OsV5_059f,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201221,-
1785753,5845607,OtV5_057,OtV5_057,OsV5_060r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845609,OtV5_064,OtV5_064,OsV5_068f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845612,OtV5_011,OtV5_011,OsV5_011f,-,-,-,putative GDP-D-mannose 4; 6-dehydratase,protein-coding,-,-,-,putative GDP-D-mannose 4|6-dehydratase,20201221,-
1785753,5845613,OtV5_012c,OtV5_012c,OsV5_012r,-,-,-,putative glycosyl transferase group 1,protein-coding,-,-,-,putative glycosyl transferase group 1,20201221,-
1785753,5845614,OtV5_013c,OtV5_013c,OsV5_013r,-,-,-,putative cell division protein FtsH2,protein-coding,-,-,-,putative cell division protein FtsH2,20201221,-
1785753,5845615,OtV5_207,OtV5_207,OsV5_2228f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845616,OtV5_208,OtV5_208,OsV5_229f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845617,OtV5_209c,OtV5_209c,OsV5_230r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845618,OtV5_197,OtV5_197,OsV5_219f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845619,OtV5_199c,OtV5_199c,OsV5_220f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845620,OtV5_200,OtV5_200,OsV5_221f,-,-,-,putative proline dehydrogenase,protein-coding,-,-,-,putative proline dehydrogenase,20201221,-
1785753,5845621,OtV5_187c,OtV5_187c,OsV5_207r,-,-,-,putative ATP-dependent protease proteolytic subunit,protein-coding,-,-,-,putative ATP-dependent protease proteolytic subunit,20201221,-
