#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
687803,29124006,BJD43_gp002,BJD43_gp002,R290704_002,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
687803,29124007,BJD43_gp003,BJD43_gp003,R290704_003,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20200909,-
687803,29124008,BJD43_gp004,BJD43_gp004,R290704_004,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
687803,29124009,BJD43_gp005,BJD43_gp005,R290704_005,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
687803,29124010,BJD43_gp006,BJD43_gp006,R290704_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124011,BJD43_gp007,BJD43_gp007,R290704_007,-,-,-,baseplate hub assembly,protein-coding,-,-,-,baseplate hub assembly,20200909,-
687803,29124012,BJD43_gp008,BJD43_gp008,R290704_008,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20200909,-
687803,29124013,BJD43_gp009,BJD43_gp009,R290704_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124014,BJD43_gp010,BJD43_gp010,R290704_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124015,BJD43_gp011,BJD43_gp011,R290704_011,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
687803,29124016,BJD43_gp012,BJD43_gp012,R290704_012,-,-,-,CP12 carbon metabolic regulator,protein-coding,-,-,-,CP12 carbon metabolic regulator,20200909,-
687803,29124017,BJD43_gp013,BJD43_gp013,R290704_013,-,-,-,CpeT,protein-coding,-,-,-,CpeT,20200909,-
687803,29124018,BJD43_gp014,BJD43_gp014,R290704_014,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200909,-
687803,29124019,BJD43_gt001,BJD43_gt001,R290704_015,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124020,BJD43_gt002,BJD43_gt002,R290704_016,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124021,BJD43_gp227,BJD43_gp227,R290704_017,-,-,-,baseplate hub tail lysozyme,protein-coding,-,-,-,baseplate hub tail lysozyme,20200909,-
687803,29124022,BJD43_gp226,BJD43_gp226,R290704_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124023,BJD43_gp225,BJD43_gp225,R290704_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124024,BJD43_gp224,BJD43_gp224,R290704_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124025,BJD43_gp223,BJD43_gp223,R290704_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124026,BJD43_gp222,BJD43_gp222,R290704_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124027,BJD43_gt003,BJD43_gt003,R290704_023,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124028,BJD43_gt004,BJD43_gt004,R290704_024,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124029,BJD43_gt005,BJD43_gt005,R290704_025,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124030,BJD43_gt006,BJD43_gt006,R290704_026,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
687803,29124031,BJD43_gp221,BJD43_gp221,R290704_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124032,BJD43_gp220,BJD43_gp220,R290704_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124033,BJD43_gp219,BJD43_gp219,R290704_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124034,BJD43_gp218,BJD43_gp218,R290704_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124035,BJD43_gp217,BJD43_gp217,R290704_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124036,BJD43_gp216,BJD43_gp216,R290704_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124037,BJD43_gp215,BJD43_gp215,R290704_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124038,BJD43_gp214,BJD43_gp214,R290704_034,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
687803,29124039,BJD43_gp213,BJD43_gp213,R290704_035,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200909,-
687803,29124040,BJD43_gp212,BJD43_gp212,R290704_036,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200909,-
687803,29124041,BJD43_gp211,BJD43_gp211,R290704_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124042,BJD43_gp210,BJD43_gp210,R290704_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124043,BJD43_gp209,BJD43_gp209,R290704_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124044,BJD43_gp208,BJD43_gp208,R290704_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124045,BJD43_gp207,BJD43_gp207,R290704_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124046,BJD43_gp206,BJD43_gp206,R290704_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124047,BJD43_gp205,BJD43_gp205,R290704_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124048,BJD43_gp204,BJD43_gp204,R290704_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124049,BJD43_gp203,BJD43_gp203,R290704_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
