#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2488780,55008349,2,HOU70_gp02,PBI_LIEBE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2488780,55008350,3,HOU70_gp03,PBI_LIEBE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2488780,55008351,4,HOU70_gp04,PBI_LIEBE_4,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
2488780,55008352,5,HOU70_gp05,PBI_LIEBE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2488780,55008353,6,HOU70_gp06,PBI_LIEBE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2488780,55008354,7,HOU70_gp07,PBI_LIEBE_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2488780,55008355,8,HOU70_gp08,PBI_LIEBE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008356,9,HOU70_gp09,PBI_LIEBE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
2488780,55008357,10,HOU70_gp10,PBI_LIEBE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008358,11,HOU70_gp11,PBI_LIEBE_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2488780,55008359,12,HOU70_gp12,PBI_LIEBE_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2488780,55008360,14,HOU70_gp13,PBI_LIEBE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2488780,55008361,15,HOU70_gp15,PBI_LIEBE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2488780,55008362,13,HOU70_gp14,PBI_LIEBE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2488780,55008363,16,HOU70_gp16,PBI_LIEBE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2488780,55008364,17,HOU70_gp17,PBI_LIEBE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2488780,55008365,18,HOU70_gp18,PBI_LIEBE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2488780,55008366,19,HOU70_gp19,PBI_LIEBE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2488780,55008367,20,HOU70_gp20,PBI_LIEBE_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2488780,55008368,21,HOU70_gp21,PBI_LIEBE_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2488780,55008369,22,HOU70_gp22,PBI_LIEBE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008370,23,HOU70_gp23,PBI_LIEBE_23,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
2488780,55008371,24,HOU70_gp24,PBI_LIEBE_24,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210403,-
2488780,55008372,25,HOU70_gp25,PBI_LIEBE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008373,26,HOU70_gp26,PBI_LIEBE_26,-,-,-,RepA-like helicase,protein-coding,-,-,-,RepA-like helicase,20201221,-
2488780,55008374,27,HOU70_gp27,PBI_LIEBE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008375,28,HOU70_gp28,PBI_LIEBE_28,-,-,-,CMP N-glycosidase,protein-coding,-,-,-,CMP N-glycosidase,20210403,-
2488780,55008376,29,HOU70_gp29,PBI_LIEBE_29,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2488780,55008377,30,HOU70_gp30,PBI_LIEBE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008378,31,HOU70_gp31,PBI_LIEBE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008379,32,HOU70_gp32,PBI_LIEBE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008380,33,HOU70_gp33,PBI_LIEBE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2488780,55008381,34,HOU70_gp34,PBI_LIEBE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
