#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1868594,55600732,HWA97_gp02,HWA97_gp02,CDHM9_02,-,-,-,terminase B,protein-coding,-,-,-,terminase B,20210417,-
1868594,55600733,HWA97_gp03,HWA97_gp03,CDHM9_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1868594,55600734,HWA97_gp04,HWA97_gp04,CDHM9_04,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200620,-
1868594,55600735,HWA97_gp05,HWA97_gp05,CDHM9_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600736,HWA97_gp06,HWA97_gp06,CDHM9_06,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20210403,-
1868594,55600737,HWA97_gp07,HWA97_gp07,CDHM9_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600738,HWA97_gp08,HWA97_gp08,CDHM9_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600739,HWA97_gp09,HWA97_gp09,CDHM9_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600740,HWA97_gp10,HWA97_gp10,CDHM9_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600741,HWA97_gp11,HWA97_gp11,CDHM9_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600742,HWA97_gp12,HWA97_gp12,CDHM9_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600743,HWA97_gp13,HWA97_gp13,CDHM9_13,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20210212,-
1868594,55600744,HWA97_gp14,HWA97_gp14,CDHM9_14,-,-,-,XkdM-related protein,protein-coding,-,-,-,XkdM-related protein,20210212,-
1868594,55600745,HWA97_gp15,HWA97_gp15,CDHM9_15,-,-,-,XkdN-like family protein,protein-coding,-,-,-,XkdN-like family protein,20210212,-
1868594,55600746,HWA97_gp16,HWA97_gp16,CDHM9_16,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210529,-
1868594,55600747,HWA97_gp17,HWA97_gp17,CDHM9_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1868594,55600748,HWA97_gp18,HWA97_gp18,CDHM9_18,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20210529,-
1868594,55600749,HWA97_gp19,HWA97_gp19,CDHM9_19,-,-,-,XkdQ,protein-coding,-,-,-,XkdQ,20201221,-
1868594,55600750,HWA97_gp20,HWA97_gp20,CDHM9_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600751,HWA97_gp21,HWA97_gp21,CDHM9_21,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210529,-
1868594,55600752,HWA97_gp22,HWA97_gp22,CDHM9_22,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20210212,-
1868594,55600753,HWA97_gp23,HWA97_gp23,CDHM9_23,-,-,-,YmfQ family protein,protein-coding,-,-,-,YmfQ family protein,20210212,-
1868594,55600754,HWA97_gp24,HWA97_gp24,CDHM9_24,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210212,-
1868594,55600755,HWA97_gp25,HWA97_gp25,CDHM9_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600756,HWA97_gp26,HWA97_gp26,CDHM9_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600757,HWA97_gp27,HWA97_gp27,CDHM9_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600758,HWA97_gp28,HWA97_gp28,CDHM9_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600759,HWA97_gp29,HWA97_gp29,CDHM9_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600760,HWA97_gp30,HWA97_gp30,CDHM9_30,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20210529,-
1868594,55600761,HWA97_gp31,HWA97_gp31,CDHM9_31,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210529,-
1868594,55600762,HWA97_gp32,HWA97_gp32,CDHM9_32,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210424,-
1868594,55600763,HWA97_gp33,HWA97_gp33,CDHM9_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600764,HWA97_gp34,HWA97_gp34,CDHM9_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1868594,55600765,HWA97_gp35,HWA97_gp35,CDHM9_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1868594,55600766,HWA97_gp36,HWA97_gp36,CDHM9_36,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20210129,-
1868594,55600767,HWA97_gp37,HWA97_gp37,CDHM9_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600768,HWA97_gp38,HWA97_gp38,CDHM9_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600769,HWA97_gp39,HWA97_gp39,CDHM9_39,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210529,-
1868594,55600770,HWA97_gp40,HWA97_gp40,CDHM9_40,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210424,-
1868594,55600771,HWA97_gp41,HWA97_gp41,CDHM9_41,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210424,-
1868594,55600772,HWA97_gp42,HWA97_gp42,CDHM9_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600773,HWA97_gp43,HWA97_gp43,CDHM9_43,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1868594,55600774,HWA97_gp44,HWA97_gp44,CDHM9_44,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1868594,55600775,HWA97_gp45,HWA97_gp45,CDHM9_45,-,-,-,DUF739 family protein,protein-coding,-,-,-,DUF739 family protein,20210212,-
1868594,55600776,HWA97_gp46,HWA97_gp46,CDHM9_46,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210424,-
1868594,55600777,HWA97_gp47,HWA97_gp47,CDHM9_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600778,HWA97_gp48,HWA97_gp48,CDHM9_48,-,-,-,Arc-like DNA binding domain protein,protein-coding,-,-,-,Arc-like DNA binding domain protein,20210424,-
1868594,55600779,HWA97_gp49,HWA97_gp49,CDHM9_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600780,HWA97_gp50,HWA97_gp50,CDHM9_50,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1868594,55600781,HWA97_gp51,HWA97_gp51,CDHM9_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600782,HWA97_gp52,HWA97_gp52,CDHM9_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600783,HWA97_gp53,HWA97_gp53,CDHM9_53,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210424,-
1868594,55600784,HWA97_gp54,HWA97_gp54,CDHM9_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1868594,55600785,HWA97_gp55,HWA97_gp55,CDHM9_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600786,HWA97_gp56,HWA97_gp56,CDHM9_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600787,HWA97_gp57,HWA97_gp57,CDHM9_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600788,HWA97_gp58,HWA97_gp58,CDHM9_58,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20210424,-
1868594,55600789,HWA97_gp59,HWA97_gp59,CDHM9_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600790,HWA97_gp60,HWA97_gp60,CDHM9_60,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1868594,55600791,HWA97_gp61,HWA97_gp61,CDHM9_61,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210424,-
1868594,55600792,HWA97_gp62,HWA97_gp62,CDHM9_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600793,HWA97_gp63,HWA97_gp63,CDHM9_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600794,HWA97_gp64,HWA97_gp64,CDHM9_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600795,HWA97_gp65,HWA97_gp65,CDHM9_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600796,HWA97_gp66,HWA97_gp66,CDHM9_66,-,-,-,DNA (cytosine-5-)-methyltransferase,protein-coding,-,-,-,DNA (cytosine-5-)-methyltransferase,20201221,-
1868594,55600797,HWA97_gp67,HWA97_gp67,CDHM9_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600798,HWA97_gp68,HWA97_gp68,CDHM9_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600799,HWA97_gp69,HWA97_gp69,CDHM9_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600800,HWA97_gp70,HWA97_gp70,CDHM9_70,-,-,-,protein,protein-coding,-,-,-,protein,20210212,-
1868594,55600801,HWA97_gp71,HWA97_gp71,CDHM9_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600802,HWA97_gp72,HWA97_gp72,CDHM9_72,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210424,-
1868594,55600803,HWA97_gp73,HWA97_gp73,CDHM9_73,-,-,-,ORF6C domain-containing protein,protein-coding,-,-,-,ORF6C domain-containing protein,20210403,-
1868594,55600804,HWA97_gp74,HWA97_gp74,CDHM9_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868594,55600805,HWA97_gp75,HWA97_gp75,CDHM9_75,-,-,-,Bro-N domain-containing protein,protein-coding,-,-,-,Bro-N domain-containing protein,20201221,-
1868594,55600806,HWA97_gp01,HWA97_gp01,CDHM9_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200801,-
1868594,55635646,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
