#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2740802,55412145,HOQ59_gp25,HOQ59_gp25,-,-,-,-,possible endonuclease,protein-coding,-,-,-,possible endonuclease,20210327,-
2740802,55412146,HOQ59_gp26,HOQ59_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740802,55412147,HOQ59_gp27,HOQ59_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412148,HOQ59_gp28,HOQ59_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412149,HOQ59_gp29,HOQ59_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412150,HOQ59_gp30,HOQ59_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412151,HOQ59_gp31,HOQ59_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412152,HOQ59_gp32,HOQ59_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412153,HOQ59_gp33,HOQ59_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412154,HOQ59_gp34,HOQ59_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412155,HOQ59_gp35,HOQ59_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740802,55412156,HOQ59_gp36,HOQ59_gp36,-,-,-,-,internal core protein,protein-coding,-,-,-,internal core protein,20201222,-
2740802,55412157,HOQ59_gp37,HOQ59_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412158,HOQ59_gp38,HOQ59_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412159,HOQ59_gp39,HOQ59_gp39,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20210327,-
2740802,55412160,HOQ59_gp40,HOQ59_gp40,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210327,-
2740802,55412161,HOQ59_gp41,HOQ59_gp41,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210327,-
2740802,55412162,HOQ59_gp42,HOQ59_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412163,HOQ59_gp43,HOQ59_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412164,HOQ59_gp44,HOQ59_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412165,HOQ59_gp45,HOQ59_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412166,HOQ59_gp46,HOQ59_gp46,-,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20210327,-
