#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912939,64654382,F5891DRAFT_1000001,F5891DRAFT_1000001,-,-,Unknown,-,cobalamin-independent synthase,protein-coding,-,-,-,cobalamin-independent synthase,20210605,-
1912939,64654383,F5891DRAFT_1000024,F5891DRAFT_1000024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654384,F5891DRAFT_1000036,F5891DRAFT_1000036,-,-,Unknown,-,60Kd inner membrane protein-domain-containing protein,protein-coding,-,-,-,60Kd inner membrane protein-domain-containing protein,20210605,-
1912939,64654385,F5891DRAFT_1000049,F5891DRAFT_1000049,-,-,Unknown,-,TLC domain-containing protein,protein-coding,-,-,-,TLC domain-containing protein,20210605,-
1912939,64654386,F5891DRAFT_1000061,F5891DRAFT_1000061,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654387,F5891DRAFT_1000074,F5891DRAFT_1000074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654388,F5891DRAFT_1000109,F5891DRAFT_1000109,-,-,Unknown,-,histidine biosynthesis trifunctional-protein,protein-coding,-,-,-,histidine biosynthesis trifunctional-protein,20210605,-
1912939,64654389,F5891DRAFT_1000173,F5891DRAFT_1000173,-,-,Unknown,-,SSD1 protein,protein-coding,-,-,-,SSD1 protein,20210605,-
1912939,64654390,F5891DRAFT_1000174,F5891DRAFT_1000174,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654391,F5891DRAFT_1000210,F5891DRAFT_1000210,-,-,Unknown,-,translationally-controlled tumor protein,protein-coding,-,-,-,translationally-controlled tumor protein,20210605,-
1912939,64654392,F5891DRAFT_1000220,F5891DRAFT_1000220,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654393,F5891DRAFT_1000231,F5891DRAFT_1000231,-,-,Unknown,-,Asp-domain-containing protein,protein-coding,-,-,-,Asp-domain-containing protein,20210605,-
1912939,64654394,F5891DRAFT_1000233,F5891DRAFT_1000233,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210605,-
1912939,64654395,F5891DRAFT_1000272,F5891DRAFT_1000272,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654396,F5891DRAFT_1000277,F5891DRAFT_1000277,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654397,F5891DRAFT_1000303,F5891DRAFT_1000303,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912939,64654398,F5891DRAFT_1000310,F5891DRAFT_1000310,-,-,Unknown,-,DEAD-domain-containing protein,protein-coding,-,-,-,DEAD-domain-containing protein,20210605,-
1912939,64654399,F5891DRAFT_1000313,F5891DRAFT_1000313,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654400,F5891DRAFT_1000317,F5891DRAFT_1000317,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654401,F5891DRAFT_1000318,F5891DRAFT_1000318,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654402,F5891DRAFT_1000335,F5891DRAFT_1000335,-,-,Unknown,-,glucose-6-phosphate 1-dehydrogenase,protein-coding,-,-,-,glucose-6-phosphate 1-dehydrogenase,20210605,-
1912939,64654403,F5891DRAFT_1000372,F5891DRAFT_1000372,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654404,F5891DRAFT_1000421,F5891DRAFT_1000421,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654405,F5891DRAFT_1000428,F5891DRAFT_1000428,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654406,F5891DRAFT_1000463,F5891DRAFT_1000463,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654407,F5891DRAFT_1000467,F5891DRAFT_1000467,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654408,F5891DRAFT_1000474,F5891DRAFT_1000474,-,-,Unknown,-,60S ribosomal protein L35,protein-coding,-,-,-,60S ribosomal protein L35,20210605,-
1912939,64654409,F5891DRAFT_1000479,F5891DRAFT_1000479,-,-,Unknown,-,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,protein-coding,-,-,-,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,20210605,-
1912939,64654410,F5891DRAFT_1000484,F5891DRAFT_1000484,-,-,Unknown,-,alcohol dehydrogenase,protein-coding,-,-,-,alcohol dehydrogenase,20210605,-
1912939,64654411,F5891DRAFT_1000496,F5891DRAFT_1000496,-,-,Unknown,-,Yos1-like protein,protein-coding,-,-,-,Yos1-like protein,20210605,-
1912939,64654412,F5891DRAFT_1000502,F5891DRAFT_1000502,-,-,Unknown,-,caffeine-induced death protein 2-domain-containing protein,protein-coding,-,-,-,caffeine-induced death protein 2-domain-containing protein,20210605,-
1912939,64654413,F5891DRAFT_1000554,F5891DRAFT_1000554,-,-,Unknown,-,"gamma-tubulin complex, component 3",protein-coding,-,-,-,"gamma-tubulin complex, component 3",20210605,-
1912939,64654414,F5891DRAFT_1000573,F5891DRAFT_1000573,-,-,Unknown,-,ras GTPase-activating protein,protein-coding,-,-,-,ras GTPase-activating protein,20210605,-
1912939,64654415,F5891DRAFT_1000583,F5891DRAFT_1000583,-,-,Unknown,-,HAD-like domain-containing protein,protein-coding,-,-,-,HAD-like domain-containing protein,20210605,-
1912939,64654416,F5891DRAFT_1000588,F5891DRAFT_1000588,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654417,F5891DRAFT_1000602,F5891DRAFT_1000602,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912939,64654418,F5891DRAFT_1000607,F5891DRAFT_1000607,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654419,F5891DRAFT_1000611,F5891DRAFT_1000611,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654420,F5891DRAFT_1000616,F5891DRAFT_1000616,-,-,Unknown,-,peroxisomal membrane protein PMP47B,protein-coding,-,-,-,peroxisomal membrane protein PMP47B,20210605,-
1912939,64654421,F5891DRAFT_1000627,F5891DRAFT_1000627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654422,F5891DRAFT_1000649,F5891DRAFT_1000649,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654423,F5891DRAFT_1000655,F5891DRAFT_1000655,-,-,Unknown,-,trafficking protein particle complex 2,protein-coding,-,-,-,trafficking protein particle complex 2,20210605,-
1912939,64654424,F5891DRAFT_1000661,F5891DRAFT_1000661,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654425,F5891DRAFT_1000672,F5891DRAFT_1000672,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654426,F5891DRAFT_1000687,F5891DRAFT_1000687,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654427,F5891DRAFT_1000756,F5891DRAFT_1000756,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654428,F5891DRAFT_1000776,F5891DRAFT_1000776,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210605,-
1912939,64654429,F5891DRAFT_1000812,F5891DRAFT_1000812,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654430,F5891DRAFT_1000842,F5891DRAFT_1000842,-,-,Unknown,-,Mob1/phocein,protein-coding,-,-,-,Mob1/phocein,20210605,-
1912939,64654431,F5891DRAFT_1000873,F5891DRAFT_1000873,-,-,Unknown,-,glutathione S-transferase,protein-coding,-,-,-,glutathione S-transferase,20210605,-
1912939,64654432,F5891DRAFT_1000879,F5891DRAFT_1000879,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654433,F5891DRAFT_1000895,F5891DRAFT_1000895,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654434,F5891DRAFT_1000898,F5891DRAFT_1000898,-,-,Unknown,-,"Thiolase, N-terminal domain-containing protein",protein-coding,-,-,-,"Thiolase, N-terminal domain-containing protein",20210605,-
1912939,64654435,F5891DRAFT_1000901,F5891DRAFT_1000901,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654436,F5891DRAFT_1000909,F5891DRAFT_1000909,-,-,Unknown,-,glycoside hydrolase family 47 protein,protein-coding,-,-,-,glycoside hydrolase family 47 protein,20210605,-
