#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
311403,7397656,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Agrobacterium radiobacter str. K84; Agrobacterium radiobacter strain K84; Agrobacterium rhizogenes K84; Agrobacterium tumefaciens K84; Rhizobium radiobacter K84).,other,-,-,-,-,20210407,-
311403,29632002,ARAD_RS16600,ARAD_RS16600,Arad_5029,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632081,ARAD_RS03830,ARAD_RS03830,Arad_5009,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632172,ARAD_RS12135,ARAD_RS12135,Arad_5038,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632212,ARAD_RS19065,ARAD_RS19065,Arad_5032,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632251,ARAD_RS07140,ARAD_RS07140,Arad_5015,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632408,ARAD_RS17510,ARAD_RS17510,Arad_5030,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632456,ARAD_RS08530,ARAD_RS08530,Arad_5023,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632474,ARAD_RS08490,ARAD_RS08490,Arad_5043,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632572,ARAD_RS07135,ARAD_RS07135,Arad_5014,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632573,ARAD_RS07130,ARAD_RS07130,Arad_5047,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632595,ARAD_RS08405,ARAD_RS08405,-,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632596,ARAD_RS08400,ARAD_RS08400,Arad_5044,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632695,ARAD_RS14345,ARAD_RS14345,Arad_5037,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632753,ARAD_RS08020,ARAD_RS08020,Arad_5046,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632806,ARAD_RS00330,ARAD_RS00330,Arad_5002,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632827,ARAD_RS00610,ARAD_RS00610,Arad_5003,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632891,ARAD_RS00310,ARAD_RS00310,Arad_5000,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29632905,ARAD_RS02825,ARAD_RS02825,Arad_5007,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633219,ARAD_RS05050,ARAD_RS05050,Arad_5010,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633220,ARAD_RS16100,ARAD_RS16100,Arad_5035,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633229,ARAD_RS08340,ARAD_RS08340,Arad_5021,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633338,ARAD_RS06900,ARAD_RS06900,Arad_5013,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633570,ARAD_RS08185,ARAD_RS08185,Arad_5045,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633606,ARAD_RS11160,ARAD_RS11160,Arad_5039,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633640,ARAD_RS15070,ARAD_RS15070,Arad_5026,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633797,ARAD_RS01370,ARAD_RS01370,Arad_5050,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633842,ARAD_RS08520,ARAD_RS08520,Arad_5022,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633937,ARAD_RS19135,ARAD_RS19135,Arad_5031,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29633951,ARAD_RS08495,ARAD_RS08495,Arad_5042,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634062,ARAD_RS15790,ARAD_RS15790,Arad_5027,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634089,ARAD_RS07565,ARAD_RS07565,Arad_5018,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634090,ARAD_RS07560,ARAD_RS07560,Arad_5017,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634296,ARAD_RS08155,ARAD_RS08155,Arad_5020,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634343,ARAD_RS05065,ARAD_RS05065,Arad_5011,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634418,ARAD_RS06105,ARAD_RS06105,Arad_5012,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634461,ARAD_RS00935,ARAD_RS00935,Arad_5005,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634545,ARAD_RS03035,ARAD_RS03035,Arad_5048,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634604,ARAD_RS00950,ARAD_RS00950,Arad_5006,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634655,ARAD_RS08900,ARAD_RS08900,Arad_5024,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29634976,ARAD_RS03125,ARAD_RS03125,Arad_5008,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635102,ARAD_RS09505,ARAD_RS09505,Arad_5041,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635129,ARAD_RS16305,ARAD_RS16305,Arad_5028,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635246,ARAD_RS13190,ARAD_RS13190,Arad_5025,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635287,ARAD_RS00315,ARAD_RS00315,Arad_5001,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635321,ARAD_RS01690,ARAD_RS01690,Arad_5049,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635326,ARAD_RS07530,ARAD_RS07530,Arad_5016,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635402,ARAD_RS16115,ARAD_RS16115,Arad_5034,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635460,ARAD_RS16120,ARAD_RS16120,Arad_5033,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
311403,29635608,ARAD_RS00930,ARAD_RS00930,Arad_5004,-,1,-,tRNA,tRNA,-,-,-,-,20161019,-
