#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
947379,54982494,HOS05_gp030,HOS05_gp030,HOS05_000030,-,-,-,structural component of the tail fiber,protein-coding,-,-,-,structural component of the tail fiber,20210603,-
947379,55087386,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
947379,65133712,HOS05_gp002,HOS05_gp002,HOS05_000002,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210603,-
947379,65133713,HOS05_gp003,HOS05_gp003,HOS05_000003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
947379,65133714,HOS05_gp004,HOS05_gp004,HOS05_000004,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210603,-
947379,65133715,HOS05_gp005,HOS05_gp005,HOS05_000005,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210603,-
947379,65133716,HOS05_gp006,HOS05_gp006,HOS05_000006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
947379,65133717,HOS05_gp007,HOS05_gp007,HOS05_000007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
947379,65133718,HOS05_gp008,HOS05_gp008,HOS05_000008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
947379,65133719,HOS05_gp009,HOS05_gp009,HOS05_000009,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210603,-
947379,65133720,HOS05_gp010,HOS05_gp010,HOS05_000010,-,-,-,peptidoglycan-binding LysM,protein-coding,-,-,-,peptidoglycan-binding LysM,20210603,-
947379,65133721,HOS05_gp011,HOS05_gp011,HOS05_000011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
