#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2562175,55013203,HOV36_gp02,HOV36_gp02,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210306,-
2562175,55013204,HOV36_gp03,HOV36_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013205,HOV36_gp04,HOV36_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013206,HOV36_gp05,HOV36_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013207,HOV36_gp06,HOV36_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013208,HOV36_gp07,HOV36_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013209,HOV36_gp08,HOV36_gp08,-,-,-,-,tail protein I,protein-coding,-,-,-,tail protein I,20201222,-
2562175,55013210,HOV36_gp09,HOV36_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013211,HOV36_gp10,HOV36_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013212,HOV36_gp11,HOV36_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013213,HOV36_gp12,HOV36_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013214,HOV36_gp13,HOV36_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013215,HOV36_gp14,HOV36_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013216,HOV36_gp15,HOV36_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013217,HOV36_gp16,HOV36_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013218,HOV36_gp17,HOV36_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013219,HOV36_gp18,HOV36_gp18,-,-,-,-,baseplate assembly protein V,protein-coding,-,-,-,baseplate assembly protein V,20210123,-
2562175,55013220,HOV36_gp19,HOV36_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013221,HOV36_gp20,HOV36_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013222,HOV36_gp21,HOV36_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013223,HOV36_gp22,HOV36_gp22,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210123,-
2562175,55013224,HOV36_gp23,HOV36_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013225,HOV36_gp24,HOV36_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013226,HOV36_gp25,HOV36_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013227,HOV36_gp26,HOV36_gp26,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210306,-
2562175,55013228,HOV36_gp27,HOV36_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013229,HOV36_gp28,HOV36_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013230,HOV36_gp29,HOV36_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013231,HOV36_gp30,HOV36_gp30,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210306,-
2562175,55013232,HOV36_gp31,HOV36_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013233,HOV36_gp32,HOV36_gp32,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210123,-
2562175,55013234,HOV36_gp33,HOV36_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013235,HOV36_gp34,HOV36_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013236,HOV36_gp35,HOV36_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013237,HOV36_gp36,HOV36_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013238,HOV36_gp37,HOV36_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013239,HOV36_gp38,HOV36_gp38,-,-,-,-,ATP-dependent RNA helicase,protein-coding,-,-,-,ATP-dependent RNA helicase,20210123,-
2562175,55013240,HOV36_gp39,HOV36_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013241,HOV36_gp40,HOV36_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013242,HOV36_gp41,HOV36_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013243,HOV36_gp42,HOV36_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013244,HOV36_gp43,HOV36_gp43,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210306,-
2562175,55013245,HOV36_gp44,HOV36_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013246,HOV36_gp45,HOV36_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013247,HOV36_gp46,HOV36_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013248,HOV36_gp47,HOV36_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013249,HOV36_gp48,HOV36_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013250,HOV36_gp49,HOV36_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013251,HOV36_gp50,HOV36_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013252,HOV36_gp51,HOV36_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013253,HOV36_gp52,HOV36_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013254,HOV36_gp53,HOV36_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013255,HOV36_gp54,HOV36_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
