#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1874015,63181612,J3996_gp02,J3996_gp02,SEA_LAURIE_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20210314,-
1874015,63181613,J3996_gp03,J3996_gp03,SEA_LAURIE_3,-,-,-,QueC-like queosine biosynthesis protein,protein-coding,-,-,-,QueC-like queosine biosynthesis protein,20210314,-
1874015,63181614,J3996_gp04,J3996_gp04,SEA_LAURIE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181615,J3996_gp05,J3996_gp05,SEA_LAURIE_5,-,-,-,QueE-like queosine biosynthesis protein,protein-coding,-,-,-,QueE-like queosine biosynthesis protein,20210314,-
1874015,63181616,J3996_gp06,J3996_gp06,SEA_LAURIE_6,-,-,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20210417,-
1874015,63181617,J3996_gp07,J3996_gp07,SEA_LAURIE_7,-,-,-,terminase,protein-coding,-,-,-,terminase,20210314,-
1874015,63181618,J3996_gp08,J3996_gp08,SEA_LAURIE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181619,J3996_gp09,J3996_gp09,SEA_LAURIE_9,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210314,-
1874015,63181620,J3996_gp10,J3996_gp10,SEA_LAURIE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181621,J3996_gp11,J3996_gp11,SEA_LAURIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181622,J3996_gp12,J3996_gp12,SEA_LAURIE_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210314,-
1874015,63181623,J3996_gp13,J3996_gp13,SEA_LAURIE_13,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210314,-
1874015,63181624,J3996_gp14,J3996_gp14,SEA_LAURIE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
1874015,63181625,J3996_gp15,J3996_gp15,SEA_LAURIE_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210314,-
1874015,63181626,J3996_gp16,J3996_gp16,SEA_LAURIE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210314,-
