#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686244,55625256,HWC86_gp02,HWC86_gp02,pippi81_gp002,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210313,-
2686244,55625257,HWC86_gp03,HWC86_gp03,pippi81_gp003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686244,55625258,HWC86_gp04,HWC86_gp04,pippi81_gp004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625259,HWC86_gp05,HWC86_gp05,pippi81_gp005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625260,HWC86_gp06,HWC86_gp06,pippi81_gp006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625261,HWC86_gp07,HWC86_gp07,pippi81_gp007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625262,HWC86_gp08,HWC86_gp08,pippi81_gp008,-,-,-,helicase,protein-coding,-,-,-,helicase,20210313,-
2686244,55625263,HWC86_gp09,HWC86_gp09,pippi81_gp009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625264,HWC86_gp10,HWC86_gp10,pippi81_gp010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625265,HWC86_gp11,HWC86_gp11,pippi81_gp011,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210313,-
2686244,55625266,HWC86_gp12,HWC86_gp12,pippi81_gp012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625267,HWC86_gp13,HWC86_gp13,pippi81_gp013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625268,HWC86_gp14,HWC86_gp14,pippi81_gp014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625269,HWC86_gp15,HWC86_gp15,pippi81_gp015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625270,HWC86_gp16,HWC86_gp16,pippi81_gp016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625271,HWC86_gp17,HWC86_gp17,pippi81_gp017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625272,HWC86_gp18,HWC86_gp18,pippi81_gp018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625273,HWC86_gp19,HWC86_gp19,pippi81_gp019,-,-,-,N-domain protein,protein-coding,-,-,-,N-domain protein,20210313,-
2686244,55625274,HWC86_gp20,HWC86_gp20,pippi81_gp020,-,-,-,virulence-associated protein E,protein-coding,-,-,-,virulence-associated protein E,20210313,-
2686244,55625275,HWC86_gp21,HWC86_gp21,pippi81_gp021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625276,HWC86_gp22,HWC86_gp22,pippi81_gp022,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210313,-
2686244,55625277,HWC86_gp23,HWC86_gp23,pippi81_gp023,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210313,-
2686244,55625278,HWC86_gp24,HWC86_gp24,pippi81_gp024,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2686244,55625279,HWC86_gp25,HWC86_gp25,pippi81_gp025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
