#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500761,65118137,KNU35_gp002,KNU35_gp002,vBEcoM005_002,-,-,-,fiber attachment catalyst,protein-coding,-,-,-,fiber attachment catalyst,20210607,-
2500761,65118138,KNU35_gp003,KNU35_gp003,vBEcoM005_003,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2500761,65118139,KNU35_gp004,KNU35_gp004,vBEcoM005_004,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210607,-
2500761,65118140,KNU35_gp005,KNU35_gp005,vBEcoM005_005,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210607,-
2500761,65118141,KNU35_gp006,KNU35_gp006,vBEcoM005_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118142,KNU35_gp007,KNU35_gp007,vBEcoM005_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118143,KNU35_gp008,KNU35_gp008,vBEcoM005_008,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20210607,-
2500761,65118144,KNU35_gp009,KNU35_gp009,vBEcoM005_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118145,KNU35_gp010,KNU35_gp010,vBEcoM005_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118146,KNU35_gp011,KNU35_gp011,vBEcoM005_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118147,KNU35_gp012,KNU35_gp012,vBEcoM005_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118148,KNU35_gp013,KNU35_gp013,vBEcoM005_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118149,KNU35_gp014,KNU35_gp014,vBEcoM005_014,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210607,-
2500761,65118150,KNU35_gp015,KNU35_gp015,vBEcoM005_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118151,KNU35_gp016,KNU35_gp016,vBEcoM005_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118152,KNU35_gp017,KNU35_gp017,vBEcoM005_017,-,-,-,head assembly cochaperone,protein-coding,-,-,-,head assembly cochaperone,20210607,-
2500761,65118153,KNU35_gp018,KNU35_gp018,vBEcoM005_018,-,-,-,rIII protein,protein-coding,-,-,-,rIII protein,20210607,-
2500761,65118154,KNU35_gp019,KNU35_gp019,vBEcoM005_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118155,KNU35_gp020,KNU35_gp020,vBEcoM005_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118156,KNU35_gp021,KNU35_gp021,vBEcoM005_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118157,KNU35_gp022,KNU35_gp022,vBEcoM005_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118158,KNU35_gp023,KNU35_gp023,vBEcoM005_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118159,KNU35_gp024,KNU35_gp024,vBEcoM005_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118160,KNU35_gp025,KNU35_gp025,vBEcoM005_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118161,KNU35_gp026,KNU35_gp026,vBEcoM005_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500761,65118162,KNU35_gp027,KNU35_gp027,vBEcoM005_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
