#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1987509,32878141,CCL38_gp002,CCL38_gp002,-,-,-,-,putative 4-hydroxythreonine-4-phosphate2 dehydrogenase motif protein,protein-coding,-,-,-,putative 4-hydroxythreonine-4-phosphate2 dehydrogenase motif protein,20180508,-
1987509,32878142,CCL38_gp003,CCL38_gp003,-,-,-,-,isomerase motif protein,protein-coding,-,-,-,isomerase motif protein,20180508,-
1987509,32878143,CCL38_gp004,CCL38_gp004,-,-,-,-,Cap-Gly domain protein,protein-coding,-,-,-,Cap-Gly domain protein,20180508,-
1987509,32878144,CCL38_gp005,CCL38_gp005,-,-,-,-,chitin binding protein domain protein,protein-coding,-,-,-,chitin binding protein domain protein,20180508,-
1987509,32878145,CCL38_gp006,CCL38_gp006,-,-,-,-,transcription/RNA binding protein motif protein,protein-coding,-,-,-,transcription/RNA binding protein motif protein,20180508,-
1987509,32878146,CCL38_gp007,CCL38_gp007,-,-,-,-,beta-beta-alpha motif protein,protein-coding,-,-,-,beta-beta-alpha motif protein,20180508,-
1987509,32878147,CCL38_gp008,CCL38_gp008,-,-,-,-,PMP inhibitor motif protein,protein-coding,-,-,-,PMP inhibitor motif protein,20180508,-
1987509,32878148,CCL38_gp009,CCL38_gp009,-,-,-,-,protein binding motif protein,protein-coding,-,-,-,protein binding motif protein,20180508,-
1987509,32878149,CCL38_gp010,CCL38_gp010,-,-,-,-,fibrinogen C-terminal domain-like motif protein,protein-coding,-,-,-,fibrinogen C-terminal domain-like motif protein,20180508,-
1987509,32878150,CCL38_gp011,CCL38_gp011,-,-,-,-,transmembrane helix motif protein,protein-coding,-,-,-,transmembrane helix motif protein,20180508,-
1987509,32878151,CCL38_gp012,CCL38_gp012,-,-,-,-,DNA binding protein motif protein,protein-coding,-,-,-,DNA binding protein motif protein,20180508,-
1987509,32878152,CCL38_gp013,CCL38_gp013,-,-,-,-,PFL-like glycyl radical enzymes motif protein,protein-coding,-,-,-,PFL-like glycyl radical enzymes motif protein,20180508,-
1987509,32878153,CCL38_gp014,CCL38_gp014,-,-,-,-,anticodon-binding domain-like motif protein,protein-coding,-,-,-,anticodon-binding domain-like motif protein,20180508,-
1987509,32878154,CCL38_gp015,CCL38_gp015,-,-,-,-,pili subunit/adhesion motif protein,protein-coding,-,-,-,pili subunit/adhesion motif protein,20180508,-
1987509,32878155,CCL38_gp016,CCL38_gp016,-,-,-,-,GckA/TtuD-like superfamily motif protein,protein-coding,-,-,-,GckA/TtuD-like superfamily motif protein,20180508,-
1987509,32878156,CCL38_gp017,CCL38_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878157,CCL38_gp018,CCL38_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878158,CCL38_gp019,CCL38_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878159,CCL38_gp020,CCL38_gp020,-,-,-,-,hydrolase inhibitor motif protein,protein-coding,-,-,-,hydrolase inhibitor motif protein,20180508,-
1987509,32878160,CCL38_gp021,CCL38_gp021,-,-,-,-,ferrodoxin-like motif protein,protein-coding,-,-,-,ferrodoxin-like motif protein,20180508,-
1987509,32878161,CCL38_gp022,CCL38_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878162,CCL38_gp023,CCL38_gp023,-,-,-,-,16sRNA processing protein motif protein,protein-coding,-,-,-,16sRNA processing protein motif protein,20180508,-
1987509,32878163,CCL38_gp024,CCL38_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878164,CCL38_gp025,CCL38_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878165,CCL38_gp026,CCL38_gp026,-,-,-,-,signal transduction protein cbl-like motif protein,protein-coding,-,-,-,signal transduction protein cbl-like motif protein,20180508,-
1987509,32878166,CCL38_gp027,CCL38_gp027,-,-,-,-,ribosome-like motif protein,protein-coding,-,-,-,ribosome-like motif protein,20180508,-
1987509,32878167,CCL38_gp028,CCL38_gp028,-,-,-,-,suppressor of cytokine signaling 5 motif protein,protein-coding,-,-,-,suppressor of cytokine signaling 5 motif protein,20180508,-
1987509,32878168,CCL38_gp029,CCL38_gp029,-,-,-,-,putative ubiquitin fold modifier conjugating enzyme motif protein,protein-coding,-,-,-,putative ubiquitin fold modifier conjugating enzyme motif protein,20180508,-
1987509,32878169,CCL38_gp030,CCL38_gp030,-,-,-,-,glycosyl hydrolase domain protein,protein-coding,-,-,-,glycosyl hydrolase domain protein,20180508,-
1987509,32878170,CCL38_gp031,CCL38_gp031,-,-,-,-,bromodomain-like motif protein,protein-coding,-,-,-,bromodomain-like motif protein,20180508,-
1987509,32878171,CCL38_gp032,CCL38_gp032,-,-,-,-,cycloviolacin-o2-like motif protein,protein-coding,-,-,-,cycloviolacin-o2-like motif protein,20180508,-
1987509,32878172,CCL38_gp033,CCL38_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878173,CCL38_gp034,CCL38_gp034,-,-,-,-,hydrolase-like motif protein,protein-coding,-,-,-,hydrolase-like motif protein,20180508,-
1987509,32878174,CCL38_gp035,CCL38_gp035,-,-,-,-,SipA N-terminal domain-like superfamily protein,protein-coding,-,-,-,SipA N-terminal domain-like superfamily protein,20180508,-
1987509,32878175,CCL38_gp036,CCL38_gp036,-,-,-,-,DNA binding protein motif protein,protein-coding,-,-,-,DNA binding protein motif protein,20180508,-
1987509,32878176,CCL38_gp037,CCL38_gp037,-,-,-,-,sialyltransferase motif protein,protein-coding,-,-,-,sialyltransferase motif protein,20180508,-
1987509,32878177,CCL38_gp038,CCL38_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878178,CCL38_gp039,CCL38_gp039,-,-,-,-,DNA binding protein motif protein,protein-coding,-,-,-,DNA binding protein motif protein,20180508,-
1987509,32878179,CCL38_gp040,CCL38_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878180,CCL38_gp041,CCL38_gp041,-,-,-,-,glucocorticoid receptor-like domain protein,protein-coding,-,-,-,glucocorticoid receptor-like domain protein,20180508,-
