#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1777053,28800044,BH778_gp02,BH778_gp02,JBD69_2,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1777053,28800045,BH778_gp03,BH778_gp03,JBD69_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800046,BH778_gp04,BH778_gp04,JBD69_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800047,BH778_gp05,BH778_gp05,JBD69_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800048,BH778_gp06,BH778_gp06,JBD69_6,-,-,-,Mu transposase C-terminal domain-containing protein,protein-coding,-,-,-,Mu transposase C-terminal domain-containing protein,20201221,-
1777053,28800049,BH778_gp07,BH778_gp07,JBD69_7,-,-,-,DNA transposition protein,protein-coding,-,-,-,DNA transposition protein,20200905,-
1777053,28800050,BH778_gp08,BH778_gp08,JBD69_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800051,BH778_gp09,BH778_gp09,JBD69_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800052,BH778_gp10,BH778_gp10,JBD69_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800053,BH778_gp11,BH778_gp11,JBD69_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800054,BH778_gp12,BH778_gp12,JBD69_12,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210424,-
1777053,28800055,BH778_gp13,BH778_gp13,JBD69_13,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20200629,-
1777053,28800056,BH778_gp14,BH778_gp14,JBD69_14,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20200905,-
1777053,28800057,BH778_gp15,BH778_gp15,JBD69_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800058,BH778_gp16,BH778_gp16,JBD69_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800059,BH778_gp17,BH778_gp17,JBD69_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800060,BH778_gp18,BH778_gp18,JBD69_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800061,BH778_gp19,BH778_gp19,JBD69_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800062,BH778_gp20,BH778_gp20,JBD69_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800063,BH778_gp21,BH778_gp21,JBD69_21,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210424,-
1777053,28800064,BH778_gp22,BH778_gp22,JBD69_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210116,-
1777053,28800065,BH778_gp23,BH778_gp23,JBD69_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800066,BH778_gp24,BH778_gp24,JBD69_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800067,BH778_gp25,BH778_gp25,JBD69_25,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1777053,28800068,BH778_gp26,BH778_gp26,JBD69_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800069,BH778_gp27,BH778_gp27,JBD69_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800070,BH778_gp28,BH778_gp28,JBD69_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800071,BH778_gp29,BH778_gp29,JBD69_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800072,BH778_gp30,BH778_gp30,JBD69_30,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210417,-
1777053,28800073,BH778_gp31,BH778_gp31,JBD69_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800074,BH778_gp32,BH778_gp32,JBD69_32,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1777053,28800075,BH778_gp33,BH778_gp33,JBD69_33,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201221,-
1777053,28800076,BH778_gp34,BH778_gp34,JBD69_34,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1777053,28800077,BH778_gp35,BH778_gp35,JBD69_35,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201221,-
1777053,28800078,BH778_gp36,BH778_gp36,JBD69_36,-,-,-,anti-CRISPR protein AcrF1,protein-coding,-,-,-,anti-CRISPR protein AcrF1,20201221,-
1777053,28800079,BH778_gp37,BH778_gp37,JBD69_37,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20201221,-
1777053,28800080,BH778_gp38,BH778_gp38,JBD69_38,-,-,-,protease,protein-coding,-,-,-,protease,20201221,-
1777053,28800081,BH778_gp39,BH778_gp39,JBD69_39,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20210403,-
1777053,28800082,BH778_gp40,BH778_gp40,JBD69_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800083,BH778_gp41,BH778_gp41,JBD69_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800084,BH778_gp42,BH778_gp42,JBD69_42,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210424,-
1777053,28800085,BH778_gp43,BH778_gp43,JBD69_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800086,BH778_gp44,BH778_gp44,JBD69_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800087,BH778_gp45,BH778_gp45,JBD69_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800088,BH778_gp46,BH778_gp46,JBD69_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800089,BH778_gp47,BH778_gp47,JBD69_47,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1777053,28800090,BH778_gp48,BH778_gp48,JBD69_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1777053,28800091,BH778_gp49,BH778_gp49,JBD69_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800092,BH778_gp50,BH778_gp50,JBD69_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777053,28800093,BH778_gp51,BH778_gp51,JBD69_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
