#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772059,65128428,KNV26_gp098,KNV26_gp098,-,-,-,-,transmembrane protein,protein-coding,-,-,-,transmembrane protein,20210608,-
2772059,65128429,KNV26_gp089,KNV26_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128430,KNV26_gp077,KNV26_gp077,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772059,65128431,KNV26_gp002,KNV26_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128432,KNV26_gp003,KNV26_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128433,KNV26_gp004,KNV26_gp004,-,-,-,-,putative cell division kinase,protein-coding,-,-,-,putative cell division kinase,20210608,-
2772059,65128434,KNV26_gp005,KNV26_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128435,KNV26_gp006,KNV26_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128436,KNV26_gp007,KNV26_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128437,KNV26_gp008,KNV26_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128438,KNV26_gp009,KNV26_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128439,KNV26_gp010,KNV26_gp010,-,-,-,-,protein RecA,protein-coding,-,-,-,protein RecA,20210608,-
2772059,65128440,KNV26_gp011,KNV26_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128441,KNV26_gp012,KNV26_gp012,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772059,65128442,KNV26_gp013,KNV26_gp013,-,-,-,-,VOG10904,protein-coding,-,-,-,VOG10904,20210608,-
2772059,65128443,KNV26_gp014,KNV26_gp014,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772059,65128444,KNV26_gp015,KNV26_gp015,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210608,-
2772059,65128445,KNV26_gp016,KNV26_gp016,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772059,65128446,KNV26_gp017,KNV26_gp017,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210608,-
2772059,65128447,KNV26_gp018,KNV26_gp018,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2772059,65128448,KNV26_gp019,KNV26_gp019,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2772059,65128449,KNV26_gp020,KNV26_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128450,KNV26_gp021,KNV26_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128451,KNV26_gp022,KNV26_gp022,-,-,-,-,transcription factor,protein-coding,-,-,-,transcription factor,20210608,-
2772059,65128452,KNV26_gp023,KNV26_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128453,KNV26_gp024,KNV26_gp024,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210608,-
2772059,65128454,KNV26_gp025,KNV26_gp025,-,-,-,-,putative intron-encoded HNH endonuclease,protein-coding,-,-,-,putative intron-encoded HNH endonuclease,20210608,-
2772059,65128455,KNV26_gp026,KNV26_gp026,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210608,-
2772059,65128456,KNV26_gp027,KNV26_gp027,-,-,-,-,VOG1254,protein-coding,-,-,-,VOG1254,20210608,-
2772059,65128457,KNV26_gp028,KNV26_gp028,-,-,-,-,VOG4561,protein-coding,-,-,-,VOG4561|thymidylate synthase,20210608,-
2772059,65128458,KNV26_gp029,KNV26_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128459,KNV26_gp030,KNV26_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128460,KNV26_gp031,KNV26_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128461,KNV26_gp032,KNV26_gp032,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772059,65128462,KNV26_gp033,KNV26_gp033,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210608,-
2772059,65128463,KNV26_gp034,KNV26_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128464,KNV26_gp035,KNV26_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128465,KNV26_gp036,KNV26_gp036,-,-,-,-,chaperonin,protein-coding,-,-,-,chaperonin,20210608,-
2772059,65128466,KNV26_gp037,KNV26_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128467,KNV26_gp038,KNV26_gp038,-,-,-,-,putative recombination protein/DNA repair protein,protein-coding,-,-,-,putative recombination protein/DNA repair protein,20210608,-
2772059,65128468,KNV26_gp039,KNV26_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128469,KNV26_gp040,KNV26_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128470,KNV26_gp041,KNV26_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128471,KNV26_gt001,KNV26_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772059,65128472,KNV26_gp097,KNV26_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128473,KNV26_gp096,KNV26_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128474,KNV26_gp095,KNV26_gp095,-,-,-,-,ribosomal protein-like protein,protein-coding,-,-,-,ribosomal protein-like protein,20210608,-
2772059,65128475,KNV26_gp094,KNV26_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128476,KNV26_gp093,KNV26_gp093,-,-,-,-,transcriptional regulator/repressor,protein-coding,-,-,-,transcriptional regulator/repressor,20210608,-
2772059,65128477,KNV26_gp092,KNV26_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128478,KNV26_gp091,KNV26_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128479,KNV26_gp090,KNV26_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128480,KNV26_gs001,KNV26_gs001,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20210608,-
2772059,65128481,KNV26_gp088,KNV26_gp088,-,-,-,-,transcriptional regulator/repressor,protein-coding,-,-,-,transcriptional regulator/repressor,20210608,-
2772059,65128482,KNV26_gp087,KNV26_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128483,KNV26_gp086,KNV26_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128484,KNV26_gp085,KNV26_gp085,-,-,-,-,RNA polymerase sigma-W factor,protein-coding,-,-,-,RNA polymerase sigma-W factor,20210608,-
2772059,65128485,KNV26_gp084,KNV26_gp084,-,-,-,-,ATP synthase-like protein,protein-coding,-,-,-,ATP synthase-like protein,20210608,-
2772059,65128486,KNV26_gp083,KNV26_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128487,KNV26_gp082,KNV26_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128488,KNV26_gp081,KNV26_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128489,KNV26_gp080,KNV26_gp080,-,-,-,-,putative glycoprotein,protein-coding,-,-,-,putative glycoprotein,20210608,-
2772059,65128490,KNV26_gp079,KNV26_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128491,KNV26_gp078,KNV26_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128492,KNV26_gt002,KNV26_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772059,65128493,KNV26_gp076,KNV26_gp076,-,-,-,-,condensin-like protein,protein-coding,-,-,-,condensin-like protein,20210608,-
2772059,65128494,KNV26_gp075,KNV26_gp075,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2772059,65128495,KNV26_gp074,KNV26_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128496,KNV26_gp073,KNV26_gp073,-,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20210608,-
2772059,65128497,KNV26_gp072,KNV26_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128498,KNV26_gp071,KNV26_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128499,KNV26_gp070,KNV26_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128500,KNV26_gp069,KNV26_gp069,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2772059,65128501,KNV26_gp068,KNV26_gp068,-,-,-,-,phosphodiesterase,protein-coding,-,-,-,phosphodiesterase,20210608,-
2772059,65128502,KNV26_gp067,KNV26_gp067,-,-,-,-,multi-drug export protein,protein-coding,-,-,-,multi-drug export protein,20210608,-
2772059,65128503,KNV26_gp066,KNV26_gp066,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210608,-
2772059,65128504,KNV26_gp065,KNV26_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128505,KNV26_gp064,KNV26_gp064,-,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210608,-
2772059,65128506,KNV26_gp063,KNV26_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128507,KNV26_gp062,KNV26_gp062,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2772059,65128508,KNV26_gp061,KNV26_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128509,KNV26_gp060,KNV26_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128510,KNV26_gp059,KNV26_gp059,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase|VOG0377,20210608,-
2772059,65128511,KNV26_gp058,KNV26_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128512,KNV26_gp057,KNV26_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128513,KNV26_gp056,KNV26_gp056,-,-,-,-,putative stabilization protein,protein-coding,-,-,-,putative stabilization protein,20210608,-
2772059,65128514,KNV26_gp055,KNV26_gp055,-,-,-,-,putative tail tubular protein,protein-coding,-,-,-,putative tail tubular protein,20210608,-
2772059,65128515,KNV26_gp054,KNV26_gp054,-,-,-,-,topoisomerase,protein-coding,-,-,-,topoisomerase,20210608,-
2772059,65128516,KNV26_gp053,KNV26_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128517,KNV26_gp052,KNV26_gp052,-,-,-,-,transpeptidase catalytic domain protein,protein-coding,-,-,-,transpeptidase catalytic domain protein,20210608,-
2772059,65128518,KNV26_gp051,KNV26_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128519,KNV26_gp050,KNV26_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128520,KNV26_gp049,KNV26_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128521,KNV26_gp048,KNV26_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128522,KNV26_gp047,KNV26_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128523,KNV26_gp046,KNV26_gp046,-,-,-,-,putative pholin,protein-coding,-,-,-,putative pholin,20210608,-
2772059,65128524,KNV26_gp045,KNV26_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128525,KNV26_gp044,KNV26_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128526,KNV26_gp043,KNV26_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65128527,KNV26_gp042,KNV26_gp042,-,-,-,-,RNA binding protein,protein-coding,-,-,-,RNA binding protein,20210608,-
2772059,65128528,KNV26_gp001,KNV26_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772059,65243509,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
