#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2721760,55630415,HWD31_gp83,HWD31_gp83,SSEM1_gp83,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201222,-
2721760,55630416,HWD31_gp69,HWD31_gp69,SSEM1_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630417,HWD31_gp57,HWD31_gp57,SSEM1_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630418,HWD31_gp02,HWD31_gp02,SSEM1_gp02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630419,HWD31_gp55,HWD31_gp55,SSEM1_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630420,HWD31_gp91,HWD31_gp91,SSEM1_gp91,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210327,-
2721760,55630421,HWD31_gp80,HWD31_gp80,SSEM1_gp80,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20201222,-
2721760,55630422,HWD31_gp92,HWD31_gp92,SSEM1_gp92,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210327,-
2721760,55630423,HWD31_gp71,HWD31_gp71,SSEM1_gp71,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20210327,-
2721760,55630424,HWD31_gp93,HWD31_gp93,SSEM1_gp93,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210327,-
2721760,55630425,HWD31_gp89,HWD31_gp89,SSEM1_gp89,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210327,-
2721760,55630426,HWD31_gp84,HWD31_gp84,SSEM1_gp84,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2721760,55630427,HWD31_gp72,HWD31_gp72,SSEM1_gp72,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2721760,55630428,HWD31_gp75,HWD31_gp75,SSEM1_gp75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630429,HWD31_gp60,HWD31_gp60,SSEM1_gp60,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201222,-
2721760,55630430,HWD31_gp85,HWD31_gp85,SSEM1_gp85,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2721760,55630431,HWD31_gp59,HWD31_gp59,SSEM1_gp59,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210327,-
2721760,55630432,HWD31_gp87,HWD31_gp87,SSEM1_gp87,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201222,-
2721760,55630433,HWD31_gp62,HWD31_gp62,SSEM1_gp62,-,-,-,putative deoxynucleoside monophosphate kinase,protein-coding,-,-,-,putative deoxynucleoside monophosphate kinase,20210327,-
2721760,55630434,HWD31_gp40,HWD31_gp40,SSEM1_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630435,HWD31_gp54,HWD31_gp54,SSEM1_gp54,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210327,-
2721760,55630436,HWD31_gp90,HWD31_gp90,SSEM1_gp90,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201222,-
2721760,55630437,HWD31_gp63,HWD31_gp63,SSEM1_gp63,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210327,-
2721760,55630438,HWD31_gp23,HWD31_gp23,SSEM1_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630439,HWD31_gp52,HWD31_gp52,SSEM1_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630440,HWD31_gp94,HWD31_gp94,SSEM1_gp94,-,-,-,holin,protein-coding,-,-,-,holin,20210327,-
