#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483675,65117271,2,KNU23_gp02,SEA_TANGENT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483675,65117272,3,KNU23_gp03,SEA_TANGENT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117273,4,KNU23_gp04,SEA_TANGENT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117274,5,KNU23_gp05,SEA_TANGENT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117275,6,KNU23_gp06,SEA_TANGENT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117276,7,KNU23_gp07,SEA_TANGENT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117277,8,KNU23_gp08,SEA_TANGENT_8,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2483675,65117278,9,KNU23_gp09,SEA_TANGENT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117279,10,KNU23_gp10,SEA_TANGENT_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2483675,65117280,11,KNU23_gp11,SEA_TANGENT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117281,12,KNU23_gp12,SEA_TANGENT_12,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2483675,65117282,13,KNU23_gp13,SEA_TANGENT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117283,14,KNU23_gp14,SEA_TANGENT_14,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2483675,65117284,15,KNU23_gp15,SEA_TANGENT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117285,16,KNU23_gp16,SEA_TANGENT_16,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483675,65117286,17,KNU23_gp17,SEA_TANGENT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117287,18,KNU23_gp18,SEA_TANGENT_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117288,19,KNU23_gp19,SEA_TANGENT_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117289,20,KNU23_gp20,SEA_TANGENT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117290,21,KNU23_gp21,SEA_TANGENT_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2483675,65117291,22,KNU23_gp22,SEA_TANGENT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117292,23,KNU23_gp23,SEA_TANGENT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
