#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572743,26630364,AVV64_gp02,AVV64_gp02,535AP2_02,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1572743,26630365,AVV64_gp03,AVV64_gp03,535AP2_03,-,-,-,DUF1073 domain-containing protein,protein-coding,-,-,-,DUF1073 domain-containing protein,20201221,-
1572743,26630366,AVV64_gp04,AVV64_gp04,535AP2_04,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200926,-
1572743,26630367,AVV64_gp05,AVV64_gp05,535AP2_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630368,AVV64_gp06,AVV64_gp06,535AP2_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630369,AVV64_gp07,AVV64_gp07,535AP2_07,-,-,-,encapsulin,protein-coding,-,-,-,encapsulin,20201221,-
1572743,26630370,AVV64_gp08,AVV64_gp08,535AP2_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630371,AVV64_gp09,AVV64_gp09,535AP2_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630372,AVV64_gp10,AVV64_gp10,535AP2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630373,AVV64_gp11,AVV64_gp11,535AP2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630374,AVV64_gp12,AVV64_gp12,535AP2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630375,AVV64_gp13,AVV64_gp13,535AP2_13,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1572743,26630376,AVV64_gp14,AVV64_gp14,535AP2_14,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20201221,-
1572743,26630377,AVV64_gp15,AVV64_gp15,535AP2_15,-,-,-,type II toxin-antitoxin system HicA family toxin,protein-coding,-,-,-,type II toxin-antitoxin system HicA family toxin,20201221,-
1572743,26630378,AVV64_gp16,AVV64_gp16,535AP2_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630379,AVV64_gp17,AVV64_gp17,535AP2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630380,AVV64_gp18,AVV64_gp18,535AP2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630381,AVV64_gp19,AVV64_gp19,535AP2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630382,AVV64_gp20,AVV64_gp20,535AP2_20,-,-,-,tail length tape measure family protein,protein-coding,-,-,-,tail length tape measure family protein,20201221,-
1572743,26630383,AVV64_gp21,AVV64_gp21,535AP2_21,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1572743,26630384,AVV64_gp22,AVV64_gp22,535AP2_22,-,-,-,minor tail protein L,protein-coding,-,-,-,minor tail protein L,20200629,-
1572743,26630385,AVV64_gp23,AVV64_gp23,535AP2_23,-,-,-,minor tail protein L,protein-coding,-,-,-,minor tail protein L,20200629,-
1572743,26630386,AVV64_gp24,AVV64_gp24,535AP2_24,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20201221,-
1572743,26630387,AVV64_gp25,AVV64_gp25,535AP2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630388,AVV64_gp26,AVV64_gp26,535AP2_26,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1572743,26630389,AVV64_gp27,AVV64_gp27,535AP2_27,-,-,-,DUF1983 domain-containing protein,protein-coding,-,-,-,DUF1983 domain-containing protein,20201221,-
1572743,26630390,AVV64_gp28,AVV64_gp28,535AP2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630391,AVV64_gp29,AVV64_gp29,535AP2_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630392,AVV64_gp30,AVV64_gp30,535AP2_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630393,AVV64_gp31,AVV64_gp31,535AP2_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630394,AVV64_gp32,AVV64_gp32,535AP2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630395,AVV64_gp33,AVV64_gp33,535AP2_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630396,AVV64_gp34,AVV64_gp34,535AP2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630397,AVV64_gp35,AVV64_gp35,535AP2_35,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1572743,26630398,AVV64_gp36,AVV64_gp36,535AP2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630399,AVV64_gp37,AVV64_gp37,535AP2_37,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201221,-
1572743,26630400,AVV64_gp38,AVV64_gp38,535AP2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630401,AVV64_gp39,AVV64_gp39,535AP2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
