#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099633,62361022,46,JMN64_gp54,SEA_ICHABOD_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2099633,62361023,60,JMN64_gp40,SEA_ICHABOD_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361024,25,JMN64_gp75,SEA_ICHABOD_25,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210417,-
2099633,62361025,96,JMN64_gp04,SEA_ICHABOD_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099633,62361026,95,JMN64_gp05,SEA_ICHABOD_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361027,94,JMN64_gp06,SEA_ICHABOD_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361028,93,JMN64_gp07,SEA_ICHABOD_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361029,92,JMN64_gp08,SEA_ICHABOD_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361030,91,JMN64_gp09,SEA_ICHABOD_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361031,90,JMN64_gp10,SEA_ICHABOD_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361032,89,JMN64_gp11,SEA_ICHABOD_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361033,88,JMN64_gp12,SEA_ICHABOD_88,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2099633,62361034,87,JMN64_gp13,SEA_ICHABOD_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361035,86,JMN64_gp14,SEA_ICHABOD_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361036,85,JMN64_gp15,SEA_ICHABOD_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361037,84,JMN64_gp16,SEA_ICHABOD_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361038,83,JMN64_gp17,SEA_ICHABOD_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361039,82,JMN64_gp18,SEA_ICHABOD_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361040,81,JMN64_gp19,SEA_ICHABOD_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361041,80,JMN64_gp20,SEA_ICHABOD_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361042,79,JMN64_gp21,SEA_ICHABOD_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361043,78,JMN64_gp22,SEA_ICHABOD_78,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2099633,62361044,77,JMN64_gp23,SEA_ICHABOD_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361045,76,JMN64_gp24,SEA_ICHABOD_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361046,75,JMN64_gp25,SEA_ICHABOD_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361047,74,JMN64_gp26,SEA_ICHABOD_74,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2099633,62361048,73,JMN64_gp27,SEA_ICHABOD_73,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2099633,62361049,72,JMN64_gp28,SEA_ICHABOD_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2099633,62361050,71,JMN64_gp29,SEA_ICHABOD_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361051,70,JMN64_gp30,SEA_ICHABOD_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361052,69,JMN64_gp31,SEA_ICHABOD_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361053,68,JMN64_gp32,SEA_ICHABOD_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361054,67,JMN64_gp33,SEA_ICHABOD_67,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210212,-
2099633,62361055,66,JMN64_gp34,SEA_ICHABOD_66,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210406,-
