#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2065199,40098800,2,FDJ24_gp02,PBI_DISMAS_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2065199,40098801,3,FDJ24_gp03,PBI_DISMAS_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2065199,40098802,4,FDJ24_gp04,PBI_DISMAS_4,-,-,-,portal,protein-coding,-,-,-,portal,20200910,-
2065199,40098803,5,FDJ24_gp05,PBI_DISMAS_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2065199,40098804,6,FDJ24_gp06,PBI_DISMAS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200919,-
2065199,40098805,7,FDJ24_gp07,PBI_DISMAS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098806,8,FDJ24_gp08,PBI_DISMAS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098807,9,FDJ24_gp09,PBI_DISMAS_9,-,-,-,head-to-tail connector compledx protein,protein-coding,-,-,-,head-to-tail connector compledx protein,20200910,-
2065199,40098808,10,FDJ24_gp10,PBI_DISMAS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098809,11,FDJ24_gp11,PBI_DISMAS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098810,12,FDJ24_gp12,PBI_DISMAS_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2065199,40098811,14,FDJ24_gp13,PBI_DISMAS_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2065199,40098812,15,FDJ24_gp15,PBI_DISMAS_15,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200910,-
2065199,40098813,13,FDJ24_gp14,PBI_DISMAS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2065199,40098814,16,FDJ24_gp16,PBI_DISMAS_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2065199,40098815,17,FDJ24_gp17,PBI_DISMAS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2065199,40098816,18,FDJ24_gp18,PBI_DISMAS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2065199,40098817,19,FDJ24_gp19,PBI_DISMAS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2065199,40098818,20,FDJ24_gp20,PBI_DISMAS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2065199,40098819,21,FDJ24_gp21,PBI_DISMAS_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2065199,40098820,22,FDJ24_gp22,PBI_DISMAS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098821,23,FDJ24_gp23,PBI_DISMAS_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2065199,40098822,24,FDJ24_gp24,PBI_DISMAS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
