#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301567,60331833,2,I5H69_gp02,SEA_NIMBO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2301567,60331834,3,I5H69_gp03,SEA_NIMBO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301567,60331835,4,I5H69_gp04,SEA_NIMBO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301567,60331836,5,I5H69_gp05,SEA_NIMBO_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2301567,60331837,6,I5H69_gp06,SEA_NIMBO_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2301567,60331838,7,I5H69_gp07,SEA_NIMBO_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301567,60331839,8,I5H69_gp08,SEA_NIMBO_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301567,60331840,9,I5H69_gp09,SEA_NIMBO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2301567,60331841,10,I5H69_gp10,SEA_NIMBO_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301567,60331842,11,I5H69_gp11,SEA_NIMBO_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301567,60331843,13,I5H69_gp12,SEA_NIMBO_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301567,60331844,14,I5H69_gp14,SEA_NIMBO_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2301567,60331845,12,I5H69_gp13,SEA_NIMBO_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301567,60331846,15,I5H69_gp15,SEA_NIMBO_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301567,60331847,16,I5H69_gp16,SEA_NIMBO_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301567,60331848,17,I5H69_gp17,SEA_NIMBO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331849,18,I5H69_gp18,SEA_NIMBO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301567,60331850,19,I5H69_gp19,SEA_NIMBO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2301567,60331851,20,I5H69_gp20,SEA_NIMBO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301567,60331852,21,I5H69_gp21,SEA_NIMBO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331853,22,I5H69_gp22,SEA_NIMBO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331854,23,I5H69_gp23,SEA_NIMBO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331855,24,I5H69_gp24,SEA_NIMBO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331856,25,I5H69_gp25,SEA_NIMBO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331857,26,I5H69_gp26,SEA_NIMBO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331858,27,I5H69_gp27,SEA_NIMBO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331859,28,I5H69_gp28,SEA_NIMBO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331860,29,I5H69_gp29,SEA_NIMBO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331861,30,I5H69_gp30,SEA_NIMBO_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2301567,60331862,31,I5H69_gp31,SEA_NIMBO_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301567,60331863,32,I5H69_gp32,SEA_NIMBO_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2301567,60331864,33,I5H69_gp33,SEA_NIMBO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301567,60331865,34,I5H69_gp34,SEA_NIMBO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331866,35,I5H69_gp35,SEA_NIMBO_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
2301567,60331867,36,I5H69_gp36,SEA_NIMBO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331868,37,I5H69_gp37,SEA_NIMBO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331869,38,I5H69_gp38,SEA_NIMBO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331870,39,I5H69_gp39,SEA_NIMBO_39,-,-,-,excise,protein-coding,-,-,-,excise,20210417,-
2301567,60331871,40,I5H69_gp40,SEA_NIMBO_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2301567,60331872,41,I5H69_gp41,SEA_NIMBO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331873,42,I5H69_gp42,SEA_NIMBO_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2301567,60331874,44,I5H69_gp44,SEA_NIMBO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331875,43,I5H69_gp43,SEA_NIMBO_43,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2301567,60331876,45,I5H69_gp45,SEA_NIMBO_45,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2301567,60331877,46,I5H69_gp46,SEA_NIMBO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301567,60331878,47,I5H69_gp47,SEA_NIMBO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331879,48,I5H69_gp48,SEA_NIMBO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331880,49,I5H69_gp49,SEA_NIMBO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331881,50,I5H69_gp50,SEA_NIMBO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2301567,60331882,51,I5H69_gp51,SEA_NIMBO_51,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301567,60331883,52,I5H69_gp52,SEA_NIMBO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301567,60331884,53,I5H69_gp53,SEA_NIMBO_53,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301567,60331885,54,I5H69_gp54,SEA_NIMBO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331886,55,I5H69_gp55,SEA_NIMBO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331887,56,I5H69_gp56,SEA_NIMBO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331888,57,I5H69_gp57,SEA_NIMBO_57,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210212,-
2301567,60331889,58,I5H69_gp58,SEA_NIMBO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331890,59,I5H69_gp59,SEA_NIMBO_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2301567,60331891,61,I5H69_gp61,SEA_NIMBO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331892,62,I5H69_gp62,SEA_NIMBO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2301567,60331893,63,I5H69_gp63,SEA_NIMBO_63,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2301567,60331894,64,I5H69_gp64,SEA_NIMBO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331895,65,I5H69_gp65,SEA_NIMBO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331896,66,I5H69_gp66,SEA_NIMBO_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2301567,60331897,67,I5H69_gp67,SEA_NIMBO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331898,68,I5H69_gp68,SEA_NIMBO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331899,69,I5H69_gp69,SEA_NIMBO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
