#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458714,19488371,2,SEABISCUIT_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1458714,19488372,4,SEABISCUIT_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488373,6,SEABISCUIT_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488374,7,SEABISCUIT_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488375,8,SEABISCUIT_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488376,9,SEABISCUIT_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488377,10,SEABISCUIT_10,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
1458714,19488378,11,SEABISCUIT_11,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200910,-
1458714,19488379,12,SEABISCUIT_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488380,13,SEABISCUIT_13,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1458714,19488381,14,SEABISCUIT_14,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1458714,19488382,15,SEABISCUIT_15,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1458714,19488383,16,SEABISCUIT_16,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
1458714,19488384,17,SEABISCUIT_17,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1458714,19488385,18,SEABISCUIT_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488386,19,SEABISCUIT_19,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
1458714,19488387,20,SEABISCUIT_20,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
1458714,19488388,21,SEABISCUIT_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1458714,19488389,22,SEABISCUIT_22,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1458714,19488390,23,SEABISCUIT_23,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1458714,19488391,25,SEABISCUIT_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1458714,19488392,26,SEABISCUIT_26,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200910,-
1458714,19488393,24,SEABISCUIT_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210212,-
1458714,19488394,27,SEABISCUIT_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1458714,19488395,28,SEABISCUIT_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488396,29,SEABISCUIT_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1458714,19488397,30,SEABISCUIT_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488398,31,SEABISCUIT_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488399,32,SEABISCUIT_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488400,33,SEABISCUIT_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1458714,19488401,34,SEABISCUIT_34,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1458714,19488402,35,SEABISCUIT_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488403,36,SEABISCUIT_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458714,19488404,37,SEABISCUIT_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
