#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698357,26639140,SEA_DANTE_2,SEA_DANTE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1698357,26639141,SEA_DANTE_3,SEA_DANTE_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1698357,26639142,SEA_DANTE_4,SEA_DANTE_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1698357,26639143,SEA_DANTE_5,SEA_DANTE_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
1698357,26639144,SEA_DANTE_6,SEA_DANTE_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1698357,26639145,SEA_DANTE_7,SEA_DANTE_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200629,-
1698357,26639146,SEA_DANTE_8,SEA_DANTE_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200629,-
1698357,26639147,SEA_DANTE_9,SEA_DANTE_9,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210406,-
1698357,26639148,SEA_DANTE_10,SEA_DANTE_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200629,-
1698357,26639149,SEA_DANTE_11,SEA_DANTE_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1698357,26639150,SEA_DANTE_13,SEA_DANTE_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1698357,26639151,SEA_DANTE_14,SEA_DANTE_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200629,-
1698357,26639152,SEA_DANTE_12,SEA_DANTE_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1698357,26639153,SEA_DANTE_15,SEA_DANTE_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1698357,26639154,SEA_DANTE_16,SEA_DANTE_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1698357,26639155,SEA_DANTE_17,SEA_DANTE_17,-,-,-,-,minir tail protein,protein-coding,-,-,-,minir tail protein,20200629,-
1698357,26639156,SEA_DANTE_18,SEA_DANTE_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1698357,26639157,SEA_DANTE_19,SEA_DANTE_19,-,-,-,-,D-alanyl-D-alanine-carboxypeptidase,protein-coding,-,-,-,D-alanyl-D-alanine-carboxypeptidase,20200629,-
1698357,26639158,SEA_DANTE_20,SEA_DANTE_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639159,SEA_DANTE_21,SEA_DANTE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639160,SEA_DANTE_22,SEA_DANTE_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639161,SEA_DANTE_23,SEA_DANTE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639162,SEA_DANTE_24,SEA_DANTE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639163,SEA_DANTE_25,SEA_DANTE_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639164,SEA_DANTE_26,SEA_DANTE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639165,SEA_DANTE_27,SEA_DANTE_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639166,SEA_DANTE_28,SEA_DANTE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639167,SEA_DANTE_29,SEA_DANTE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639168,SEA_DANTE_30,SEA_DANTE_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200629,-
1698357,26639169,SEA_DANTE_31,SEA_DANTE_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200629,-
1698357,26639170,SEA_DANTE_32,SEA_DANTE_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1698357,26639171,SEA_DANTE_33,SEA_DANTE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
1698357,26639172,SEA_DANTE_34,SEA_DANTE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639173,SEA_DANTE_35,SEA_DANTE_35,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
1698357,26639174,SEA_DANTE_36,SEA_DANTE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639175,SEA_DANTE_37,SEA_DANTE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639176,SEA_DANTE_38,SEA_DANTE_38,-,-,-,-,PLA2-like domain protein,protein-coding,-,-,-,PLA2-like domain protein,20200629,-
1698357,26639177,SEA_DANTE_39,SEA_DANTE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639178,SEA_DANTE_40,SEA_DANTE_40,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210123,-
1698357,26639179,SEA_DANTE_41,SEA_DANTE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639180,SEA_DANTE_42,SEA_DANTE_42,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1698357,26639181,SEA_DANTE_43,SEA_DANTE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639182,SEA_DANTE_44,SEA_DANTE_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639183,SEA_DANTE_45,SEA_DANTE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639184,SEA_DANTE_46,SEA_DANTE_46,-,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20200629,-
1698357,26639185,SEA_DANTE_47,SEA_DANTE_47,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
1698357,26639186,SEA_DANTE_48,SEA_DANTE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639187,SEA_DANTE_49,SEA_DANTE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1698357,26639188,SEA_DANTE_50,SEA_DANTE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639189,SEA_DANTE_51,SEA_DANTE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639190,SEA_DANTE_52,SEA_DANTE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639191,SEA_DANTE_53,SEA_DANTE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639192,SEA_DANTE_54,SEA_DANTE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639193,SEA_DANTE_55,SEA_DANTE_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639194,SEA_DANTE_56,SEA_DANTE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639195,SEA_DANTE_57,SEA_DANTE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639196,SEA_DANTE_58,SEA_DANTE_58,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1698357,26639197,SEA_DANTE_59,SEA_DANTE_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639198,SEA_DANTE_60,SEA_DANTE_60,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20200629,-
1698357,26639199,SEA_DANTE_61,SEA_DANTE_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1698357,26639200,SEA_DANTE_62,SEA_DANTE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639201,SEA_DANTE_63,SEA_DANTE_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639202,SEA_DANTE_64,SEA_DANTE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639203,SEA_DANTE_65,SEA_DANTE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639204,SEA_DANTE_66,SEA_DANTE_66,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1698357,26639205,SEA_DANTE_67,SEA_DANTE_67,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1698357,26639206,SEA_DANTE_68,SEA_DANTE_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1698357,26639207,SEA_DANTE_69,SEA_DANTE_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
