#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
936152,14007495,F372_gp02,F372_gp02,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201220,-
936152,14007496,F372_gp80,F372_gp80,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
936152,14007497,F372_gp79,F372_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007498,F372_gp78,F372_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007499,F372_gp12,F372_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007500,F372_gp76,F372_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007501,F372_gp75,F372_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007502,F372_gp74,F372_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007503,F372_gp73,F372_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007504,F372_gp72,F372_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007505,F372_gp69,F372_gp69,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
936152,14007506,F372_gp15,F372_gp15,-,-,-,-,putative tape measure domain protein,protein-coding,-,-,-,putative tape measure domain protein,20200629,-
936152,14007507,F372_gp71,F372_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007508,F372_gp68,F372_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007509,F372_gp67,F372_gp67,-,-,-,-,phage exonuclease,protein-coding,-,-,-,phage exonuclease,20200629,-
936152,14007510,F372_gp66,F372_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007511,F372_gp65,F372_gp65,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
936152,14007512,F372_gp64,F372_gp64,-,-,-,-,single-strand binding protein,protein-coding,-,-,-,single-strand binding protein,20200629,-
936152,14007513,F372_gp63,F372_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007514,F372_gp62,F372_gp62,-,-,-,-,phage replication protein,protein-coding,-,-,-,phage replication protein,20200629,-
936152,14007515,F372_gp61,F372_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007516,F372_gp57,F372_gp57,-,-,-,-,Ig-like domain-containing protein,protein-coding,-,-,-,Ig-like domain-containing protein,20201220,-
936152,14007517,F372_gp60,F372_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007518,F372_gp54,F372_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007519,F372_gp58,F372_gp58,-,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20200629,-
936152,14007520,F372_gp56,F372_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007521,F372_gp51,F372_gp51,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20201220,-
936152,14007522,F372_gp55,F372_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007523,F372_gp53,F372_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007524,F372_gp16,F372_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007525,F372_gp52,F372_gp52,-,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201220,-
936152,14007526,F372_gp50,F372_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007527,F372_gp49,F372_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007528,F372_gp48,F372_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007529,F372_gp47,F372_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007530,F372_gp46,F372_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007531,F372_gp45,F372_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007532,F372_gp44,F372_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007533,F372_gp43,F372_gp43,-,-,-,-,DNA-damage-inducible protein D,protein-coding,-,-,-,DNA-damage-inducible protein D,20200629,-
936152,14007534,F372_gp42,F372_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007535,F372_gp41,F372_gp41,-,-,-,-,antirepressor Ant,protein-coding,-,-,-,antirepressor Ant,20210417,-
936152,14007536,F372_gp38,F372_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007537,F372_gp36,F372_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007538,F372_gp40,F372_gp40,-,-,-,-,DUF2693 domain-containing protein,protein-coding,-,-,-,DUF2693 domain-containing protein,20210417,-
936152,14007539,F372_gp35,F372_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007540,F372_gp26,F372_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007541,F372_gp37,F372_gp37,-,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20210417,-
936152,14007542,F372_gp34,F372_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007543,F372_gp33,F372_gp33,-,-,-,-,phosphoadenosine phosphosulfate reductase family protein,protein-coding,-,-,-,phosphoadenosine phosphosulfate reductase family protein,20210417,-
936152,14007544,F372_gp32,F372_gp32,-,-,-,-,ParB-like nuclease,protein-coding,-,-,-,ParB-like nuclease,20200629,-
936152,14007545,F372_gp31,F372_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007546,F372_gp30,F372_gp30,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
936152,14007547,F372_gp29,F372_gp29,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20200629,-
936152,14007548,F372_gp28,F372_gp28,-,-,-,-,phage head morphogenesis protein,protein-coding,-,-,-,phage head morphogenesis protein,20200629,-
936152,14007549,F372_gp27,F372_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007550,F372_gp39,F372_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007551,F372_gp25,F372_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007552,F372_gp24,F372_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007553,F372_gp23,F372_gp23,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
936152,14007554,F372_gp22,F372_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007555,F372_gp21,F372_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007556,F372_gp20,F372_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007557,F372_gp19,F372_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007558,F372_gp18,F372_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007559,F372_gp17,F372_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007560,F372_gp59,F372_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007561,F372_gp70,F372_gp70,-,-,-,-,type II toxin-antitoxin system HigB family toxin,protein-coding,-,-,-,type II toxin-antitoxin system HigB family toxin,20201220,-
936152,14007562,F372_gp14,F372_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
936152,14007563,F372_gp11,F372_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
