#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
692275,27897640,SEPMUDRAFT_10026,SEPMUDRAFT_10026,-,-,Unknown,-,PLC-like phosphodiesterase,protein-coding,-,-,-,PLC-like phosphodiesterase,20200919,-
692275,27897641,SEPMUDRAFT_10125,SEPMUDRAFT_10125,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897642,SEPMUDRAFT_10186,SEPMUDRAFT_10186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897643,SEPMUDRAFT_10214,SEPMUDRAFT_10214,-,-,Unknown,-,L domain-like protein,protein-coding,-,-,-,L domain-like protein,20200919,-
692275,27897644,SEPMUDRAFT_10215,SEPMUDRAFT_10215,-,-,Unknown,-,glycosyltransferase family 34 protein,protein-coding,-,-,-,glycosyltransferase family 34 protein,20200919,-
692275,27897645,SEPMUDRAFT_10223,SEPMUDRAFT_10223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897646,SEPMUDRAFT_10235,SEPMUDRAFT_10235,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897647,SEPMUDRAFT_103621,SEPMUDRAFT_103621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897648,SEPMUDRAFT_103696,SEPMUDRAFT_103696,-,-,Unknown,-,peptidyl-prolyl cis-trans isomerase-like 1,protein-coding,-,-,-,peptidyl-prolyl cis-trans isomerase-like 1,20200919,-
692275,27897649,SEPMUDRAFT_103705,SEPMUDRAFT_103705,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897650,SEPMUDRAFT_103734,SEPMUDRAFT_103734,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897651,SEPMUDRAFT_103739,SEPMUDRAFT_103739,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897652,SEPMUDRAFT_103751,SEPMUDRAFT_103751,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897653,SEPMUDRAFT_103790,SEPMUDRAFT_103790,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897654,SEPMUDRAFT_103800,SEPMUDRAFT_103800,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897655,SEPMUDRAFT_103813,SEPMUDRAFT_103813,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897656,SEPMUDRAFT_103859,SEPMUDRAFT_103859,-,-,Unknown,-,lysophospholipase Plb2,protein-coding,-,-,-,lysophospholipase Plb2,20200919,-
692275,27897657,SEPMUDRAFT_103885,SEPMUDRAFT_103885,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897658,SEPMUDRAFT_103890,SEPMUDRAFT_103890,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897659,SEPMUDRAFT_103908,SEPMUDRAFT_103908,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897660,SEPMUDRAFT_103912,SEPMUDRAFT_103912,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897661,SEPMUDRAFT_103941,SEPMUDRAFT_103941,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897662,SEPMUDRAFT_103963,SEPMUDRAFT_103963,-,-,Unknown,-,YqcI_YcgG-domain-containing protein,protein-coding,-,-,-,YqcI_YcgG-domain-containing protein,20200919,-
692275,27897663,SEPMUDRAFT_103997,SEPMUDRAFT_103997,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897664,SEPMUDRAFT_104071,SEPMUDRAFT_104071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897665,SEPMUDRAFT_104117,SEPMUDRAFT_104117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897666,SEPMUDRAFT_104137,SEPMUDRAFT_104137,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
