#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838137,29066251,BI042_gp03,BI042_gp03,PFR1_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1838137,29066252,BI042_gp05,BI042_gp05,PFR1_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1838137,29066253,BI042_gp04,BI042_gp04,PFR1_4,-,-,-,HK97 familygprohead protease,protein-coding,-,-,-,HK97 familygprohead protease,20201221,-
1838137,29066254,BI042_gp06,BI042_gp06,PFR1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066255,BI042_gp07,BI042_gp07,PFR1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838137,29066256,BI042_gp08,BI042_gp08,PFR1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066257,BI042_gp09,BI042_gp09,PFR1_9,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20201221,-
1838137,29066258,BI042_gp10,BI042_gp10,PFR_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066259,BI042_gp11,BI042_gp11,PFR1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066260,BI042_gp13,BI042_gp13,PFR1_13,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1838137,29066261,BI042_gp12,BI042_gp12,PFR1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066262,BI042_gp15,BI042_gp15,PFR1_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066263,BI042_gp16,BI042_gp16,PFR1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066264,BI042_gp17,BI042_gp17,PFR1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066265,BI042_gp18,BI042_gp18,PFR1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066266,BI042_gp19,BI042_gp19,PFR1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066267,BI042_gp20,BI042_gp20,PFR1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066268,BI042_gp21,BI042_gp21,PFR1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066269,BI042_gp22,BI042_gp22,PFR1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066270,BI042_gp23,BI042_gp23,PFR1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066271,BI042_gp24,BI042_gp24,PFR1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066272,BI042_gp25,BI042_gp25,PFR1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066273,BI042_gp26,BI042_gp26,PFR1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066274,BI042_gp27,BI042_gp27,PFR_27,-,-,-,Ltp family lipoprotein,protein-coding,-,-,-,Ltp family lipoprotein,20201221,-
1838137,29066275,BI042_gp02,BI042_gp02,PFR1_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066276,BI042_gp28,BI042_gp28,PFR1_28,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1838137,29066277,BI042_gp29,BI042_gp29,PFR_29,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20201221,-
1838137,29066278,BI042_gp30,BI042_gp30,PFR_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066279,BI042_gp31,BI042_gp31,PFR_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066280,BI042_gp32,BI042_gp32,PFR_32,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1838137,29066281,BI042_gp33,BI042_gp33,PFR_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066282,BI042_gp34,BI042_gp34,PFR_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066283,BI042_gp35,BI042_gp35,PFR1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066284,BI042_gp36,BI042_gp36,PFR1_36,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20201221,-
1838137,29066285,BI042_gp37,BI042_gp37,PFR_37,-,-,-,WhiB family transcriptional regulator,protein-coding,-,-,-,WhiB family transcriptional regulator,20201221,-
1838137,29066286,BI042_gp38,BI042_gp38,PFR_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066287,BI042_gp39,BI042_gp39,PFR_39,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1838137,29066288,BI042_gp40,BI042_gp40,PFR_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066289,BI042_gp41,BI042_gp41,PFR1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
