#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815969,29125860,2,SEA_LOSER_2,-,-,-,-,VIP2-like toxin,protein-coding,-,-,-,VIP2-like toxin,20200910,-
1815969,29125861,3,SEA_LOSER_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125862,4,SEA_LOSER_4,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1815969,29125863,5,SEA_LOSER_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125864,6,SEA_LOSER_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125865,7,SEA_LOSER_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125866,8,SEA_LOSER_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125867,9,SEA_LOSER_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125868,10,SEA_LOSER_10,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1815969,29125869,11,SEA_LOSER_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125870,12,SEA_LOSER_12,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
1815969,29125871,13,SEA_LOSER_13,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1815969,29125872,14,SEA_LOSER_14,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200910,-
1815969,29125873,15,SEA_LOSER_15,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1815969,29125874,16,SEA_LOSER_16,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1815969,29125875,17,SEA_LOSER_17,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1815969,29125876,18,SEA_LOSER_18,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
1815969,29125877,19,SEA_LOSER_19,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1815969,29125878,20,SEA_LOSER_20,-,-,-,-,head to tail connector protein,protein-coding,-,-,-,head to tail connector protein,20200910,-
1815969,29125879,21,SEA_LOSER_21,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
1815969,29125880,22,SEA_LOSER_22,-,-,-,-,head to tail connector protein,protein-coding,-,-,-,head to tail connector protein,20200910,-
1815969,29125881,23,SEA_LOSER_23,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
