#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
929834,16185670,RHYG_00005,RHYG_00005,-,-,-,-,ParB N-terminal domain-containing protein,protein-coding,-,-,-,ParB N-terminal domain-containing protein,20210417,-
929834,16185671,RHYG_00032,RHYG_00032,-,-,-,-,DUF1320 family protein,protein-coding,-,-,-,DUF1320 family protein,20210417,-
929834,16185672,RHYG_00027,RHYG_00027,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210417,-
929834,16185673,RHYG_00044,RHYG_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185674,RHYG_00021,RHYG_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185675,RHYG_00029,RHYG_00029,-,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20201220,-
929834,16185676,RHYG_00045,RHYG_00045,-,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201220,-
929834,16185677,RHYG_00017,RHYG_00017,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210417,-
929834,16185678,RHYG_00006,RHYG_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185679,RHYG_00004,RHYG_00004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185680,RHYG_00030,RHYG_00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185681,RHYG_00036,RHYG_00036,-,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20210417,-
929834,16185682,RHYG_00048,RHYG_00048,-,-,-,-,tail protein I,protein-coding,-,-,-,tail protein I,20210417,-
929834,16185683,RHYG_00010,RHYG_00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185684,RHYG_00051,RHYG_00051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185685,RHYG_00047,RHYG_00047,-,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200629,-
929834,16185686,RHYG_00039,RHYG_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185687,RHYG_00024,RHYG_00024,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
929834,16185688,RHYG_00007,RHYG_00007,-,-,-,-,DDE-type integrase/transposase/recombinase,protein-coding,-,-,-,DDE-type integrase/transposase/recombinase,20210417,-
929834,16185689,RHYG_00001,RHYG_00001,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20210417,-
929834,16185690,RHYG_00033,RHYG_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
929834,16185691,RHYG_00009,RHYG_00009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185692,RHYG_00023,RHYG_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
929834,16185693,RHYG_00019,RHYG_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
929834,16185694,RHYG_00028,RHYG_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185695,RHYG_00037,RHYG_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185696,RHYG_00012,RHYG_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185697,RHYG_00016,RHYG_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185698,RHYG_00042,RHYG_00042,-,-,-,-,tail protein X,protein-coding,-,-,-,tail protein X,20201220,-
929834,16185699,RHYG_00002,RHYG_00002,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
929834,16185700,RHYG_00038,RHYG_00038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185701,RHYG_00026,RHYG_00026,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
929834,16185702,RHYG_00035,RHYG_00035,-,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20210417,-
929834,16185703,RHYG_00008,RHYG_00008,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210417,-
929834,16185704,RHYG_00011,RHYG_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185705,RHYG_00049,RHYG_00049,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210417,-
929834,16185706,RHYG_00003,RHYG_00003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185707,RHYG_00034,RHYG_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185708,RHYG_00041,RHYG_00041,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210417,-
929834,16185709,RHYG_00022,RHYG_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
929834,16185710,RHYG_00052,RHYG_00052,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20201220,-
929834,16185711,RHYG_00018,RHYG_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185712,RHYG_00015,RHYG_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185713,RHYG_00014,RHYG_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185714,RHYG_00040,RHYG_00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
929834,16185715,RHYG_00020,RHYG_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
929834,16185716,RHYG_00050,RHYG_00050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185717,RHYG_00046,RHYG_00046,-,-,-,-,baseplate,protein-coding,-,-,-,baseplate,20210417,-
929834,16185718,RHYG_00043,RHYG_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185719,RHYG_00031,RHYG_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
929834,16185720,RHYG_00013,RHYG_00013,-,-,-,-,host-nuclease inhibitor protein,protein-coding,-,-,-,host-nuclease inhibitor protein,20200629,-
929834,16185721,RHYG_00025,RHYG_00025,-,-,-,-,DUF935 family protein,protein-coding,-,-,-,DUF935 family protein,20210417,-
929834,16216164,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
