#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654780,29068542,ENOKI_2,ENOKI_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1654780,29068543,ENOKI_3,ENOKI_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1654780,29068544,ENOKI_4,ENOKI_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1654780,29068545,ENOKI_5,ENOKI_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1654780,29068546,ENOKI_6,ENOKI_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1654780,29068547,ENOKI_7,ENOKI_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1654780,29068548,ENOKI_8,ENOKI_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1654780,29068549,ENOKI_9,ENOKI_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654780,29068550,ENOKI_10,ENOKI_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654780,29068551,ENOKI_11,ENOKI_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1654780,29068552,ENOKI_13,ENOKI_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1654780,29068553,ENOKI_14,ENOKI_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1654780,29068554,ENOKI_12,ENOKI_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1654780,29068555,ENOKI_15,ENOKI_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654780,29068556,ENOKI_16,ENOKI_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654780,29068557,ENOKI_17,ENOKI_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654780,29068558,ENOKI_18,ENOKI_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654780,29068559,ENOKI_19,ENOKI_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654780,29068560,ENOKI_20,ENOKI_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1654780,29068561,ENOKI_21,ENOKI_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1654780,29068562,ENOKI_22,ENOKI_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068563,ENOKI_23,ENOKI_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654780,29068564,ENOKI_24,ENOKI_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
