#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
540070,37620118,D1U33_gp002,D1U33_gp002,-,-,-,-,putative myristylated membrane protein,protein-coding,-,-,-,putative myristylated membrane protein,20201220,-
540070,37620119,D1U33_gp003,D1U33_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620120,D1U33_gp004,D1U33_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620121,D1U33_gp005,D1U33_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620122,D1U33_gp006,D1U33_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620123,D1U33_gp007,D1U33_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620124,D1U33_gp008,D1U33_gp008,-,-,-,-,DNA-dependent RNA polymerase largest subunit,protein-coding,-,-,-,DNA-dependent RNA polymerase largest subunit,20201220,-
540070,37620125,D1U33_gp009,D1U33_gp009,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
540070,37620126,D1U33_gp010,D1U33_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620127,D1U33_gp011,D1U33_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620128,D1U33_gp012,D1U33_gp012,-,-,-,-,putative DNA repair protein,protein-coding,-,-,-,putative DNA repair protein,20201220,-
540070,37620129,D1U33_gp013,D1U33_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620130,D1U33_gp014,D1U33_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620131,D1U33_gp015,D1U33_gp015,-,-,-,-,immediate early protein ICP-46,protein-coding,-,-,-,immediate early protein ICP-46,20201220,-
540070,37620132,D1U33_gp016,D1U33_gp016,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
540070,37620133,D1U33_gp017,D1U33_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620134,D1U33_gp018,D1U33_gp018,-,-,-,-,thiol oxidoreductase,protein-coding,-,-,-,thiol oxidoreductase,20201220,-
540070,37620135,D1U33_gp019,D1U33_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620136,D1U33_gp020,D1U33_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620137,D1U33_gp021,D1U33_gp021,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201220,-
540070,37620138,D1U33_gp022,D1U33_gp022,-,-,-,-,proliferating cell nuclear antigen,protein-coding,-,-,-,proliferating cell nuclear antigen,20201220,-
540070,37620139,D1U33_gp023,D1U33_gp023,-,-,-,-,cytosine DNA methyltransferase,protein-coding,-,-,-,cytosine DNA methyltransferase,20201220,-
540070,37620140,D1U33_gp024,D1U33_gp024,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
540070,37620141,D1U33_gp025,D1U33_gp025,-,-,-,-,putative immediate-early protein,protein-coding,-,-,-,putative immediate-early protein,20201220,-
540070,37620142,D1U33_gp026,D1U33_gp026,-,-,-,-,transcription elongation factor-SII,protein-coding,-,-,-,transcription elongation factor-SII,20201220,-
540070,37620143,D1U33_gp027,D1U33_gp027,-,-,-,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20201220,-
540070,37620144,D1U33_gp028,D1U33_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620145,D1U33_gp029,D1U33_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620146,D1U33_gp030,D1U33_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620147,D1U33_gp031,D1U33_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620148,D1U33_gp032,D1U33_gp032,-,-,-,-,lipopolysaccharide-induced TNF-alpha factor (LITAF)-like protein,protein-coding,-,-,-,lipopolysaccharide-induced TNF-alpha factor (LITAF)-like protein,20210417,-
540070,37620149,D1U33_gp033,D1U33_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620150,D1U33_gp034,D1U33_gp034,-,-,-,-,putative NTPase/helicase,protein-coding,-,-,-,putative NTPase/helicase,20201220,-
540070,37620151,D1U33_gp035,D1U33_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620152,D1U33_gp036,D1U33_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620153,D1U33_gp037,D1U33_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620154,D1U33_gp038,D1U33_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620155,D1U33_gp039,D1U33_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620156,D1U33_gp040,D1U33_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620157,D1U33_gp041,D1U33_gp041,-,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20201220,-
540070,37620158,D1U33_gp042,D1U33_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620159,D1U33_gp043,D1U33_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620160,D1U33_gp044,D1U33_gp044,-,-,-,-,CARD-like caspase,protein-coding,-,-,-,CARD-like caspase,20201220,-
540070,37620161,D1U33_gp045,D1U33_gp045,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201220,-
540070,37620162,D1U33_gp046,D1U33_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620163,D1U33_gp047,D1U33_gp047,-,-,-,-,DNA dependent RNA polymerase b subunit,protein-coding,-,-,-,DNA dependent RNA polymerase b subunit,20201220,-
540070,37620164,D1U33_gp048,D1U33_gp048,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
540070,37620165,D1U33_gp049,D1U33_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620166,D1U33_gp050,D1U33_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620167,D1U33_gp051,D1U33_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620168,D1U33_gp052,D1U33_gp052,-,-,-,-,putative phosphotransferase,protein-coding,-,-,-,putative phosphotransferase,20201220,-
540070,37620169,D1U33_gp053,D1U33_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
