#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391659,18503293,CH09_gp02,CH09_gp02,O197_02,-,-,-,minor tail protein M,protein-coding,-,-,-,minor tail protein M,20201221,-
1391659,18503294,CH09_gp03,CH09_gp03,O197_03,-,-,-,minor tail protein l,protein-coding,-,-,-,minor tail protein l,20201221,-
1391659,18503295,CH09_gp04,CH09_gp04,O197_04,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201221,-
1391659,18503296,CH09_gp05,CH09_gp05,O197_05,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
1391659,18503297,CH09_gp06,CH09_gp06,O197_06,-,-,-,host specificity protein,protein-coding,-,-,-,host specificity protein,20201221,-
1391659,18503298,CH09_gp07,CH09_gp07,O197_07,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1391659,18503299,CH09_gp08,CH09_gp08,O197_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503300,CH09_gp09,CH09_gp09,O197_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503301,CH09_gp10,CH09_gp10,O197_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503302,CH09_gp11,CH09_gp11,O197_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503303,CH09_gp12,CH09_gp12,O197_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503304,CH09_gp13,CH09_gp13,O197_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503305,CH09_gp14,CH09_gp14,O197_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503306,CH09_gp15,CH09_gp15,O197_15,-,-,-,N-6-adenine-methyltransferase,protein-coding,-,-,-,N-6-adenine-methyltransferase,20201221,-
1391659,18503307,CH09_gp16,CH09_gp16,O197_16,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1391659,18503308,CH09_gp17,CH09_gp17,O197_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503309,CH09_gp18,CH09_gp18,O197_18,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1391659,18503310,CH09_gp19,CH09_gp19,O197_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
