#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696451,56133209,H1N79_gp02,H1N79_gp02,tonn_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210313,-
2696451,56133210,H1N79_gp03,H1N79_gp03,tonn_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2696451,56133211,H1N79_gp04,H1N79_gp04,tonn_4,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2696451,56133212,H1N79_gp05,H1N79_gp05,tonn_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133213,H1N79_gp06,H1N79_gp06,tonn_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133214,H1N79_gp07,H1N79_gp07,tonn_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133215,H1N79_gp08,H1N79_gp08,tonn_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133216,H1N79_gp09,H1N79_gp09,tonn_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133217,H1N79_gp10,H1N79_gp10,tonn_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133218,H1N79_gp11,H1N79_gp11,tonn_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133219,H1N79_gp12,H1N79_gp12,tonn_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133220,H1N79_gp13,H1N79_gp13,tonn_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133221,H1N79_gp14,H1N79_gp14,tonn_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133222,H1N79_gp15,H1N79_gp15,tonn_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133223,H1N79_gp16,H1N79_gp16,tonn_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133224,H1N79_gp17,H1N79_gp17,tonn_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696451,56133225,H1N79_gp18,H1N79_gp18,tonn_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133226,H1N79_gp19,H1N79_gp19,tonn_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133227,H1N79_gp20,H1N79_gp20,tonn_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133228,H1N79_gp21,H1N79_gp21,tonn_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133229,H1N79_gp22,H1N79_gp22,tonn_22,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210313,-
2696451,56133230,H1N79_gp23,H1N79_gp23,tonn_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133231,H1N79_gp24,H1N79_gp24,tonn_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133232,H1N79_gp25,H1N79_gp25,tonn_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133233,H1N79_gp26,H1N79_gp26,tonn_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133234,H1N79_gp27,H1N79_gp27,tonn_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133235,H1N79_gp28,H1N79_gp28,tonn_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133236,H1N79_gp29,H1N79_gp29,tonn_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2696451,56133237,H1N79_gp30,H1N79_gp30,tonn_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133238,H1N79_gp31,H1N79_gp31,tonn_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133239,H1N79_gp32,H1N79_gp32,tonn_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133240,H1N79_gp33,H1N79_gp33,tonn_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
