#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445858,19686038,IME_002,IME_002,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
1445858,19686039,IME_003,IME_003,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1445858,19686041,IME_005,IME_005,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1445858,19686042,IME_006,IME_006,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200910,-
1445858,19686043,IME_007,IME_007,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200910,-
1445858,19686044,IME_008,IME_008,-,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20200910,-
1445858,19686045,IME_009,IME_009,-,-,-,-,head-tail adaptor protein,protein-coding,-,-,-,head-tail adaptor protein,20200910,-
1445858,19686046,IME_010,IME_010,-,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20200910,-
1445858,19686047,IME_011,IME_011,-,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20200910,-
1445858,19686048,IME_012,IME_012,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1445858,19686049,IME_013,IME_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686050,IME_014,IME_014,-,-,-,-,tail tape measure chaperone protein,protein-coding,-,-,-,tail tape measure chaperone protein,20200910,-
1445858,19686051,IME_015,IME_015,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200910,-
1445858,19686052,IME_016,IME_016,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200910,-
1445858,19686053,IME_017,IME_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686054,IME_018,IME_018,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1445858,19686055,IME_019,IME_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686056,IME_020,IME_020,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200910,-
1445858,19686057,IME_021,IME_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686058,IME_022,IME_022,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
