#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
681645,12297466,CPC231_RS09335,CPC231_RS09335,CPC231_09355|CpC231_1842,-,-,-,adenylosuccinate synthase,protein-coding,-,-,-,adenylosuccinate synthase,20200201,-
681645,12297467,CPC231_RS09340,CPC231_RS09340,CPC231_09360|CpC231_1843,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200201,-
681645,12297468,CPC231_RS09345,CPC231_RS09345,CPC231_09365|CpC231_1844,-,-,-,aromatic acid exporter family protein,protein-coding,-,-,-,aromatic acid exporter family protein,20200201,-
681645,12297469,CPC231_RS09350,CPC231_RS09350,CPC231_09370|CpC231_1845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200201,-
681645,12297470,CPC231_RS09355,CPC231_RS09355,CPC231_09375|CpC231_1846,-,-,-,aromatic acid exporter family protein,protein-coding,-,-,-,aromatic acid exporter family protein,20200201,-
681645,12297471,CPC231_RS09360,CPC231_RS09360,CPC231_09380|CpC231_1847,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200201,-
681645,12297472,CPC231_RS09365,CPC231_RS09365,CPC231_09385|CpC231_1848,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200201,-
681645,12297473,CPC231_RS09370,CPC231_RS09370,CPC231_09390|CpC231_1849,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200201,-
681645,12297474,CPC231_RS09375,CPC231_RS09375,CPC231_09395|CpC231_1850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200201,-
681645,12297475,CPC231_RS09380,CPC231_RS09380,CPC231_09400|CpC231_1851,-,-,-,PadR family transcriptional regulator,protein-coding,-,-,-,PadR family transcriptional regulator,20200201,-
681645,12297476,CPC231_RS09385,CPC231_RS09385,CPC231_09405|CpC231_1852,-,-,-,Cna B-type domain-containing protein,protein-coding,-,-,-,Cna B-type domain-containing protein,20210129,-
681645,12297477,fbaA,CPC231_RS09390,CPC231_09410|CpC231_1853,-,-,-,class II fructose-bisphosphate aldolase,protein-coding,-,-,-,class II fructose-bisphosphate aldolase,20200201,-
681645,12297478,CPC231_RS09395,CPC231_RS09395,CPC231_09415|CpC231_1854,-,-,-,glycoside hydrolase family 76,protein-coding,-,-,-,glycoside hydrolase family 76,20210129,-
681645,12297479,CPC231_RS09400,CPC231_RS09400,CPC231_09420|CpC231_1855,-,-,-,RNA methyltransferase,protein-coding,-,-,-,RNA methyltransferase,20210129,-
681645,12297480,CPC231_RS09405,CPC231_RS09405,CPC231_09425|CpC231_1856,-,-,-,orotate phosphoribosyltransferase,protein-coding,-,-,-,orotate phosphoribosyltransferase,20200201,-
681645,12297481,CPC231_RS09410,CPC231_RS09410,CPC231_09430|CpC231_1857,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
681645,12297483,CPC231_RS09420,CPC231_RS09420,CPC231_09440|CpC231_1859,-,-,-,glycerol-3-phosphate dehydrogenase/oxidase,protein-coding,-,-,-,glycerol-3-phosphate dehydrogenase/oxidase,20200201,-
681645,12297485,CPC231_RS09425,CPC231_RS09425,CPC231_09445|CpC231_1861,-,-,-,DUF11 domain-containing protein,protein-coding,-,-,-,DUF11 domain-containing protein,20210129,-
681645,12297486,CPC231_RS09430,CPC231_RS09430,CPC231_09450|CpC231_1862,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200201,-
