#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1932895,60326513,I5H18_gp002,I5H18_gp002,SEA_BUBBLES123_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
1932895,60326514,I5H18_gp003,I5H18_gp003,SEA_BUBBLES123_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1932895,60326515,I5H18_gp004,I5H18_gp004,SEA_BUBBLES123_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
1932895,60326516,I5H18_gp005,I5H18_gp005,SEA_BUBBLES123_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
1932895,60326517,I5H18_gp006,I5H18_gp006,SEA_BUBBLES123_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1932895,60326518,I5H18_gp007,I5H18_gp007,SEA_BUBBLES123_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1932895,60326519,I5H18_gp009,I5H18_gp009,SEA_BUBBLES123_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1932895,60326520,I5H18_gp011,I5H18_gp011,SEA_BUBBLES123_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
1932895,60326521,I5H18_gp012,I5H18_gp012,SEA_BUBBLES123_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1932895,60326522,I5H18_gp014,I5H18_gp014,SEA_BUBBLES123_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1932895,60326523,I5H18_gp013,I5H18_gp013,SEA_BUBBLES123_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1932895,60326524,I5H18_gp015,I5H18_gp015,SEA_BUBBLES123_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1932895,60326525,I5H18_gp016,I5H18_gp016,SEA_BUBBLES123_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
