#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327777,16214596,31,PBI_SISI_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1327777,16214597,71,PBI_SISI_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214598,11,PBI_SISI_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1327777,16214599,99,PBI_SISI_99,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
1327777,16214600,44,PBI_SISI_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214601,19,PBI_SISI_19,-,-,-,-,D-ala-D-ala-carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala-carboxypeptidase,20201221,-
1327777,16214602,13,PBI_SISI_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1327777,16214603,9,PBI_SISI_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1327777,16214604,88,PBI_SISI_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214605,65,PBI_SISI_65,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1327777,16214606,30,PBI_SISI_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1327777,16214607,89,PBI_SISI_89,-,-,-,-,GIY-YIG DNA binding domain from nucleotide excision repair endonuclease,protein-coding,-,-,-,GIY-YIG DNA binding domain from nucleotide excision repair endonuclease,20210406,-
1327777,16214608,22,PBI_SISI_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214609,83,PBI_SISI_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214610,68,PBI_SISI_68,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1327777,16214611,10,PBI_SISI_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1327777,16214612,37,PBI_SISI_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214613,63,PBI_SISI_63,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201221,-
1327777,16214614,3,PBI_SISI_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1327777,16214615,59,PBI_SISI_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214616,35,PBI_SISI_35,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210406,-
1327777,16214617,91,PBI_SISI_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214618,29,PBI_SISI_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214619,36,PBI_SISI_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214620,56,PBI_SISI_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214621,81,PBI_SISI_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214622,18,PBI_SISI_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327777,16214623,96,PBI_SISI_96,-,-,-,-,polypeptide N-acetylgalactosaminyltransferase,protein-coding,-,-,-,polypeptide N-acetylgalactosaminyltransferase,20210123,-
1327777,16214624,94,PBI_SISI_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214625,1,PBI_SISI_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1327777,16214626,5,PBI_SISI_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1327777,16214627,24,PBI_SISI_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214628,28,PBI_SISI_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214629,33,PBI_SISI_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1327777,16214630,50,PBI_SISI_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214631,53,PBI_SISI_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214632,27,PBI_SISI_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214633,64,PBI_SISI_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214634,93,PBI_SISI_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214635,8,PBI_SISI_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1327777,16214636,15,PBI_SISI_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327777,16214637,4,PBI_SISI_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1327777,16214638,97,PBI_SISI_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214639,90,PBI_SISI_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214640,95,PBI_SISI_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214641,17,PBI_SISI_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327777,16214642,47,PBI_SISI_47,-,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20210129,-
1327777,16214643,7,PBI_SISI_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1327777,16214644,6,PBI_SISI_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1327777,16214645,52,PBI_SISI_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214646,26,PBI_SISI_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214647,16,PBI_SISI_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327777,16214648,20,PBI_SISI_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214649,43,PBI_SISI_43,-,-,-,-,integrase (y-int),protein-coding,-,-,-,integrase (y-int),20210129,-
1327777,16214650,25,PBI_SISI_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214651,23,PBI_SISI_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214652,60,PBI_SISI_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214653,84,PBI_SISI_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214654,87,PBI_SISI_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214655,34,PBI_SISI_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214656,92,PBI_SISI_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214657,21,PBI_SISI_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214658,98,PBI_SISI_98,-,-,-,-,glycosyltransferase-like domain protein,protein-coding,-,-,-,glycosyltransferase-like domain protein,20210123,-
1327777,16214659,32,PBI_SISI_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1327777,16214660,2,PBI_SISI_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1327777,16214661,54,PBI_SISI_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1327777,16214662,73,PBI_SISI_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214663,38,PBI_SISI_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214664,48,PBI_SISI_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214665,51,PBI_SISI_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214666,49,PBI_SISI_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1327777,16214667,75,PBI_SISI_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214668,80,PBI_SISI_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214669,66,PBI_SISI_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214670,58,PBI_SISI_58,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
1327777,16214671,70,PBI_SISI_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214672,78,PBI_SISI_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214673,42,PBI_SISI_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214674,39,PBI_SISI_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214675,14,PBI_SISI_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1327777,16214676,46,PBI_SISI_46,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1327777,16214677,76,PBI_SISI_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214678,74,PBI_SISI_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214679,72,PBI_SISI_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214680,57,PBI_SISI_57,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1327777,16214681,67,PBI_SISI_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214682,77,PBI_SISI_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214683,61,PBI_SISI_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214684,85,PBI_SISI_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214685,45,PBI_SISI_45,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1327777,16214686,86,PBI_SISI_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214687,62,PBI_SISI_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214688,69,PBI_SISI_69,-,-,-,-,methylase,protein-coding,-,-,-,methylase,20201221,-
1327777,16214689,79,PBI_SISI_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214690,55,PBI_SISI_55,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210406,-
1327777,16214691,41,PBI_SISI_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214692,40,PBI_SISI_40,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210406,-
1327777,16214693,82,PBI_SISI_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327777,16214694,12,PBI_SISI_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1327777,16216374,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage SiSi).,other,-,-,-,-,20200513,-
