#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
28200,38346939,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Aliiarcobacter skirrowii; Arcobacter skirrowii.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
28200,60357530,EI285_RS08570,EI285_RS08570,EI285_08570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60357539,EI285_RS04055,EI285_RS04055,EI285_04055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357542,EI285_RS08555,EI285_RS08555,EI285_08555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357545,EI285_RS08545,EI285_RS08545,EI285_08545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357556,EI285_RS05145,EI285_RS05145,EI285_05145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357561,EI285_RS04885,EI285_RS04885,EI285_04885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357570,EI285_RS01285,EI285_RS01285,EI285_01285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60357586,EI285_RS08490,EI285_RS08490,EI285_08490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357599,EI285_RS00655,EI285_RS00655,EI285_00655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60357606,EI285_RS08465,EI285_RS08465,EI285_08465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357629,EI285_RS08440,EI285_RS08440,EI285_08440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357635,EI285_RS07030,EI285_RS07030,EI285_07030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60357648,EI285_RS04870,EI285_RS04870,EI285_04870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60357650,EI285_RS01080,EI285_RS01080,EI285_01080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357667,EI285_RS00265,EI285_RS00265,EI285_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357674,EI285_RS00635,EI285_RS00635,EI285_00635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357675,EI285_RS09555,EI285_RS09555,EI285_09555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357679,EI285_RS03955,EI285_RS03955,EI285_03955,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60357681,EI285_RS03950,EI285_RS03950,EI285_03950,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60357683,EI285_RS03945,EI285_RS03945,EI285_03945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60357693,EI285_RS03940,EI285_RS03940,EI285_03940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60357697,EI285_RS03930,EI285_RS03930,EI285_03930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357723,EI285_RS03905,EI285_RS03905,EI285_03905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357730,EI285_RS08905,EI285_RS08905,EI285_08905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357732,EI285_RS03900,EI285_RS03900,EI285_03900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357738,EI285_RS03895,EI285_RS03895,EI285_03895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357748,EI285_RS08315,EI285_RS08315,EI285_08315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357757,EI285_RS00865,EI285_RS00865,EI285_00865,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60357759,EI285_RS03880,EI285_RS03880,EI285_03880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60357768,EI285_RS01400,EI285_RS01400,EI285_01400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357778,EI285_RS03855,EI285_RS03855,EI285_03855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357781,EI285_RS06925,EI285_RS06925,EI285_06925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357784,EI285_RS03850,EI285_RS03850,EI285_03850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60357788,EI285_RS09195,EI285_RS09195,EI285_09195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357791,EI285_RS08295,EI285_RS08295,EI285_08295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60357797,EI285_RS05010,EI285_RS05010,EI285_05010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357803,EI285_RS08985,EI285_RS08985,EI285_08985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357816,EI285_RS03830,EI285_RS03830,EI285_03830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357821,EI285_RS02265,EI285_RS02265,EI285_02265,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60357824,EI285_RS03815,EI285_RS03815,EI285_03815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357825,EI285_RS04235,EI285_RS04235,EI285_04235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357826,EI285_RS03810,EI285_RS03810,EI285_03810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60357835,EI285_RS05495,EI285_RS05495,EI285_05495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357839,EI285_RS08230,EI285_RS08230,EI285_08230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357847,EI285_RS02335,EI285_RS02335,EI285_02335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357850,EI285_RS08220,EI285_RS08220,EI285_08220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357859,EI285_RS03790,EI285_RS03790,EI285_03790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357865,EI285_RS00120,EI285_RS00120,EI285_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357892,EI285_RS03770,EI285_RS03770,EI285_03770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357897,EI285_RS00870,EI285_RS00870,EI285_00870,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60357898,EI285_RS03765,EI285_RS03765,EI285_03765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357902,EI285_RS05725,EI285_RS05725,EI285_05725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357905,EI285_RS06865,EI285_RS06865,EI285_06865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357907,EI285_RS04240,EI285_RS04240,EI285_04240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357915,EI285_RS00860,EI285_RS00860,EI285_00860,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60357918,EI285_RS03755,EI285_RS03755,EI285_03755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357925,EI285_RS03745,EI285_RS03745,EI285_03745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
