#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655023,25103500,WIZZO_2,WIZZO_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655023,25103501,WIZZO_3,WIZZO_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655023,25103502,WIZZO_4,WIZZO_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655023,25103503,WIZZO_5,WIZZO_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655023,25103504,WIZZO_6,WIZZO_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655023,25103505,WIZZO_7,WIZZO_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655023,25103506,WIZZO_8,WIZZO_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655023,25103507,WIZZO_9,WIZZO_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655023,25103508,WIZZO_10,WIZZO_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655023,25103509,WIZZO_11,WIZZO_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655023,25103510,WIZZO_13,WIZZO_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655023,25103511,WIZZO_14,WIZZO_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655023,25103512,WIZZO_12,WIZZO_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655023,25103513,WIZZO_15,WIZZO_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655023,25103514,WIZZO_16,WIZZO_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655023,25103515,WIZZO_17,WIZZO_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655023,25103516,WIZZO_18,WIZZO_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655023,25103517,WIZZO_19,WIZZO_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655023,25103518,WIZZO_20,WIZZO_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655023,25103519,WIZZO_21,WIZZO_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655023,25103520,WIZZO_22,WIZZO_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103521,WIZZO_23,WIZZO_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655023,25103522,WIZZO_24,WIZZO_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103523,WIZZO_25,WIZZO_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655023,25103524,WIZZO_26,WIZZO_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655023,25103525,WIZZO_27,WIZZO_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655023,25103526,WIZZO_28,WIZZO_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103527,WIZZO_29,WIZZO_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103528,WIZZO_30,WIZZO_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655023,25103529,WIZZO_31,WIZZO_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655023,25103530,WIZZO_32,WIZZO_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655023,25103531,WIZZO_33,WIZZO_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655023,25103532,WIZZO_34,WIZZO_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103533,WIZZO_35,WIZZO_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103534,WIZZO_36,WIZZO_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655023,25103535,WIZZO_37,WIZZO_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103536,WIZZO_38,WIZZO_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103537,WIZZO_39,WIZZO_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103538,WIZZO_40,WIZZO_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103539,WIZZO_41,WIZZO_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103540,WIZZO_42,WIZZO_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103541,WIZZO_43,WIZZO_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655023,25103542,WIZZO_44,WIZZO_44,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655023,25103543,WIZZO_1,WIZZO_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655023,25147826,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Wizzo).,other,-,-,-,-,20200513,-
