#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1325731,16511659,N375_gp50,N375_gp50,-,-,-,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20200629,-
1325731,16511660,N375_gp55,N375_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511661,N375_gp14,N375_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511662,N375_gp44,N375_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511663,N375_gp21,N375_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511664,N375_gp13,N375_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511665,N375_gp42,N375_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511666,N375_gp41,N375_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511667,N375_gp16,N375_gp16,-,-,-,-,"type I addiction module toxin, SymE family",protein-coding,-,-,-,"type I addiction module toxin, SymE family",20201221,-
1325731,16511668,N375_gp10,N375_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511669,N375_gp25,N375_gp25,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1325731,16511670,N375_gp34,N375_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511671,N375_gp54,N375_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511672,N375_gp07,N375_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511673,N375_gp32,N375_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511674,N375_gp53,N375_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511675,N375_gp06,N375_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511676,N375_gp01,N375_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511677,N375_gp35,N375_gp35,-,-,-,-,S49 family peptidase,protein-coding,-,-,-,S49 family peptidase,20201221,-
1325731,16511678,N375_gp51,N375_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511679,N375_gp19,N375_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511680,N375_gp27,N375_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511681,N375_gp46,N375_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511682,N375_gp29,N375_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511683,N375_gp11,N375_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511684,N375_gp43,N375_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511685,N375_gp30,N375_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511686,N375_gp26,N375_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511687,N375_gp28,N375_gp28,-,-,-,-,ParB N-terminal domain-containing protein,protein-coding,-,-,-,ParB N-terminal domain-containing protein,20210129,-
1325731,16511688,N375_gp40,N375_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511689,N375_gp48,N375_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511690,N375_gp02,N375_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
