#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2741075,55412458,HOQ51_gp02,HOQ51_gp02,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2741075,55412459,HOQ51_gp03,HOQ51_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2741075,55412460,HOQ51_gp04,HOQ51_gp04,-,-,-,-,S-adenosylmethionine decarboxylase proenzyme (TIGR03330),protein-coding,-,-,-,S-adenosylmethionine decarboxylase proenzyme (TIGR03330),20210327,-
2741075,55412461,HOQ51_gp05,HOQ51_gp05,-,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20210327,-
2741075,55412462,HOQ51_gp06,HOQ51_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412463,HOQ51_gp07,HOQ51_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412464,HOQ51_gp08,HOQ51_gp08,-,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210327,-
2741075,55412465,HOQ51_gp09,HOQ51_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412466,HOQ51_gp10,HOQ51_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412467,HOQ51_gp11,HOQ51_gp11,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20210327,-
2741075,55412468,HOQ51_gp12,HOQ51_gp12,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210327,-
2741075,55412469,HOQ51_gp13,HOQ51_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412470,HOQ51_gp14,HOQ51_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412471,HOQ51_gp15,HOQ51_gp15,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210327,-
2741075,55412472,HOQ51_gp16,HOQ51_gp16,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210327,-
2741075,55412473,HOQ51_gp17,HOQ51_gp17,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201222,-
2741075,55412474,HOQ51_gp18,HOQ51_gp18,-,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20210327,-
2741075,55412475,HOQ51_gp19,HOQ51_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412476,HOQ51_gp20,HOQ51_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412477,HOQ51_gp21,HOQ51_gp21,-,-,-,-,internal virion protein D,protein-coding,-,-,-,internal virion protein D,20201222,-
2741075,55412478,HOQ51_gp22,HOQ51_gp22,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20210327,-
2741075,55412479,HOQ51_gp23,HOQ51_gp23,-,-,-,-,spry domain protein,protein-coding,-,-,-,spry domain protein,20210327,-
2741075,55412480,HOQ51_gp24,HOQ51_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412481,HOQ51_gp25,HOQ51_gp25,-,-,-,-,putative lectin,protein-coding,-,-,-,putative lectin,20210327,-
2741075,55412482,HOQ51_gp26,HOQ51_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412483,HOQ51_gp27,HOQ51_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
