#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1406789,17959877,Pony_2,Pony_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1406789,17959878,Pony_3,Pony_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959879,Pony_4,Pony_4,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1406789,17959880,Pony_5,Pony_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959881,Pony_6,Pony_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959882,Pony_7,Pony_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959883,Pony_8,Pony_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959884,Pony_9,Pony_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959885,Pony_10,Pony_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959886,Pony_11,Pony_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959887,Pony_12,Pony_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959888,Pony_13,Pony_13,-,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20201221,-
1406789,17959889,Pony_14,Pony_14,-,-,-,-,carboxypeptidase A,protein-coding,-,-,-,carboxypeptidase A,20201221,-
1406789,17959890,Pony_15,Pony_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959891,Pony_16,Pony_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959892,Pony_17,Pony_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959893,Pony_18,Pony_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959894,Pony_19,Pony_19,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1406789,17959895,Pony_20,Pony_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959896,Pony_21,Pony_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959897,Pony_22,Pony_22,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1406789,17959898,Pony_23,Pony_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959899,Pony_24,Pony_24,-,-,-,-,L-alanyl-D-glutamate peptidase,protein-coding,-,-,-,L-alanyl-D-glutamate peptidase,20201221,-
1406789,17959900,Pony_25,Pony_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959901,Pony_26,Pony_26,-,-,-,-,SpoIIIE/FtsK family protein,protein-coding,-,-,-,SpoIIIE/FtsK family protein,20201221,-
1406789,17959902,Pony_27,Pony_27,-,-,-,-,plasmid replication-relaxation protein,protein-coding,-,-,-,plasmid replication-relaxation protein,20201221,-
1406789,17959903,Pony_28,Pony_28,-,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201221,-
1406789,17959904,Pony_29,Pony_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959905,Pony_30,Pony_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959906,Pony_31,Pony_31,-,-,-,-,RecF recombinase protein,protein-coding,-,-,-,RecF recombinase protein,20201221,-
1406789,17959907,Pony_32,Pony_32,-,-,-,-,RecT recombination protein,protein-coding,-,-,-,RecT recombination protein,20201221,-
1406789,17959908,Pony_33,Pony_33,-,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20201221,-
1406789,17959909,Pony_34,Pony_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959910,Pony_35,Pony_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959911,Pony_36,Pony_36,-,-,-,-,HicB family protein,protein-coding,-,-,-,HicB family protein,20201221,-
1406789,17959912,Pony_37,Pony_37,-,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20201221,-
1406789,17959913,Pony_38,Pony_38,-,-,-,-,replication initiator protein,protein-coding,-,-,-,replication initiator protein,20201221,-
1406789,17959914,Pony_39,Pony_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959915,Pony_40,Pony_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959916,Pony_41,Pony_41,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1406789,17959917,Pony_42,Pony_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959918,Pony_43,Pony_43,-,-,-,-,RNA polymerase sigma-70 factor,protein-coding,-,-,-,RNA polymerase sigma-70 factor,20201221,-
1406789,17959919,Pony_44,Pony_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959920,Pony_45,Pony_45,-,-,-,-,HNH endonulease protein,protein-coding,-,-,-,HNH endonulease protein,20201221,-
1406789,17959921,Pony_46,Pony_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1406789,17959922,Pony_47,Pony_47,-,-,-,-,single-stranded binding protein,protein-coding,-,-,-,single-stranded binding protein,20201221,-
1406789,17959923,Pony_48,Pony_48,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201221,-
1406789,17959924,Pony_1,Pony_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1406789,18155383,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus phage Santana).,other,-,-,-,-,20200513,-
