#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1636257,26613466,HARRISON_2,HARRISON_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1636257,26613467,HARRISON_3,HARRISON_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1636257,26613468,HARRISON_4,HARRISON_4,-,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20200629,-
1636257,26613469,HARRISON_5,HARRISON_5,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1636257,26613470,HARRISON_6,HARRISON_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613471,HARRISON_7,HARRISON_7,-,-,-,-,gp6-like head-tail connector protein,protein-coding,-,-,-,gp6-like head-tail connector protein,20201221,-
1636257,26613472,HARRISON_8,HARRISON_8,-,-,-,-,head closure protein,protein-coding,-,-,-,head closure protein,20201221,-
1636257,26613473,HARRISON_9,HARRISON_9,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1636257,26613474,HARRISON_10,HARRISON_10,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200629,-
1636257,26613475,HARRISON_11,HARRISON_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1636257,26613476,HARRISON_12,HARRISON_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613477,HARRISON_13,HARRISON_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613478,HARRISON_14,HARRISON_14,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1636257,26613479,HARRISON_15,HARRISON_15,-,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20201221,-
1636257,26613480,HARRISON_16,HARRISON_16,-,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,protein-coding,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,20201221,-
1636257,26613481,HARRISON_17,HARRISON_17,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1636257,26613482,HARRISON_18,HARRISON_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613483,HARRISON_19,HARRISON_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613484,HARRISON_20,HARRISON_20,-,-,-,-,bacteriocin biosynthesis protein,protein-coding,-,-,-,bacteriocin biosynthesis protein,20210123,-
1636257,26613485,HARRISON_21,HARRISON_21,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
1636257,26613486,HARRISON_22,HARRISON_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613487,HARRISON_23,HARRISON_23,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20200629,-
1636257,26613488,HARRISON_24,HARRISON_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613489,HARRISON_25,HARRISON_25,-,-,-,-,ABC transporter-like protein,protein-coding,-,-,-,ABC transporter-like protein,20200629,-
1636257,26613490,HARRISON_26,HARRISON_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613491,HARRISON_27,HARRISON_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613492,HARRISON_28,HARRISON_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613493,HARRISON_29,HARRISON_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613494,HARRISON_30,HARRISON_30,-,-,-,-,RICIN domain-containing protein,protein-coding,-,-,-,RICIN domain-containing protein,20201221,-
1636257,26613495,HARRISON_31,HARRISON_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613496,HARRISON_32,HARRISON_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613497,HARRISON_33,HARRISON_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613498,HARRISON_34,HARRISON_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613499,HARRISON_35,HARRISON_35,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1636257,26613500,HARRISON_36,HARRISON_36,-,-,-,-,putative holin-like toxin,protein-coding,-,-,-,putative holin-like toxin,20201221,-
1636257,26613501,HARRISON_37,HARRISON_37,-,-,-,-,DUF4352 domain-containing protein,protein-coding,-,-,-,DUF4352 domain-containing protein,20201221,-
1636257,26613502,HARRISON_38,HARRISON_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636257,26613503,HARRISON_39,HARRISON_39,-,-,-,-,accessory gene regulator B family protein,protein-coding,-,-,-,accessory gene regulator B family protein,20201221,-
1636257,26613504,HARRISON_40,HARRISON_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613505,HARRISON_41,HARRISON_41,-,-,-,-,LytTR family transcriptional regulator DNA-binding domain-containing protein,protein-coding,-,-,-,LytTR family transcriptional regulator DNA-binding domain-containing protein,20201221,-
1636257,26613506,HARRISON_42,HARRISON_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613507,HARRISON_43,HARRISON_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613508,HARRISON_44,HARRISON_44,-,-,-,-,serine recombinase,protein-coding,-,-,-,serine recombinase,20200629,-
1636257,26613509,HARRISON_45,HARRISON_45,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1636257,26613510,HARRISON_46,HARRISON_46,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1636257,26613511,HARRISON_47,HARRISON_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613512,HARRISON_48,HARRISON_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613513,HARRISON_49,HARRISON_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613514,HARRISON_50,HARRISON_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613515,HARRISON_51,HARRISON_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613516,HARRISON_52,HARRISON_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613517,HARRISON_53,HARRISON_53,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20210417,-
1636257,26613518,HARRISON_54,HARRISON_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613519,HARRISON_55,HARRISON_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613520,HARRISON_56,HARRISON_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613521,HARRISON_57,HARRISON_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613522,HARRISON_58,HARRISON_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613523,HARRISON_59,HARRISON_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613524,HARRISON_60,HARRISON_60,-,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20201221,-
1636257,26613525,HARRISON_61,HARRISON_61,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201221,-
1636257,26613526,HARRISON_62,HARRISON_62,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200629,-
1636257,26613527,HARRISON_63,HARRISON_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613528,HARRISON_64,HARRISON_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613529,HARRISON_65,HARRISON_65,-,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20201221,-
1636257,26613530,HARRISON_66,HARRISON_66,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200629,-
1636257,26613531,HARRISON_67,HARRISON_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613532,HARRISON_68,HARRISON_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613533,HARRISON_69,HARRISON_69,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201221,-
1636257,26613534,HARRISON_70,HARRISON_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613535,HARRISON_71,HARRISON_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613536,HARRISON_72,HARRISON_72,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201221,-
1636257,26613537,HARRISON_73,HARRISON_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613538,HARRISON_74,HARRISON_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
