#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500800,24724275,ACQ83_gp02,ACQ83_gp02,PHL030N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500800,24724276,ACQ83_gp03,ACQ83_gp03,PHL030N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500800,24724277,ACQ83_gp04,ACQ83_gp04,PHL030N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724278,ACQ83_gp05,ACQ83_gp05,PHL030N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500800,24724279,ACQ83_gp06,ACQ83_gp06,PHL030N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500800,24724280,ACQ83_gp07,ACQ83_gp07,PHL030N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724281,ACQ83_gp08,ACQ83_gp08,PHL030N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724282,ACQ83_gp09,ACQ83_gp09,PHL030N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724283,ACQ83_gp10,ACQ83_gp10,PHL030N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724284,ACQ83_gp11,ACQ83_gp11,PHL030N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500800,24724285,ACQ83_gp12,ACQ83_gp12,PHL030N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724286,ACQ83_gp13,ACQ83_gp13,PHL030N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724287,ACQ83_gp14,ACQ83_gp14,PHL030N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500800,24724288,ACQ83_gp15,ACQ83_gp15,PHL030N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500800,24724289,ACQ83_gp16,ACQ83_gp16,PHL030N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500800,24724290,ACQ83_gp17,ACQ83_gp17,PHL030N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724291,ACQ83_gp18,ACQ83_gp18,PHL030N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724292,ACQ83_gp19,ACQ83_gp19,PHL030N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500800,24724293,ACQ83_gp20,ACQ83_gp20,PHL030N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500800,24724294,ACQ83_gp21,ACQ83_gp21,PHL030N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500800,24724295,ACQ83_gp22,ACQ83_gp22,PHL030N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724296,ACQ83_gp23,ACQ83_gp23,PHL030N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500800,24724297,ACQ83_gp24,ACQ83_gp24,PHL030N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724298,ACQ83_gp25,ACQ83_gp25,PHL030N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724299,ACQ83_gp26,ACQ83_gp26,PHL030N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724300,ACQ83_gp27,ACQ83_gp27,PHL030N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724301,ACQ83_gp28,ACQ83_gp28,PHL030N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724302,ACQ83_gp29,ACQ83_gp29,PHL030N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724303,ACQ83_gp30,ACQ83_gp30,PHL030N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500800,24724304,ACQ83_gp31,ACQ83_gp31,PHL030N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500800,24724305,ACQ83_gp32,ACQ83_gp32,PHL030N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724306,ACQ83_gp33,ACQ83_gp33,PHL030N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500800,24724307,ACQ83_gp34,ACQ83_gp34,PHL030N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724308,ACQ83_gp35,ACQ83_gp35,PHL030N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724309,ACQ83_gp36,ACQ83_gp36,PHL030N00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500800,24724310,ACQ83_gp37,ACQ83_gp37,PHL030N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724311,ACQ83_gp38,ACQ83_gp38,PHL030N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724312,ACQ83_gp39,ACQ83_gp39,PHL030N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724313,ACQ83_gp40,ACQ83_gp40,PHL030N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724314,ACQ83_gp41,ACQ83_gp41,PHL030N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724315,ACQ83_gp42,ACQ83_gp42,PHL030N00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724316,ACQ83_gp43,ACQ83_gp43,PHL030N00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724317,ACQ83_gp44,ACQ83_gp44,PHL030N00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500800,24724318,ACQ83_gp45,ACQ83_gp45,PHL030N00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500800,24724319,ACQ83_gp01,ACQ83_gp01,PHL030N00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500800,24936510,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
